subscription_id,customer_id,plan_id,start_date,end_date,billing_cycle,monthly_charge_inr,subscription_status
S0000034,C0000034,PL002,16-04-2023,,Monthly,299.0,Active
S0000035,C0000035,PL009,21-08-2021,,Monthly,999.0,Active
S0000036,C0000036,PL018,01-01-2014,,Annual,1000.0,Active
S0000037,C0000037,PL010,13-09-2023,,Monthly,1299.0,Active
S0000038,C0000038,PL008,14-02-2017,,Monthly,699.0,Active
S0000039,C0000039,PL009,02-03-2016,,Monthly,999.0,Active
S0000040,C0000040,PL001,12-11-2020,21-11-2022,Monthly,199.0,Terminated
S0000041,C0000041,PL001,28-06-2016,,Monthly,199.0,Active
S0000042,C0000042,PL009,07-05-2018,,Monthly,999.0,Active
S0000043,C0000043,PL006,01-01-2014,,Annual,300.0,Active
S0000044,C0000044,PL005,10-08-2024,,Annual,250.0,Active
S0000045,C0000045,PL004,24-02-2014,29-05-2018,Monthly,449.0,Terminated
S0000046,C0000046,PL006,01-01-2014,,Annual,300.0,Active
S0000047,C0000047,PL016,03-05-2021,,Monthly,999.0,Active
S0000048,C0000048,PL019,19-09-2025,30-01-2026,Monthly,349.0,Terminated
S0000049,C0000049,PL003,04-05-2016,17-06-2018,Monthly,399.0,Terminated
S0000050,C0000050,PL021,18-01-2023,,Annual,4166.0,Active
S0000051,C0000051,PL007,25-11-2018,,Monthly,499.0,Active
S0000052,C0000052,PL005,04-01-2015,,Annual,250.0,Active
S0000053,C0000053,PL009,25-09-2025,,Monthly,999.0,Active
S0000054,C0000054,PL021,11-06-2016,,Annual,4166.0,Active
S0000055,C0000055,PL024,28-03-2017,,Monthly,499.0,Active
S0000056,C0000056,PL003,17-12-2021,,Monthly,399.0,Active
S0000057,C0000057,PL002,03-05-2016,,Monthly,299.0,Active
S0000058,C0000058,PL003,16-07-2018,25-07-2022,Monthly,399.0,Terminated
S0000059,C0000059,PL006,01-01-2014,,Annual,300.0,Active
S0000060,C0000060,PL001,13-06-2021,,Monthly,199.0,Active
S0000061,C0000061,PL021,01-01-2014,,Annual,4166.0,Active
S0000062,C0000062,PL001,04-08-2020,13-02-2025,Monthly,199.0,Terminated
S0000063,C0000063,PL001,09-07-2024,,Monthly,199.0,Active
S0000064,C0000064,PL008,25-01-2021,08-06-2024,Monthly,699.0,Terminated
S0000065,C0000065,PL001,21-03-2016,,Monthly,199.0,Active
S0000066,C0000066,PL014,11-08-2020,22-09-2020,Monthly,1199.0,Terminated
S0000067,C0000067,PL006,01-01-2014,,Annual,300.0,UNKNOWN_STATE
S0000068,C0000068,PL003,31-08-2023,,Monthly,399.0,Active
S0000069,C0000069,PL007,02-03-2015,,Monthly,499.0,Active
S0000070,C0000070,PL006,12-08-2014,,Annual,300.0,Active
S0000071,C0000071,PL001,19-04-2025,,Monthly,199.0,Active
S0000072,C0000072,PL021,01-01-2014,,Annual,4166.0,Active
S0000073,C0000073,PL010,01-05-2023,,Monthly,1299.0,Active
S0000074,C0000074,PL020,08-02-2017,,Monthly,599.0,Active
S0000075,C0000075,PL005,13-12-2024,,Annual,250.0,UNKNOWN_STATE
S0000076,C0000076,PL013,02-07-2020,,Monthly,899.0,Active
S0000077,C0000077,PL024,10-07-2014,09-10-2014,Monthly,499.0,Terminated
S0000078,C0000078,PL011,03-02-2024,,Annual,583.0,Active
S0000079,C0000079,PL013,28-09-2022,25-01-2026,Monthly,899.0,Terminated
S0000080,C0000080,PL004,03-07-2025,,Monthly,449.0,Active
S0000081,C0000081,PL011,28-05-2023,,Annual,583.0,Active
S0000082,C0000082,PL019,23-08-2018,,Monthly,349.0,Active
S0000083,C0000083,PL003,21-04-2025,,Monthly,399.0,Active
S0000084,C0000084,PL025,01-12-2018,,Monthly,799.0,Active
S0000085,C0000085,PL004,03-05-2017,,Monthly,449.0,Active
S0000086,C0000086,PL010,23-12-2014,,Monthly,1299.0,Active
S0000087,C0000087,PL022,19-09-2015,,Annual,8333.0,Active
S0000088,C0000088,PL003,02-08-2021,,Monthly,399.0,Active
S0000089,C0000089,PL002,31-10-2021,,Monthly,299.0,Active
S0000090,C0000090,PL018,01-01-2014,,Annual,1000.0,Active
S0000091,C0000091,PL023,02-10-2024,,Monthly,99.0,Active
S0000092,C0000092,PL019,15-12-2017,09-03-2020,Monthly,349.0,Terminated
S0000093,C0000093,PL015,01-01-2014,,Monthly,699.0,Active
S0000094,C0000094,PL014,13-12-2019,,Monthly,1199.0,Active
S0000095,C0000095,PL006,01-06-2018,,Annual,300.0,Active
S0000096,C0000096,PL010,21-06-2025,,Monthly,1299.0,Active
S0000097,C0000097,PL002,15-01-2022,07-03-2025,Monthly,299.0,Terminated
S0000098,C0000098,PL013,04-02-2021,,Monthly,899.0,Active
S0000099,C0000099,PL006,01-01-2014,,Annual,300.0,Active
S0000100,C0000100,PL007,31-05-2024,27-11-2024,Monthly,499.0,Terminated
S0000101,C0000101,PL007,08-04-2016,,Monthly,499.0,Active
S0000102,C0000102,PL011,18-10-2018,,Annual,583.0,Active
S0000103,C0000103,PL002,08-06-2014,,Monthly,299.0,Active
S0000104,C0000104,PL007,07-07-2017,,Monthly,499.0,Active
S0000105,C0000105,PL005,08-03-2024,,Annual,250.0,Active
S0000106,C0000106,PL020,07-01-2015,,Monthly,599.0,Active
S0000107,C0000107,PL008,22-09-2024,18-12-2025,Monthly,699.0,Terminated
S0000108,C0000108,PL016,01-01-2014,,Monthly,999.0,Active
S0000109,C0000109,PL001,23-08-2019,05-08-2025,Monthly,199.0,Terminated
S0000110,C0000110,PL009,25-07-2021,,Monthly,999.0,Active
S0000111,C0000111,PL017,18-12-2014,,Monthly,1499.0,Active
S0000112,C0000112,PL007,03-10-2020,,Monthly,499.0,Active
S0000113,C0000113,PL005,01-01-2014,,Annual,250.0,Active
S0000114,C0000114,PL018,25-05-2019,,Annual,1000.0,Active
S0000115,C0000115,PL004,09-10-2022,,Monthly,449.0,Active
S0000116,C0000116,PL002,30-09-2014,,Monthly,299.0,Active
S0000117,C0000117,PL001,16-06-2025,,Monthly,199.0,Active
S0000118,C0000118,PL022,01-01-2014,,Annual,8333.0,Active
S0000119,C0000119,PL003,06-08-2017,,Monthly,399.0,Active
S0000120,C0000120,PL005,01-01-2014,,Annual,250.0,Active
S0000121,C0000121,PL016,01-01-2014,,Monthly,999.0,Active
S0000122,C0000122,PL009,29-12-2018,,Monthly,999.0,Active
S0000123,C0000123,PL007,18-05-2023,06-01-2024,Monthly,499.0,Terminated
S0000124,C0000124,PL010,08-09-2018,,Monthly,1299.0,Active
S0000125,C0000125,PL017,09-04-2024,,Monthly,1499.0,Active
S0000126,C0000126,PL002,19-04-2016,,Monthly,299.0,Active
S0000127,C0000127,PL012,21-12-2025,03-02-2026,Monthly,599.0,Terminated
S0000128,C0000128,PL016,01-01-2014,,Monthly,999.0,Active
S0000129,C0000129,PL005,01-01-2014,07-10-2018,Annual,250.0,UNKNOWN_STATE
S0000130,C0000130,PL020,01-03-2020,,Monthly,599.0,Active
S0000131,C0000131,PL001,25-05-2023,,Monthly,199.0,Active
S0000132,C0000132,PL001,20-12-2015,,Monthly,199.0,Active
S0000133,C0000133,PL014,03-07-2016,,Monthly,1199.0,Active
S0000134,C0000134,PL001,21-12-2018,,Monthly,199.0,Active
S0000135,C0000135,PL001,05-04-2014,17-07-2015,Monthly,199.0,Terminated
S0000136,C0000136,PL022,01-01-2014,,Annual,8333.0,Active
S0000137,C0000137,PL003,27-11-2016,,Monthly,399.0,Active
S0000138,C0000138,PL005,01-01-2014,,Annual,250.0,Active
S0000139,C0000139,PL001,15-12-2017,02-07-2025,Monthly,199.0,Terminated
S0000140,C0000140,PL006,03-02-2023,,Annual,300.0,Active
S0000141,C0000141,PL015,31-10-2024,31-08-2025,Monthly,699.0,Terminated
S0000142,C0000142,PL017,20-01-2026,,Monthly,1499.0,Active
S0000143,C0000143,PL014,26-08-2024,,Monthly,1199.0,Active
S0000144,C0000144,PL001,11-06-2014,,Monthly,199.0,Active
S0000145,C0000145,PL001,21-12-2015,03-08-2023,Monthly,199.0,Terminated
S0000146,C0000146,PL009,14-10-2023,30-03-2024,Monthly,999.0,Terminated
S0000147,C0000147,PL006,23-04-2017,,Annual,300.0,Active
S0000148,C0000148,PL010,21-02-2019,,Monthly,1299.0,Active
S0000149,C0000149,PL013,17-01-2026,16-03-2026,Monthly,899.0,Terminated
S0000150,C0000150,PL005,01-01-2014,,Annual,250.0,Active
S0000151,C0000151,PL024,05-12-2024,14-12-2024,Monthly,499.0,Terminated
S0000152,C0000152,PL013,28-07-2019,,Monthly,899.0,Active
S0000153,C0000153,PL008,05-11-2018,,Monthly,699.0,Active
S0000154,C0000154,PL004,27-09-2014,10-10-2025,Monthly,449.0,Terminated
S0000155,C0000155,PL013,29-03-2025,,Monthly,899.0,Active
S0000156,C0000156,PL010,12-06-2020,,Monthly,1299.0,Active
S0000157,C0000157,PL018,16-05-2024,,Annual,1000.0,Active
S0000158,C0000158,PL003,17-05-2025,17-03-2026,Monthly,399.0,Terminated
S0000159,C0000159,PL006,12-07-2020,,Annual,300.0,Active
S0000160,C0000160,PL003,30-03-2019,12-04-2022,Monthly,399.0,Terminated
S0000161,C0000161,PL005,01-01-2014,,Annual,250.0,Active
S0000162,C0000162,PL006,12-07-2018,,Annual,300.0,Active
S0000163,C0000163,PL007,01-10-2020,,Monthly,499.0,Active
S0000164,C0000164,PL006,03-12-2018,22-10-2024,Annual,300.0,Terminated
S0000165,C0000165,PL003,06-04-2021,16-01-2024,Monthly,399.0,Terminated
S0000166,C0000166,PL018,01-01-2014,,Annual,1000.0,Active
S0000167,C0000167,PL004,26-03-2021,12-03-2023,Monthly,449.0,Terminated
S0000168,C0000168,PL003,25-07-2025,12-08-2025,Monthly,399.0,Terminated
S0000169,C0000169,PL003,08-11-2020,,Monthly,399.0,Active
S0000170,C0000170,PL004,16-08-2014,,Monthly,449.0,Active
S0000171,C0000171,PL001,27-08-2024,30-04-2025,Monthly,199.0,Terminated
S0000172,C0000172,PL004,09-12-2020,,Monthly,449.0,Active
S0000173,C0000173,PL010,01-06-2023,22-06-2023,Monthly,1299.0,Terminated
S0000174,C0000174,PL001,14-05-2020,22-05-2023,Monthly,199.0,Terminated
S0000175,C0000175,PL022,28-11-2015,,Annual,8333.0,Active
S0000176,C0000176,PL002,15-09-2020,,Monthly,299.0,Active
S0000177,C0000177,PL012,27-11-2017,,Monthly,599.0,Active
S0000178,C0000178,PL001,12-04-2022,,Monthly,199.0,Active
S0000179,C0000179,PL003,03-08-2024,10-12-2024,Monthly,399.0,Terminated
S0000180,C0000180,PL009,11-10-2021,,Monthly,999.0,Active
S0000181,C0000181,PL015,17-04-2024,06-06-2025,Monthly,699.0,Terminated
S0000182,C0000182,PL007,17-11-2019,,Monthly,499.0,Active
S0000183,C0000183,PL005,20-06-2024,,Annual,250.0,Active
S0000184,C0000184,PL013,06-01-2022,,Monthly,899.0,Active
S0000185,C0000185,PL013,17-11-2019,,Monthly,899.0,Active
S0000186,C0000186,PL019,05-01-2021,,Monthly,349.0,UNKNOWN_STATE
S0000187,C0000187,PL006,20-05-2021,,Annual,300.0,Active
S0000188,C0000188,PL003,31-07-2024,,Monthly,399.0,Active
S0000189,C0000189,PL006,02-08-2015,,Annual,300.0,UNKNOWN_STATE
S0000190,C0000190,PL009,12-12-2020,,Monthly,999.0,Active
S0000191,C0000191,PL010,02-04-2018,,Monthly,1299.0,Active
S0000192,C0000192,PL011,30-09-2024,,Annual,583.0,Active
S0000193,C0000193,PL025,24-04-2022,,Monthly,799.0,Active
S0000194,C0000194,PL005,05-07-2016,,Annual,250.0,Active
S0000195,C0000195,PL002,14-09-2020,,Monthly,299.0,Active
S0000196,C0000196,PL004,12-07-2017,,Monthly,449.0,Active
S0000197,C0000197,PL003,24-04-2020,,Monthly,399.0,Active
S0000198,C0000198,PL016,01-01-2014,,Monthly,999.0,Active
S0000199,C0000199,PL014,08-03-2021,,Monthly,1199.0,Active
S0000200,C0000200,PL004,07-03-2015,,Monthly,449.0,Active
S0000201,C0000201,PL005,01-01-2014,,Annual,250.0,Active
S0000202,C0000202,PL006,09-08-2016,,Annual,300.0,Active
S0000203,C0000203,PL005,01-04-2021,03-11-2025,Annual,250.0,Terminated
S0000204,C0000204,,23-01-2022,,Monthly,449.0,Active
S0000205,C0000205,PL011,13-06-2019,,Annual,583.0,Active
S0000206,C0000206,PL008,02-01-2023,,Monthly,699.0,Active
S0000207,C0000207,PL004,29-09-2023,,Monthly,449.0,Active
S0000208,C0000208,PL002,04-02-2022,,Monthly,299.0,Active
S0000209,C0000209,PL011,13-02-2024,,Annual,583.0,Active
S0000210,C0000210,PL003,16-11-2016,,Monthly,399.0,Active
S0000211,C0000211,PL001,13-01-2023,,Monthly,199.0,Active
S0000212,C0000212,PL006,21-02-2019,,Annual,300.0,Active
S0000213,C0000213,PL009,19-10-2021,,Monthly,999.0,UNKNOWN_STATE
S0000214,C0000214,PL003,22-01-2018,28-07-2023,Monthly,399.0,Terminated
S0000215,C0000215,PL002,16-01-2022,,Monthly,299.0,Active
S0000216,C0000216,PL007,20-09-2014,11-10-2015,Monthly,499.0,Terminated
S0000217,C0000217,PL008,25-12-2016,,Monthly,699.0,Active
S0000218,C0000218,PL003,26-07-2016,,Monthly,399.0,Active
S0000219,C0000219,PL003,14-06-2016,25-09-2016,Monthly,399.0,Terminated
S0000220,C0000220,PL002,28-09-2024,,Monthly,299.0,Active
S0000221,C0000221,PL006,01-01-2014,,Annual,300.0,Active
S0000222,C0000222,PL010,14-11-2024,30-06-2025,Monthly,1299.0,Terminated
S0000223,C0000223,PL004,14-03-2025,,Monthly,449.0,Active
S0000224,C0000224,PL020,01-08-2020,,Monthly,599.0,Active
S0000225,C0000225,PL008,18-08-2024,,Monthly,699.0,Active
S0000226,C0000226,PL010,29-10-2019,,Monthly,1299.0,Active
S0000227,C0000227,PL011,01-11-2017,,Annual,583.0,Active
S0000228,C0000228,PL008,22-02-2018,14-10-2024,Monthly,699.0,Terminated
S0000229,C0000229,PL003,16-08-2025,24-12-2025,Monthly,399.0,Terminated
S0000230,C0000230,PL006,01-01-2014,,Annual,300.0,Active
S0000231,C0000231,PL003,20-04-2021,,Monthly,399.0,Active
S0000232,C0000232,PL020,19-07-2014,,Monthly,599.0,Active
S0000233,C0000233,PL014,14-02-2020,,Monthly,1199.0,Active
S0000234,C0000234,PL002,02-03-2024,,Monthly,299.0,Active
S0000235,C0000235,PL014,11-10-2022,11-03-2026,Monthly,1199.0,Terminated
S0000236,C0000236,PL006,21-09-2020,,Annual,300.0,Active
S0000237,C0000237,PL014,27-06-2023,,Monthly,1199.0,Active
S0000238,C0000238,PL006,17-11-2023,29-12-2023,Annual,300.0,Terminated
S0000239,C0000239,PL020,25-12-2023,,Monthly,599.0,Active
S0000240,C0000240,PL001,04-06-2016,,Monthly,199.0,Active
S0000241,C0000241,PL018,01-01-2014,,Annual,1000.0,Active
S0000242,C0000242,PL006,01-01-2014,,Annual,300.0,Active
S0000243,C0000243,PL010,16-09-2018,,Monthly,1299.0,Active
S0000244,C0000244,PL013,21-05-2014,,Monthly,899.0,Active
S0000245,C0000245,PL021,01-01-2014,,Annual,4166.0,Active
S0000246,C0000246,PL003,05-01-2014,15-12-2016,Monthly,399.0,Terminated
S0000247,C0000247,PL003,09-12-2019,,Monthly,399.0,Active
S0000248,C0000248,PL016,02-12-2015,,Monthly,999.0,Active
S0000249,C0000249,PL017,01-01-2014,,Monthly,1499.0,Active
S0000250,C0000250,PL007,12-01-2016,,Monthly,499.0,Active
S0000251,C0000251,PL023,12-01-2019,,Monthly,99.0,Active
S0000252,C0000252,PL016,06-05-2017,,Monthly,999.0,Active
S0000253,C0000253,PL015,05-04-2025,11-12-2025,Monthly,699.0,Terminated
S0000254,C0000254,PL011,22-03-2019,,Annual,583.0,Active
S0000255,C0000255,PL003,01-07-2018,,Monthly,399.0,Active
S0000256,C0000256,PL004,07-03-2015,,Monthly,449.0,Active
S0000257,C0000257,PL015,01-04-2021,,Monthly,699.0,Active
S0000258,C0000258,PL024,02-08-2022,,Monthly,499.0,Active
S0000259,C0000259,PL003,31-07-2014,,Monthly,399.0,Active
S0000260,C0000260,PL003,30-06-2015,,Monthly,399.0,Active
S0000261,C0000261,PL013,19-10-2023,,Monthly,899.0,Active
S0000262,C0000262,PL003,07-12-2022,,Monthly,399.0,Active
S0000263,C0000263,PL003,12-11-2019,,Monthly,399.0,Active
S0000264,C0000264,PL018,15-02-2018,,Annual,1000.0,Active
S0000265,C0000265,PL023,27-08-2019,,Monthly,99.0,Active
S0000266,C0000266,PL004,17-02-2017,,Monthly,449.0,Active
S0000267,C0000267,PL016,01-01-2014,,Monthly,999.0,Active
S0000268,C0000268,PL017,05-01-2014,21-10-2025,Monthly,1499.0,Terminated
S0000269,C0000269,PL024,29-06-2018,,Monthly,499.0,Active
S0000270,C0000270,PL009,24-01-2023,,Monthly,999.0,Active
S0000271,C0000271,PL005,01-01-2014,,Annual,250.0,Active
S0000272,C0000272,PL008,11-04-2021,,Monthly,699.0,Active
S0000273,C0000273,PL006,01-01-2014,,Annual,300.0,Active
S0000274,C0000274,PL001,16-08-2024,,Monthly,199.0,Active
S0000275,C0000275,PL010,17-09-2015,,Monthly,1299.0,Active
S0000276,C0000276,PL018,02-12-2015,,Annual,1000.0,Active
S0000277,C0000277,PL013,05-08-2018,,Monthly,899.0,Active
S0000278,C0000278,PL007,19-04-2014,,Monthly,499.0,Active
S0000279,C0000279,PL020,14-03-2014,,Monthly,599.0,Active
S0000280,C0000280,PL020,08-09-2015,30-04-2022,Monthly,599.0,Terminated
S0000281,C0000281,PL003,04-04-2014,,Monthly,399.0,Active
S0000282,C0000282,PL007,21-05-2015,,Monthly,499.0,Active
S0000283,C0000283,PL001,10-10-2022,,Monthly,199.0,Active
S0000284,C0000284,PL023,22-03-2019,,Monthly,99.0,Active
S0000285,C0000285,PL012,23-03-2020,,Monthly,599.0,Active
S0000286,C0000286,PL023,29-03-2016,,Monthly,99.0,Active
S0000287,C0000287,PL010,18-12-2018,,Monthly,1299.0,Active
S0000288,C0000288,PL018,01-01-2014,,Annual,1000.0,Active
S0000289,C0000289,PL003,25-05-2015,,Monthly,399.0,Active
S0000290,C0000290,PL017,01-02-2014,,Monthly,1499.0,Active
S0000291,C0000291,PL024,13-11-2016,,Monthly,499.0,Active
S0000292,C0000292,PL003,04-12-2017,17-04-2018,Monthly,399.0,Terminated
S0000293,C0000293,PL005,24-12-2015,,Annual,250.0,Active
S0000294,C0000294,PL006,12-04-2014,,Annual,300.0,Active
S0000295,C0000295,PL018,01-01-2014,,Annual,1000.0,Active
S0000296,C0000296,PL001,15-08-2022,,Monthly,199.0,Active
S0000297,C0000297,PL010,19-07-2019,,Monthly,1299.0,Active
S0000298,C0000298,PL013,30-04-2024,11-10-2025,Monthly,899.0,Terminated
S0000299,C0000299,PL011,01-01-2014,,Annual,583.0,Active
S0000300,C0000300,PL006,07-06-2019,,Annual,300.0,Active
S0000301,C0000301,PL003,19-02-2026,,Monthly,399.0,Active
S0000302,C0000302,PL004,03-06-2022,,Monthly,449.0,Active
S0000303,C0000303,PL017,01-01-2014,,Monthly,1499.0,Active
S0000304,C0000304,PL002,18-09-2017,,Monthly,299.0,Active
S0000305,C0000305,PL005,21-02-2022,,Annual,250.0,Active
S0000306,C0000306,PL007,10-11-2016,,Monthly,499.0,Active
S0000307,C0000307,PL014,25-03-2015,,Monthly,1199.0,Active
S0000308,C0000308,PL003,18-05-2022,20-11-2022,Monthly,399.0,Terminated
S0000309,C0000309,PL004,03-09-2016,,Monthly,449.0,Active
S0000310,C0000310,PL001,10-07-2016,,Monthly,199.0,Active
S0000311,C0000311,PL006,05-11-2020,,Annual,300.0,Active
S0000312,C0000312,PL025,30-12-2018,,Monthly,799.0,Active
S0000313,C0000313,PL020,19-08-2024,10-09-2025,Monthly,599.0,Terminated
S0000314,C0000314,PL005,01-01-2014,,Annual,250.0,Active
S0000315,C0000315,PL005,01-01-2014,,Annual,250.0,Active
S0000316,C0000316,PL015,07-02-2016,,Monthly,699.0,Active
S0000317,C0000317,PL023,15-12-2014,,Monthly,99.0,Active
S0000318,C0000318,PL004,28-05-2023,,Monthly,449.0,Active
S0000319,C0000319,PL010,14-11-2023,08-09-2025,Monthly,1299.0,Terminated
S0000320,C0000320,PL016,15-01-2026,23-03-2026,Monthly,999.0,Terminated
S0000321,C0000321,PL004,14-09-2021,10-01-2024,Monthly,449.0,Terminated
S0000322,C0000322,PL003,25-03-2018,,Monthly,399.0,Active
S0000323,C0000323,PL018,10-08-2023,,Annual,1000.0,Active
S0000324,C0000324,PL020,26-04-2020,,Monthly,599.0,Active
S0000325,C0000325,PL005,16-03-2014,,Annual,250.0,Active
S0000326,C0000326,PL008,17-10-2019,,Monthly,699.0,Active
S0000327,C0000327,PL002,31-10-2017,,Monthly,299.0,Active
S0000328,C0000328,PL008,07-02-2020,,Monthly,699.0,Active
S0000329,C0000329,PL008,18-01-2021,,Monthly,699.0,Active
S0000330,C0000330,PL001,22-10-2019,,Monthly,199.0,Active
S0000331,C0000331,PL017,26-08-2022,,Monthly,1499.0,Active
S0000332,C0000332,PL011,22-09-2014,,Annual,583.0,Active
S0000333,C0000333,PL009,12-02-2025,,Monthly,999.0,Active
S0000334,C0000334,PL001,13-02-2017,,Monthly,199.0,Active
S0000335,C0000335,PL013,16-02-2015,,Monthly,899.0,Active
S0000336,C0000336,PL008,24-02-2014,,Monthly,699.0,Active
S0000337,C0000337,PL010,12-01-2021,,Monthly,1299.0,Active
S0000338,C0000338,PL004,12-12-2015,,Monthly,449.0,Active
S0000339,C0000339,PL013,27-01-2025,10-11-2025,Monthly,899.0,Terminated
S0000340,C0000340,PL006,05-12-2014,,Annual,300.0,Active
S0000341,C0000341,PL015,30-05-2014,,Monthly,699.0,Active
S0000342,C0000342,PL010,15-06-2014,,Monthly,1299.0,Active
S0000343,C0000343,PL006,30-05-2019,,Annual,300.0,Active
S0000344,C0000344,PL002,26-09-2020,,Monthly,299.0,Active
S0000345,C0000345,PL020,17-01-2017,,Monthly,599.0,Active
S0000346,C0000346,PL005,15-11-2019,,Annual,250.0,Active
S0000347,C0000347,PL025,15-07-2018,,Monthly,799.0,Active
S0000348,C0000348,PL005,01-01-2014,,Annual,250.0,Active
S0000349,C0000349,PL003,10-04-2025,,Monthly,399.0,Active
S0000350,C0000350,PL002,12-12-2014,,Monthly,299.0,Active
S0000351,C0000351,PL004,27-09-2024,,Monthly,449.0,Active
S0000352,C0000352,PL003,24-01-2025,28-01-2025,Monthly,399.0,Terminated
S0000353,C0000353,PL006,16-11-2015,,Annual,300.0,Active
S0000354,C0000354,PL020,03-01-2021,,Monthly,599.0,Active
S0000355,C0000355,PL019,16-08-2017,,Monthly,349.0,Active
S0000356,C0000356,PL023,28-04-2016,,Monthly,99.0,Active
S0000357,C0000357,PL010,20-10-2016,,Monthly,1299.0,Active
S0000358,C0000358,PL003,12-05-2020,,Monthly,399.0,Active
S0000359,C0000359,PL017,28-12-2016,,Monthly,1499.0,Active
S0000360,C0000360,PL014,11-08-2022,,Monthly,1199.0,Active
S0000361,C0000361,PL012,29-03-2025,01-03-2026,Monthly,599.0,Terminated
S0000362,C0000362,PL017,01-04-2016,,Monthly,1499.0,Active
S0000363,C0000363,PL007,28-03-2023,,Monthly,499.0,Active
S0000364,C0000364,PL005,02-07-2019,,Annual,250.0,Active
S0000365,C0000365,PL004,13-05-2017,01-04-2024,Monthly,449.0,Terminated
S0000366,C0000366,PL015,01-01-2014,11-02-2015,Monthly,699.0,Terminated
S0000367,C0000367,PL002,21-03-2022,,Monthly,299.0,Active
S0000368,C0000368,PL007,28-04-2025,,Monthly,499.0,Active
S0000369,C0000369,PL004,23-04-2018,14-03-2026,Monthly,449.0,Terminated
S0000370,C0000370,PL015,01-01-2014,,Monthly,699.0,Active
S0000371,C0000371,PL002,19-01-2016,,Monthly,299.0,Active
S0000372,C0000372,PL001,26-08-2020,01-11-2025,Monthly,199.0,Terminated
S0000373,C0000373,PL010,18-11-2021,,Monthly,1299.0,Active
S0000374,C0000374,PL004,17-01-2020,,Monthly,449.0,Active
S0000375,C0000375,PL004,05-01-2016,,Monthly,449.0,Active
S0000376,C0000376,PL008,19-01-2026,,Monthly,699.0,Active
S0000377,C0000377,PL006,22-09-2015,,Annual,300.0,Active
S0000378,C0000378,PL006,13-03-2020,,Annual,300.0,Active
S0000379,C0000379,PL008,24-09-2025,,Monthly,699.0,Active
S0000380,C0000380,PL007,16-05-2015,,Monthly,499.0,Active
S0000381,C0000381,PL012,04-07-2022,,Monthly,599.0,Active
S0000382,C0000382,PL002,06-03-2020,,Monthly,299.0,Active
S0000383,C0000383,PL004,07-08-2020,,Monthly,449.0,Active
S0000384,C0000384,PL011,22-01-2016,,Annual,583.0,Active
S0000385,C0000385,PL006,10-08-2014,,Annual,300.0,Active
S0000386,C0000386,PL002,15-12-2019,,Monthly,299.0,Active
S0000387,C0000387,PL017,14-11-2023,,Monthly,1499.0,Active
S0000388,C0000388,PL013,10-04-2022,10-12-2024,Monthly,899.0,Terminated
S0000389,C0000389,PL004,20-10-2018,,Monthly,449.0,Active
S0000390,C0000390,PL002,08-11-2023,,Monthly,299.0,Active
