history_id,customer_id,old_plan_id,new_plan_id,change_date,change_reason
PH0000057,C0000057,PL002,PL015,20-10-2018,Upgrade
PH0000058,C0000061,PL021,PL016,25-10-2022,Downgrade
PH0000059,C0000061,PL016,PL023,30-08-2017,Downgrade
PH0000060,C0000062,PL001,PL020,02-08-2023,Customer Request
PH0000061,C0000063,PL001,PL017,25-01-2025,Offer Migration
PH0000062,C0000063,PL017,PL021,23-09-2024,Customer Request
PH0000063,C0000063,PL021,PL004,10-08-2025,Downgrade
PH0000064,C0000064,PL008,PL004,06-08-2021,Upgrade
PH0000065,C0000064,PL004,PL010,16-10-2021,Downgrade
PH0000066,C0000067,PL006,PL021,29-12-2023,Customer Request
PH0000067,C0000067,PL021,PL024,14-07-2021,Upgrade
PH0000068,C0000069,PL007,PL010,22-11-2021,Customer Request
PH0000069,C0000070,PL006,PL017,12-02-2022,Offer Migration
PH0000070,C0000070,PL017,PL002,09-07-2022,Downgrade
PH0000071,C0000071,PL001,PL022,30-08-2025,Customer Request
PH0000072,C0000071,PL022,PL018,23-11-2025,Downgrade
PH0000073,C0000073,PL010,PL015,01-11-2023,Downgrade
PH0000074,C0000075,PL005,PL019,25-04-2025,Downgrade
PH0000075,C0000075,PL019,PL021,10-06-2025,Offer Migration
PH0000076,C0000075,PL021,PL004,22-06-2025,Downgrade
PH0000077,C0000076,PL013,PL020,10-09-2024,Downgrade
PH0000078,C0000076,PL020,PL014,19-07-2023,Offer Migration
PH0000079,C0000080,PL004,PL004,02-12-2025,Customer Request
PH0000080,C0000080,PL004,PL007,16-08-2025,Downgrade
PH0000081,C0000084,PL025,PL018,25-07-2019,Downgrade
PH0000082,C0000084,PL018,PL011,14-06-2023,Downgrade
PH0000083,C0000084,PL011,PL005,15-10-2022,Customer Request
PH0000084,C0000085,PL004,PL013,06-04-2018,Downgrade
PH0000085,C0000086,PL010,PL021,19-06-2016,Offer Migration
PH0000086,C0000086,PL021,PL003,15-09-2023,Customer Request
PH0000087,C0000089,PL002,PL004,14-04-2022,Upgrade
PH0000088,C0000089,PL004,PL011,27-06-2024,Downgrade
PH0000089,C0000089,PL011,PL002,23-02-2023,Offer Migration
PH0000090,C0000090,PL018,PL005,02-02-2021,Customer Request
PH0000091,C0000090,PL005,PL016,04-05-2019,Customer Request
PH0000092,C0000090,PL016,PL012,06-06-2019,Offer Migration
PH0000093,C0000094,PL014,PL008,04-12-2020,Customer Request
PH0000094,C0000094,PL008,PL003,13-03-2022,Offer Migration
PH0000095,C0000094,PL003,PL014,26-01-2020,Offer Migration
PH0000096,C0000095,PL006,PL006,10-01-2023,Customer Request
PH0000097,C0000095,PL006,PL005,02-01-2019,Downgrade
PH0000098,C0000095,PL005,PL003,07-01-2021,Offer Migration
PH0000099,C0000096,PL010,PL005,18-08-2025,Upgrade
PH0000100,C0000097,PL002,PL002,18-07-2023,Downgrade
PH0000101,C0000099,PL006,PL022,02-02-2017,Downgrade
PH0000102,C0000101,PL007,PL011,09-06-2022,Downgrade
PH0000103,C0000101,PL011,PL019,13-08-2022,Downgrade
PH0000104,C0000104,PL007,PL022,18-01-2019,Customer Request
PH0000105,C0000104,PL022,PL005,01-03-2024,Downgrade
PH0000106,C0000104,PL005,PL018,01-10-2020,Upgrade
PH0000107,C0000105,PL005,PL007,21-01-2025,Upgrade
PH0000108,C0000105,PL007,PL009,06-03-2025,Offer Migration
PH0000109,C0000106,PL020,PL009,25-11-2019,Downgrade
PH0000110,C0000108,PL016,PL008,27-02-2023,Offer Migration
PH0000111,C0000109,PL001,PL005,23-04-2020,Customer Request
PH0000112,C0000109,PL005,PL017,08-08-2023,Customer Request
PH0000113,C0000112,PL007,PL018,08-06-2022,Customer Request
PH0000114,C0000112,PL018,PL006,06-12-2024,Downgrade
PH0000115,C0000113,PL005,PL023,09-11-2023,Customer Request
PH0000116,C0000114,PL018,PL016,03-08-2019,Offer Migration
PH0000117,C0000114,PL016,PL019,26-07-2021,Upgrade
PH0000118,C0000114,PL019,PL023,03-08-2019,Upgrade
PH0000119,C0000115,PL004,PL001,23-12-2022,Offer Migration
PH0000120,C0000115,PL001,PL024,23-06-2024,Customer Request
PH0000121,C0000116,PL002,PL015,11-02-2019,Offer Migration
PH0000122,C0000117,PL001,PL007,14-11-2025,Offer Migration
PH0000123,C0000117,PL007,PL007,14-08-2025,Offer Migration
PH0000124,C0000117,PL007,PL023,22-11-2025,Customer Request
PH0000125,C0000118,PL022,PL020,23-12-2014,Offer Migration
PH0000126,C0000120,PL005,PL012,13-06-2017,Downgrade
PH0000127,C0000120,PL012,PL024,14-05-2019,Upgrade
PH0000128,C0000121,PL016,PL022,28-02-2018,Offer Migration
PH0000129,C0000121,PL022,PL006,16-12-2015,Offer Migration
PH0000130,C0000123,PL007,PL008,22-07-2023,Offer Migration
PH0000131,C0000123,PL008,PL012,22-07-2023,Upgrade
PH0000132,C0000123,PL012,PL015,03-09-2023,Customer Request
PH0000133,C0000124,PL010,PL004,21-03-2020,Downgrade
PH0000134,C0000124,PL004,PL011,17-06-2020,Customer Request
PH0000135,C0000124,PL011,PL004,20-02-2019,Offer Migration
PH0000136,C0000125,PL017,PL023,21-10-2024,Downgrade
PH0000137,C0000125,PL023,PL005,18-03-2025,Downgrade
PH0000138,C0000125,PL005,PL023,04-10-2025,Customer Request
PH0000139,C0000128,PL016,PL013,28-03-2023,Upgrade
PH0000140,C0000128,PL013,PL002,14-11-2017,Downgrade
PH0000141,C0000129,PL005,PL018,08-08-2017,Downgrade
PH0000142,C0000129,PL018,PL010,08-11-2017,Downgrade
PH0000143,C0000130,PL020,PL009,08-06-2023,Upgrade
PH0000144,C0000130,PL009,PL003,22-01-2025,Downgrade
PH0000145,C0000133,PL014,PL003,23-02-2017,Offer Migration
PH0000146,C0000133,PL003,PL009,03-11-2022,Customer Request
PH0000147,C0000135,PL001,PL015,02-06-2014,Offer Migration
PH0000148,C0000135,PL015,PL018,10-02-2015,Offer Migration
PH0000149,C0000135,PL018,PL025,10-06-2014,Downgrade
PH0000150,C0000137,PL003,PL006,10-05-2021,Customer Request
PH0000151,C0000137,PL006,PL006,10-05-2017,Offer Migration
PH0000152,C0000139,PL001,PL005,21-03-2020,Customer Request
PH0000153,C0000148,PL010,PL019,07-11-2021,Offer Migration
PH0000154,C0000148,PL019,PL023,22-12-2022,Offer Migration
PH0000155,C0000155,PL013,PL016,27-10-2025,Upgrade
PH0000156,C0000156,PL010,PL012,30-06-2021,Customer Request
PH0000157,C0000156,PL012,PL003,01-04-2021,Downgrade
PH0000158,C0000156,PL003,PL023,15-10-2020,Upgrade
PH0000159,C0000157,PL018,PL008,01-11-2025,Customer Request
PH0000160,C0000157,PL008,PL019,13-05-2025,Customer Request
PH0000161,C0000158,PL003,PL005,02-07-2025,Offer Migration
PH0000162,C0000160,PL003,PL017,27-12-2020,Offer Migration
PH0000163,C0000160,PL017,PL005,02-12-2020,Customer Request
PH0000164,C0000162,PL006,PL013,22-02-2024,Offer Migration
PH0000165,C0000165,PL003,PL022,24-03-2022,Customer Request
PH0000166,C0000165,PL022,PL015,20-02-2022,Downgrade
PH0000167,C0000171,PL001,PL003,06-01-2025,Offer Migration
PH0000168,C0000171,PL003,PL020,28-01-2025,Customer Request
PH0000169,C0000172,PL004,PL010,15-05-2021,Downgrade
PH0000170,C0000172,PL010,PL010,24-02-2024,Upgrade
PH0000171,C0000174,PL001,PL006,05-08-2022,Upgrade
PH0000172,C0000174,PL006,PL017,11-05-2021,Upgrade
PH0000173,C0000175,PL022,PL016,01-07-2016,Downgrade
PH0000174,C0000176,PL002,PL010,24-02-2021,Upgrade
PH0000175,C0000177,PL012,PL012,19-05-2019,Customer Request
PH0000176,C0000177,PL012,PL008,04-12-2018,Customer Request
PH0000177,C0000180,PL009,PL002,14-06-2024,Offer Migration
PH0000178,C0000181,PL015,PL021,01-06-2024,Downgrade
PH0000179,C0000181,PL021,PL005,02-09-2024,Customer Request
PH0000180,C0000181,PL005,PL010,15-01-2025,Customer Request
PH0000181,C0000183,PL005,PL021,07-11-2025,Offer Migration
PH0000182,C0000187,PL006,PL020,29-12-2024,Downgrade
PH0000183,C0000190,PL009,PL003,04-04-2025,Customer Request
PH0000184,C0000190,PL003,PL005,11-05-2024,Downgrade
PH0000185,C0000190,PL005,PL010,03-06-2022,Upgrade
PH0000186,C0000192,PL011,PL018,16-11-2024,Upgrade
PH0000187,C0000194,PL005,PL016,22-02-2022,Customer Request
PH0000188,C0000194,PL016,PL019,23-07-2019,Downgrade
PH0000189,C0000194,PL019,PL003,14-11-2016,Offer Migration
PH0000190,C0000197,PL003,PL009,27-12-2021,Customer Request
PH0000191,C0000197,PL009,PL024,16-02-2023,Upgrade
PH0000192,C0000197,PL024,PL005,18-11-2021,Upgrade
PH0000193,C0000198,PL016,PL014,19-05-2018,Offer Migration
PH0000194,C0000198,PL014,PL008,16-10-2015,Upgrade
PH0000195,C0000198,PL008,PL014,16-05-2023,Offer Migration
PH0000196,C0000201,PL005,PL009,09-03-2015,Offer Migration
PH0000197,C0000203,PL005,PL007,15-12-2024,Customer Request
PH0000198,C0000205,PL011,PL017,22-11-2024,Downgrade
PH0000199,C0000206,PL008,PL001,04-03-2025,Upgrade
PH0000200,C0000206,PL001,PL001,05-08-2025,Offer Migration
PH0000201,C0000206,PL001,PL004,22-03-2025,Upgrade
PH0000202,C0000207,PL004,PL014,17-12-2024,Offer Migration
PH0000203,C0000209,PL011,PL003,28-09-2025,Upgrade
PH0000204,C0000209,PL003,PL023,16-09-2025,Upgrade
PH0000205,C0000209,PL023,PL009,12-07-2024,Customer Request
PH0000206,C0000212,PL006,PL002,14-01-2022,Upgrade
PH0000207,C0000212,PL002,PL019,19-08-2019,Customer Request
PH0000208,C0000212,PL019,PL006,23-01-2024,Upgrade
PH0000209,C0000213,PL009,PL016,11-10-2022,Customer Request
PH0000210,C0000213,PL016,PL023,06-02-2025,Offer Migration
PH0000211,C0000217,PL008,PL011,05-08-2020,Offer Migration
PH0000212,C0000217,PL011,PL022,16-01-2019,Downgrade
PH0000213,C0000217,PL022,PL020,03-12-2019,Upgrade
PH0000214,C0000218,PL003,PL010,29-10-2020,Upgrade
PH0000215,C0000218,PL010,PL015,07-10-2016,Upgrade
PH0000216,C0000220,PL002,PL004,08-05-2025,Downgrade
PH0000217,C0000220,PL004,PL019,14-09-2025,Downgrade
PH0000218,C0000224,PL020,PL014,23-11-2023,Offer Migration
PH0000219,C0000224,PL014,PL025,20-10-2024,Offer Migration
PH0000220,C0000224,PL025,PL013,28-03-2023,Customer Request
PH0000221,C0000228,PL008,PL020,25-12-2019,Downgrade
PH0000222,C0000228,PL020,PL010,04-10-2022,Upgrade
PH0000223,C0000230,PL006,PL008,16-04-2017,Upgrade
PH0000224,C0000230,PL008,PL010,12-07-2023,Offer Migration
PH0000225,C0000232,PL020,PL014,23-08-2019,Downgrade
PH0000226,C0000232,PL014,PL009,26-12-2018,Downgrade
PH0000227,C0000234,PL002,PL019,23-06-2025,Downgrade
PH0000228,C0000235,PL014,PL019,27-04-2025,Offer Migration
PH0000229,C0000236,PL006,PL023,09-07-2024,Upgrade
PH0000230,C0000237,PL014,PL004,23-05-2025,Customer Request
PH0000231,C0000244,PL013,PL008,04-11-2021,Downgrade
PH0000232,C0000244,PL008,PL023,27-03-2020,Offer Migration
PH0000233,C0000249,PL017,PL024,15-06-2015,Downgrade
PH0000234,C0000249,PL024,PL020,01-06-2018,Downgrade
PH0000235,C0000251,PL023,PL001,08-06-2021,Customer Request
PH0000236,C0000251,PL001,PL003,25-03-2021,Downgrade
PH0000237,C0000251,PL003,PL007,29-04-2023,Downgrade
PH0000238,C0000252,PL016,PL022,22-10-2020,Customer Request
PH0000239,C0000252,PL022,PL002,27-09-2022,Downgrade
PH0000240,C0000252,PL002,PL012,10-06-2023,Upgrade
PH0000241,C0000253,PL015,PL007,07-10-2025,Offer Migration
PH0000242,C0000254,PL011,PL017,11-01-2024,Downgrade
PH0000243,C0000254,PL017,PL009,11-05-2019,Downgrade
PH0000244,C0000255,PL003,PL018,15-03-2024,Customer Request
PH0000245,C0000256,PL004,PL002,11-04-2022,Downgrade
PH0000246,C0000256,PL002,PL016,27-09-2022,Upgrade
PH0000247,C0000256,PL016,PL005,08-07-2016,Customer Request
PH0000248,C0000257,PL015,PL013,17-11-2021,Offer Migration
PH0000249,C0000257,PL013,PL019,25-08-2021,Offer Migration
PH0000250,C0000258,PL024,PL019,23-10-2024,Downgrade
PH0000251,C0000258,PL019,PL004,03-04-2024,Downgrade
PH0000252,C0000260,PL003,PL005,22-06-2016,Downgrade
PH0000253,C0000262,PL003,PL013,08-01-2024,Downgrade
PH0000254,C0000264,PL018,PL007,26-05-2023,Customer Request
PH0000255,C0000267,PL016,PL006,09-12-2020,Downgrade
PH0000256,C0000267,PL006,PL022,02-09-2020,Customer Request
PH0000257,C0000268,PL017,PL017,10-01-2020,Offer Migration
PH0000258,C0000268,PL017,PL009,27-03-2022,Downgrade
PH0000259,C0000268,PL009,PL014,20-09-2016,Offer Migration
PH0000260,C0000269,PL024,PL002,02-02-2019,Upgrade
PH0000261,C0000269,PL002,PL011,25-12-2018,Offer Migration
PH0000262,C0000269,PL011,PL012,21-05-2019,Customer Request
PH0000263,C0000274,PL001,PL015,23-11-2025,Downgrade
PH0000264,C0000275,PL010,PL025,03-04-2020,Offer Migration
PH0000265,C0000277,PL013,PL011,05-02-2023,Downgrade
PH0000266,C0000277,PL011,PL017,04-01-2021,Upgrade
PH0000267,C0000277,PL017,PL022,12-11-2022,Downgrade
PH0000268,C0000278,PL007,PL001,13-06-2019,Downgrade
PH0000269,C0000278,PL001,PL007,12-05-2021,Customer Request
PH0000270,C0000278,PL007,PL001,01-04-2022,Offer Migration
PH0000271,C0000281,PL003,PL019,30-11-2021,Customer Request
PH0000272,C0000281,PL019,PL003,21-10-2022,Upgrade
PH0000273,C0000282,PL007,PL021,29-09-2023,Offer Migration
PH0000274,C0000282,PL021,PL002,19-03-2017,Downgrade
PH0000275,C0000284,PL023,PL002,11-10-2020,Customer Request
PH0000276,C0000284,PL002,PL016,10-05-2023,Upgrade
PH0000277,C0000288,PL018,PL019,31-07-2019,Upgrade
PH0000278,C0000288,PL019,PL023,04-09-2021,Upgrade
PH0000279,C0000290,PL017,PL015,01-07-2018,Offer Migration
PH0000280,C0000290,PL015,PL019,05-03-2022,Customer Request
PH0000281,C0000290,PL019,PL016,02-10-2018,Customer Request
PH0000282,C0000291,PL024,PL003,07-04-2021,Offer Migration
PH0000283,C0000293,PL005,PL008,03-10-2020,Upgrade
PH0000284,C0000294,PL006,PL005,19-10-2019,Downgrade
PH0000285,C0000294,PL005,PL011,18-09-2020,Customer Request
PH0000286,C0000297,PL010,PL006,17-08-2023,Offer Migration
PH0000287,C0000297,PL006,PL006,25-03-2022,Downgrade
PH0000288,C0000298,PL013,PL012,10-06-2025,Upgrade
PH0000289,C0000299,PL011,PL017,06-05-2019,Upgrade
PH0000290,C0000304,PL002,PL011,21-01-2020,Downgrade
PH0000291,C0000304,PL011,PL025,01-10-2023,Downgrade
PH0000292,C0000304,PL025,PL016,16-03-2023,Upgrade
PH0000293,C0000305,PL005,PL024,26-06-2023,Upgrade
PH0000294,C0000306,PL007,PL016,11-04-2023,Downgrade
PH0000295,C0000306,PL016,PL020,16-07-2023,Customer Request
PH0000296,C0000309,PL004,PL006,28-02-2019,Downgrade
PH0000297,C0000309,PL006,PL023,05-07-2020,Downgrade
PH0000298,C0000312,PL025,PL012,29-03-2024,Offer Migration
PH0000299,C0000312,PL012,PL005,07-06-2021,Customer Request
PH0000300,C0000312,PL005,PL005,19-01-2023,Customer Request
PH0000301,C0000313,PL020,PL009,05-10-2024,Downgrade
PH0000302,C0000313,PL009,PL020,05-12-2024,Customer Request
PH0000303,C0000313,PL020,PL003,04-11-2024,Downgrade
PH0000304,C0000314,PL005,PL017,03-11-2022,Upgrade
PH0000305,C0000314,PL017,PL024,13-06-2014,Customer Request
PH0000306,C0000316,PL015,PL019,03-08-2017,Downgrade
PH0000307,C0000316,PL019,PL021,19-01-2017,Upgrade
PH0000308,C0000317,PL023,PL001,21-05-2015,Customer Request
PH0000309,C0000318,PL004,PL014,29-06-2025,Downgrade
PH0000310,C0000318,PL014,PL021,29-08-2024,Customer Request
PH0000311,C0000319,PL010,PL013,18-04-2024,Offer Migration
PH0000312,C0000319,PL013,PL025,08-07-2024,Downgrade
PH0000313,C0000319,PL025,PL014,26-12-2024,Upgrade
PH0000314,C0000321,PL004,PL019,03-08-2022,Offer Migration
PH0000315,C0000321,PL019,PL022,06-09-2022,Customer Request
PH0000316,C0000322,PL003,PL010,29-06-2019,Upgrade
PH0000317,C0000322,PL010,PL015,25-01-2024,Customer Request
PH0000318,C0000322,PL015,PL018,30-08-2022,Customer Request
PH0000319,C0000323,PL018,PL013,10-11-2023,Offer Migration
PH0000320,C0000323,PL013,PL013,16-05-2024,Downgrade
PH0000321,C0000323,PL013,PL009,14-12-2023,Upgrade
PH0000322,C0000327,PL002,PL010,05-12-2018,Upgrade
PH0000323,C0000329,PL008,PL010,12-04-2022,Customer Request
PH0000324,C0000331,PL017,PL009,06-11-2022,Downgrade
PH0000325,C0000331,PL009,PL012,28-08-2024,Offer Migration
PH0000326,C0000333,PL009,PL007,24-04-2025,Customer Request
PH0000327,C0000333,PL007,PL013,22-06-2025,Offer Migration
PH0000328,C0000333,PL013,PL010,12-05-2025,Customer Request
PH0000329,C0000335,PL013,PL017,13-01-2020,Upgrade
PH0000330,C0000335,PL017,PL022,15-06-2019,Downgrade
PH0000331,C0000337,PL010,PL002,01-11-2021,Downgrade
PH0000332,C0000341,PL015,PL014,09-10-2020,Offer Migration
PH0000333,C0000341,PL014,PL015,21-02-2022,Offer Migration
PH0000334,C0000342,PL010,PL024,14-02-2020,Customer Request
PH0000335,C0000342,PL024,PL021,04-10-2019,Downgrade
PH0000336,C0000342,PL021,PL007,25-11-2020,Offer Migration
PH0000337,C0000344,PL002,PL007,19-12-2022,Customer Request
PH0000338,C0000344,PL007,PL007,08-07-2023,Customer Request
PH0000339,C0000345,PL020,PL019,15-12-2023,Downgrade
PH0000340,C0000345,PL019,PL004,04-11-2017,Offer Migration
PH0000341,C0000350,PL002,PL025,06-12-2019,Upgrade
PH0000342,C0000350,PL025,PL002,14-10-2016,Upgrade
PH0000343,C0000350,PL002,PL013,25-05-2019,Upgrade
PH0000344,C0000351,PL004,PL008,25-09-2025,Offer Migration
PH0000345,C0000351,PL008,PL023,10-03-2025,Downgrade
PH0000346,C0000353,PL006,PL003,30-06-2018,Customer Request
PH0000347,C0000353,PL003,PL020,22-09-2016,Downgrade
PH0000348,C0000353,PL020,PL007,07-02-2019,Offer Migration
PH0000349,C0000354,PL020,PL002,26-11-2021,Upgrade
PH0000350,C0000354,PL002,PL011,23-04-2024,Customer Request
PH0000351,C0000354,PL011,PL009,14-03-2025,Offer Migration
PH0000352,C0000359,PL017,PL015,08-11-2020,Offer Migration
PH0000353,C0000360,PL014,PL016,08-09-2023,Upgrade
PH0000354,C0000361,PL012,PL020,02-12-2025,Customer Request
PH0000355,C0000361,PL020,PL022,18-06-2025,Offer Migration
PH0000356,C0000361,PL022,PL009,01-09-2025,Offer Migration
PH0000357,C0000363,PL007,PL020,22-05-2024,Downgrade
PH0000358,C0000363,PL020,PL002,03-10-2023,Upgrade
PH0000359,C0000367,PL002,PL013,21-08-2024,Customer Request
PH0000360,C0000367,PL013,PL019,02-01-2024,Customer Request
PH0000361,C0000367,PL019,PL008,21-03-2025,Downgrade
PH0000362,C0000371,PL002,PL006,10-10-2021,Offer Migration
PH0000363,C0000371,PL006,PL004,28-01-2020,Customer Request
PH0000364,C0000371,PL004,PL017,30-07-2023,Downgrade
PH0000365,C0000372,PL001,PL010,29-05-2021,Upgrade
PH0000366,C0000372,PL010,PL005,08-04-2022,Customer Request
PH0000367,C0000372,PL005,PL016,14-01-2024,Downgrade
PH0000368,C0000375,PL004,PL021,18-09-2020,Upgrade
PH0000369,C0000375,PL021,PL006,08-03-2019,Downgrade
PH0000370,C0000375,PL006,PL004,23-11-2021,Offer Migration
PH0000371,C0000377,PL006,PL019,14-07-2016,Downgrade
PH0000372,C0000377,PL019,PL003,01-09-2019,Downgrade
PH0000373,C0000377,PL003,PL024,03-07-2021,Offer Migration
PH0000374,C0000378,PL006,PL018,26-12-2020,Offer Migration
PH0000375,C0000378,PL018,PL017,11-05-2022,Upgrade
PH0000376,C0000378,PL017,PL014,18-06-2022,Customer Request
PH0000377,C0000382,PL002,PL002,19-12-2020,Customer Request
PH0000378,C0000382,PL002,PL011,19-12-2021,Customer Request
PH0000379,C0000385,PL006,PL011,26-09-2018,Customer Request
PH0000380,C0000386,PL002,PL009,12-10-2022,Downgrade
PH0000381,C0000386,PL009,PL007,19-08-2020,Offer Migration
PH0000382,C0000387,PL017,PL024,18-04-2025,Downgrade
PH0000383,C0000387,PL024,PL021,11-05-2025,Downgrade
PH0000384,C0000387,PL021,PL023,26-03-2025,Downgrade
PH0000385,C0000389,PL004,PL007,03-10-2019,Offer Migration
PH0000386,C0000389,PL007,PL012,21-04-2022,Offer Migration
PH0000387,C0000389,PL012,PL005,13-06-2019,Customer Request
PH0000388,C0000390,PL002,PL004,22-03-2024,Customer Request
PH0000389,C0000394,PL006,PL010,04-02-2022,Downgrade
PH0000390,C0000394,PL010,PL011,25-12-2018,Customer Request
PH0000391,C0000396,PL005,PL016,22-08-2022,Upgrade
PH0000392,C0000397,PL016,PL010,25-11-2020,Upgrade
PH0000393,C0000397,PL010,PL012,04-08-2024,Offer Migration
PH0000394,C0000398,PL010,PL003,15-11-2024,Upgrade
PH0000395,C0000398,PL003,PL010,01-06-2025,Downgrade
PH0000396,C0000401,PL011,PL001,25-10-2019,Customer Request
PH0000397,C0000401,PL001,PL018,25-12-2024,Downgrade
PH0000398,C0000404,PL006,PL017,01-11-2018,Downgrade
PH0000399,C0000404,PL017,PL004,22-03-2022,Upgrade
PH0000400,C0000407,PL002,PL005,06-07-2024,Customer Request
PH0000401,C0000407,PL005,PL022,07-06-2023,Downgrade
PH0000402,C0000407,PL022,PL020,20-07-2021,Downgrade
PH0000403,C0000409,PL009,PL018,22-04-2024,Upgrade
PH0000404,C0000410,PL001,PL022,06-05-2016,Upgrade
PH0000405,C0000410,PL022,PL024,12-12-2015,Customer Request
PH0000406,C0000410,PL024,PL023,11-01-2019,Upgrade
PH0000407,C0000411,PL008,PL012,07-08-2021,Downgrade
PH0000408,C0000413,PL003,PL001,14-06-2022,Upgrade
PH0000409,C0000414,PL006,PL005,31-05-2018,Upgrade
PH0000410,C0000414,PL005,PL015,30-07-2021,Offer Migration
PH0000411,C0000415,PL008,PL015,12-01-2026,Customer Request
PH0000412,C0000415,PL015,PL015,30-11-2025,Offer Migration
PH0000413,C0000418,PL006,PL021,09-01-2024,Upgrade
PH0000414,C0000418,PL021,PL014,05-01-2023,Offer Migration
PH0000415,C0000418,PL014,PL002,09-05-2023,Offer Migration
PH0000416,C0000420,PL006,PL021,10-09-2022,Customer Request
PH0000417,C0000420,PL021,PL016,09-11-2021,Downgrade
PH0000418,C0000421,PL006,PL014,12-01-2026,Offer Migration
PH0000419,C0000422,PL005,PL014,24-10-2019,Downgrade
PH0000420,C0000422,PL014,PL025,26-11-2019,Offer Migration
PH0000421,C0000424,PL001,PL003,20-08-2019,Customer Request
PH0000422,C0000424,PL003,PL003,19-03-2019,Downgrade
PH0000423,C0000425,PL002,PL002,26-03-2024,Upgrade
PH0000424,C0000426,PL011,PL008,03-11-2024,Downgrade
PH0000425,C0000426,PL008,PL013,07-08-2025,Upgrade
PH0000426,C0000426,PL013,PL003,01-04-2025,Upgrade
PH0000427,C0000428,PL004,PL006,16-08-2024,Downgrade
PH0000428,C0000433,PL001,PL017,31-10-2025,Upgrade
PH0000429,C0000433,PL017,PL020,11-09-2025,Upgrade
PH0000430,C0000433,PL020,PL009,03-11-2025,Upgrade
PH0000431,C0000434,PL009,PL009,22-06-2023,Offer Migration
PH0000432,C0000434,PL009,PL018,01-06-2017,Customer Request
