invoice_id,customer_id,billing_date,billing_period_month,base_amount_inr,gst_amount_inr,total_amount_inr,due_date,payment_status
INV00000052,C0000012,30-01-2026,01-2026,506.81,91.23,598.04,14-02-2026,Paid
INV00000053,C0000012,31-12-2025,12-2025,518.84,93.39,612.23,15-01-2026,Paid
INV00000054,C0000012,01-12-2025,12-2025,526.86,94.83,621.69,16-12-2025,Paid
INV00000055,C0000012,01-11-2025,11-2025,504.35,90.78,595.13,16-11-2025,Paid
INV00000056,C0000012,02-10-2025,10-2025,489.46,88.1,577.56,17-10-2025,Overdue
INV00000057,C0000012,02-09-2025,09-2025,459.92,82.79,542.71,17-09-2025,Unpaid
INV00000058,C0000012,03-08-2025,08-2025,507.27,91.31,598.58,18-08-2025,Unpaid
INV00000059,C0000012,04-07-2025,07-2025,492.19,88.59,580.78,19-07-2025,Unpaid
INV00000060,C0000012,04-06-2025,06-2025,491.0,88.38,579.38,19-06-2025,Paid
INV00000061,C0000012,05-05-2025,05-2025,473.04,85.15,558.19,20-05-2025,Overdue
INV00000062,C0000014,31-03-2026,03-2026,1021.2,183.82,1205.02,15-04-2026,Paid
INV00000063,C0000014,01-03-2026,03-2026,991.4,178.45,1169.85,16-03-2026,Overdue
INV00000064,C0000014,30-01-2026,01-2026,1045.92,188.27,1234.19,14-02-2026,Paid
INV00000065,C0000014,31-12-2025,12-2025,1045.01,188.1,1233.11,15-01-2026,Unpaid
INV00000066,C0000014,01-12-2025,12-2025,967.26,174.11,1141.37,16-12-2025,Paid
INV00000067,C0000014,01-11-2025,11-2025,937.0,168.66,1105.66,16-11-2025,Paid
INV00000068,C0000014,02-10-2025,10-2025,1052.17,189.39,1241.56,17-10-2025,Overdue
INV00000069,C0000014,02-09-2025,09-2025,1117.8,201.2,1319.0,17-09-2025,Overdue
INV00000070,C0000014,03-08-2025,08-2025,986.5,177.57,1164.07,18-08-2025,Paid
INV00000071,C0000014,04-07-2025,07-2025,1121.42,201.86,1323.28,19-07-2025,Overdue
INV00000072,C0000014,04-06-2025,06-2025,1080.9,194.56,1275.46,19-06-2025,Paid
INV00000073,C0000014,05-05-2025,05-2025,986.05,177.49,1163.54,20-05-2025,Overdue
INV00000074,C0000015,31-03-2026,03-2026,595.77,107.24,703.01,15-04-2026,Paid
INV00000075,C0000015,01-03-2026,03-2026,568.0,102.24,670.24,16-03-2026,Paid
INV00000076,C0000015,30-01-2026,01-2026,602.03,108.37,710.4,14-02-2026,Paid
INV00000077,C0000015,31-12-2025,12-2025,586.73,105.61,692.34,15-01-2026,Overdue
INV00000078,C0000015,01-12-2025,12-2025,592.75,106.7,699.45,16-12-2025,Paid
INV00000079,C0000015,01-11-2025,11-2025,560.5,100.89,661.39,16-11-2025,Overdue
INV00000080,C0000015,02-10-2025,10-2025,657.94,118.43,776.37,17-10-2025,Overdue
INV00000081,C0000015,02-09-2025,09-2025,625.61,112.61,738.22,17-09-2025,Paid
INV00000082,C0000015,03-08-2025,08-2025,612.55,110.26,722.81,18-08-2025,Unpaid
INV00000083,C0000015,04-07-2025,07-2025,573.66,103.26,676.92,19-07-2025,Overdue
INV00000084,C0000015,04-06-2025,06-2025,668.61,120.35,788.96,19-06-2025,Overdue
INV00000085,C0000015,05-05-2025,05-2025,555.33,99.96,655.29,20-05-2025,Overdue
INV00000086,C0000019,31-03-2026,03-2026,571.87,102.94,674.81,15-04-2026,Unpaid
INV00000087,C0000019,01-03-2026,03-2026,604.95,108.89,713.84,16-03-2026,Paid
INV00000088,C0000019,30-01-2026,01-2026,601.49,108.27,709.76,14-02-2026,Paid
INV00000089,C0000019,31-12-2025,12-2025,555.52,99.99,655.51,15-01-2026,Paid
INV00000090,C0000019,01-12-2025,12-2025,611.52,110.07,721.59,16-12-2025,Unpaid
INV00000091,C0000019,01-11-2025,11-2025,531.25,95.62,626.87,16-11-2025,Paid
INV00000092,C0000019,02-10-2025,10-2025,561.22,101.02,662.24,17-10-2025,Overdue
INV00000093,C0000019,02-09-2025,09-2025,625.88,112.66,738.54,17-09-2025,Unpaid
INV00000094,C0000019,03-08-2025,08-2025,582.71,104.89,687.6,18-08-2025,Paid
INV00000095,C0000019,04-07-2025,07-2025,576.02,103.68,679.7,19-07-2025,Overdue
INV00000096,C0000019,04-06-2025,06-2025,570.5,102.69,673.19,19-06-2025,Overdue
INV00000097,C0000019,05-05-2025,05-2025,580.27,104.45,684.72,20-05-2025,Paid
INV00000098,C0000028,31-03-2026,03-2026,476.28,85.73,562.01,15-04-2026,Unpaid
INV00000099,C0000028,01-03-2026,03-2026,508.66,91.56,600.22,16-03-2026,Overdue
INV00000100,C0000028,30-01-2026,01-2026,504.33,90.78,595.11,14-02-2026,Unpaid
INV00000101,C0000028,31-12-2025,12-2025,490.48,88.29,578.77,15-01-2026,Overdue
INV00000102,C0000028,01-12-2025,12-2025,447.57,80.56,528.13,16-12-2025,Paid
INV00000103,C0000028,01-11-2025,11-2025,531.67,95.7,627.37,16-11-2025,Overdue
INV00000104,C0000028,02-10-2025,10-2025,514.34,92.58,606.92,17-10-2025,Unpaid
INV00000105,C0000028,02-09-2025,09-2025,487.32,87.72,575.04,17-09-2025,Paid
INV00000106,C0000028,03-08-2025,08-2025,470.12,84.62,554.74,18-08-2025,Paid
INV00000107,C0000028,04-07-2025,07-2025,512.11,92.18,604.29,19-07-2025,Paid
INV00000108,C0000028,04-06-2025,06-2025,486.22,87.52,573.74,19-06-2025,Paid
INV00000109,C0000028,05-05-2025,05-2025,517.75,93.2,610.95,20-05-2025,Overdue
INV00000110,C0000029,31-03-2026,03-2026,4301.48,774.27,5075.75,15-04-2026,Paid
INV00000111,C0000029,01-03-2026,03-2026,4485.1,807.32,5292.42,16-03-2026,Paid
INV00000112,C0000029,30-01-2026,01-2026,4220.92,759.77,4980.69,14-02-2026,Paid
INV00000113,C0000029,31-12-2025,12-2025,4638.28,834.89,5473.17,15-01-2026,Paid
INV00000114,C0000029,01-12-2025,12-2025,4310.3,775.85,5086.15,16-12-2025,Overdue
INV00000115,C0000029,01-11-2025,11-2025,4224.53,760.42,4984.95,16-11-2025,Paid
INV00000116,C0000029,02-10-2025,10-2025,4783.57,861.04,5644.61,17-10-2025,Paid
INV00000117,C0000029,02-09-2025,09-2025,4114.66,740.64,4855.3,17-09-2025,Paid
INV00000118,C0000029,03-08-2025,08-2025,4040.24,727.24,4767.48,18-08-2025,Paid
INV00000119,C0000029,04-07-2025,07-2025,4692.25,844.6,5536.85,19-07-2025,Overdue
INV00000120,C0000029,04-06-2025,06-2025,3783.45,681.02,4464.47,19-06-2025,Paid
INV00000121,C0000029,05-05-2025,05-2025,3976.05,715.69,4691.74,20-05-2025,Paid
INV00000122,C0000030,31-03-2026,03-2026,593.11,106.76,699.87,15-04-2026,Overdue
INV00000123,C0000030,01-03-2026,03-2026,585.6,105.41,691.01,16-03-2026,Paid
INV00000124,C0000030,30-01-2026,01-2026,650.6,117.11,767.71,14-02-2026,Paid
INV00000125,C0000030,31-12-2025,12-2025,615.69,110.82,726.51,15-01-2026,Paid
INV00000126,C0000030,01-12-2025,12-2025,533.13,95.96,629.09,16-12-2025,Paid
INV00000127,C0000030,01-11-2025,11-2025,578.09,104.06,682.15,16-11-2025,Paid
INV00000128,C0000030,02-10-2025,10-2025,562.3,101.21,663.51,17-10-2025,Paid
INV00000129,C0000030,02-09-2025,09-2025,625.39,112.57,737.96,17-09-2025,Paid
INV00000130,C0000030,03-08-2025,08-2025,601.9,108.34,710.24,18-08-2025,Paid
INV00000131,C0000030,04-07-2025,07-2025,590.88,106.36,697.24,19-07-2025,Paid
INV00000132,C0000030,04-06-2025,06-2025,625.5,112.59,738.09,19-06-2025,Unpaid
INV00000133,C0000030,05-05-2025,05-2025,589.59,106.13,695.72,20-05-2025,Paid
INV00000134,C0000033,31-03-2026,03-2026,712.55,128.26,840.81,15-04-2026,Unpaid
INV00000135,C0000033,01-03-2026,03-2026,912.13,164.18,1076.31,16-03-2026,Paid
INV00000136,C0000033,30-01-2026,01-2026,926.98,166.86,1093.84,14-02-2026,Paid
INV00000137,C0000033,31-12-2025,12-2025,835.68,150.42,986.1,15-01-2026,Paid
INV00000138,C0000033,01-12-2025,12-2025,986.55,177.58,1164.13,16-12-2025,Unpaid
INV00000139,C0000033,01-11-2025,11-2025,949.33,170.88,1120.21,16-11-2025,Paid
INV00000140,C0000033,02-10-2025,10-2025,881.3,158.63,1039.93,17-10-2025,Unpaid
INV00000141,C0000033,02-09-2025,09-2025,942.46,169.64,1112.1,17-09-2025,Paid
INV00000142,C0000033,03-08-2025,08-2025,929.99,167.4,1097.39,18-08-2025,Unpaid
INV00000143,C0000033,04-07-2025,07-2025,936.21,168.52,1104.73,19-07-2025,Paid
INV00000144,C0000033,04-06-2025,06-2025,885.61,159.41,1045.02,19-06-2025,Unpaid
INV00000145,C0000033,05-05-2025,05-2025,934.19,168.15,1102.34,20-05-2025,Unpaid
INV00000146,C0000035,31-03-2026,03-2026,1100.9,198.16,1299.06,15-04-2026,Unpaid
INV00000147,C0000035,01-03-2026,03-2026,939.47,169.1,1108.57,16-03-2026,Overdue
INV00000148,C0000035,30-01-2026,01-2026,986.47,177.56,1164.03,14-02-2026,Overdue
INV00000149,C0000035,11-08-2026,12-2025,1010.78,181.94,1192.72,15-01-2026,Paid
INV00000150,C0000035,01-12-2025,12-2025,991.39,178.45,1169.84,16-12-2025,Unpaid
INV00000151,C0000035,01-11-2025,11-2025,968.56,174.34,1142.9,16-11-2025,Paid
INV00000152,C0000035,02-10-2025,10-2025,963.32,173.4,1136.72,17-10-2025,Overdue
INV00000153,C0000035,02-09-2025,09-2025,934.52,168.21,1102.73,17-09-2025,Overdue
INV00000154,C0000035,03-08-2025,08-2025,996.58,179.38,1175.96,18-08-2025,Paid
INV00000155,C0000035,04-07-2025,07-2025,979.49,176.31,1155.8,19-07-2025,Unpaid
INV00000156,C0000035,04-06-2025,06-2025,1065.44,121.51,1257.22,19-06-2025,Paid
INV00000157,C0000035,05-05-2025,05-2025,993.83,178.89,1172.72,20-05-2025,Paid
INV00000158,C0000036,31-03-2026,03-2026,920.72,165.73,1086.45,15-04-2026,Paid
INV00000159,C0000036,01-03-2026,03-2026,989.27,178.07,1167.34,16-03-2026,Unpaid
INV00000160,C0000036,30-01-2026,01-2026,1070.62,192.71,1263.33,14-02-2026,Paid
INV00000161,C0000036,31-12-2025,12-2025,886.76,159.62,1046.38,15-01-2026,Paid
INV00000162,C0000036,01-12-2025,12-2025,1052.46,189.44,1241.9,16-12-2025,Paid
INV00000163,C0000036,01-11-2025,11-2025,1055.36,189.96,1245.32,16-11-2025,Paid
INV00000164,C0000036,02-10-2025,10-2025,912.55,164.26,1076.81,17-10-2025,Paid
INV00000165,C0000036,02-09-2025,09-2025,955.25,171.94,1127.19,17-09-2025,Paid
INV00000166,C0000036,03-08-2025,08-2025,958.54,172.54,1131.08,18-08-2025,Paid
INV00000167,C0000036,04-07-2025,07-2025,1091.49,196.47,1287.96,19-07-2025,Overdue
INV00000168,C0000036,04-06-2025,06-2025,972.02,174.96,1146.98,19-06-2025,Paid
INV00000169,C0000036,05-05-2025,05-2025,990.61,178.31,1168.92,20-05-2025,Paid
INV00000170,C0000037,31-03-2026,03-2026,1351.8,243.32,1595.12,15-04-2026,Overdue
INV00000171,C0000037,01-03-2026,03-2026,1430.49,257.49,1687.98,16-03-2026,Paid
INV00000172,C0000037,30-01-2026,01-2026,1313.59,236.45,1550.04,14-02-2026,Paid
INV00000173,C0000037,31-12-2025,12-2025,1326.01,238.68,1564.69,15-01-2026,Paid
INV00000174,C0000037,01-12-2025,12-2025,1309.74,235.75,1545.49,16-12-2025,Overdue
INV00000175,C0000037,01-11-2025,11-2025,1222.5,220.05,1442.55,16-11-2025,Paid
INV00000176,C0000037,02-10-2025,10-2025,1219.58,219.52,1439.1,17-10-2025,Paid
INV00000177,C0000037,02-09-2025,09-2025,1283.36,231.0,1514.36,17-09-2025,Paid
INV00000178,C0000037,03-08-2025,08-2025,1201.41,216.25,1417.66,18-08-2025,Paid
INV00000179,C0000037,04-07-2025,07-2025,1206.05,217.09,1423.14,19-07-2025,Paid
INV00000180,C0000037,04-06-2025,06-2025,1198.18,215.67,1413.85,19-06-2025,Unpaid
INV00000181,C0000037,05-05-2025,05-2025,1411.15,254.01,1665.16,20-05-2025,Paid
INV00000182,C0000038,31-03-2026,03-2026,782.0,140.76,922.76,15-04-2026,Paid
INV00000183,C0000038,01-03-2026,03-2026,677.05,121.87,798.92,16-03-2026,Paid
INV00000184,C0000038,30-01-2026,01-2026,592.72,106.69,699.41,14-02-2026,Paid
INV00000185,C0000038,31-12-2025,12-2025,685.01,123.3,808.31,15-01-2026,Overdue
INV00000186,C0000038,01-12-2025,12-2025,734.93,132.29,867.22,16-12-2025,Paid
INV00000187,C0000038,01-11-2025,11-2025,729.89,131.38,861.27,16-11-2025,Paid
INV00000188,C0000038,02-10-2025,10-2025,673.67,121.26,794.93,17-10-2025,Paid
INV00000189,C0000038,02-09-2025,09-2025,669.57,120.52,790.09,17-09-2025,Unpaid
INV00000190,C0000038,03-08-2025,08-2025,731.3,131.63,862.93,18-08-2025,Overdue
INV00000191,C0000038,04-07-2025,07-2025,666.8,120.02,786.82,19-07-2025,Paid
INV00000192,C0000038,04-06-2025,06-2025,672.96,121.13,794.09,19-06-2025,Paid
INV00000193,C0000038,05-05-2025,05-2025,733.93,132.11,866.04,20-05-2025,Paid
INV00000194,C0000039,31-03-2026,03-2026,1046.85,188.43,1235.28,15-04-2026,Unpaid
INV00000195,C0000039,01-03-2026,03-2026,1078.44,194.12,1272.56,16-03-2026,Unpaid
INV00000196,C0000039,30-01-2026,01-2026,1040.59,187.31,1227.9,14-02-2026,Paid
INV00000197,C0000039,31-12-2025,12-2025,980.6,176.51,1157.11,15-01-2026,Paid
INV00000198,C0000039,01-12-2025,12-2025,1000.54,180.1,1180.64,16-12-2025,Paid
INV00000199,C0000039,01-11-2025,11-2025,1002.49,180.45,1182.94,16-11-2025,Overdue
INV00000200,C0000039,02-10-2025,10-2025,995.66,179.22,1174.88,17-10-2025,Paid
INV00000201,C0000039,02-09-2025,09-2025,1044.05,187.93,1231.98,17-09-2025,Overdue
INV00000202,C0000039,03-08-2025,08-2025,852.38,153.43,1005.81,18-08-2025,Unpaid
INV00000203,C0000039,04-07-2025,07-2025,1061.84,191.13,1252.97,19-07-2025,Paid
INV00000204,C0000039,04-06-2025,06-2025,921.96,165.95,1087.91,19-06-2025,Overdue
INV00000205,C0000039,05-05-2025,05-2025,1042.4,187.63,1230.03,20-05-2025,Overdue
INV00000206,C0000042,31-03-2026,03-2026,991.9,178.54,1170.44,15-04-2026,Unpaid
INV00000207,C0000042,01-03-2026,03-2026,1027.73,184.99,1212.72,16-03-2026,Paid
INV00000208,C0000042,30-01-2026,01-2026,914.18,164.55,1078.73,14-02-2026,Unpaid
INV00000209,C0000042,31-12-2025,12-2025,933.48,168.03,1101.51,15-01-2026,Overdue
INV00000210,C0000042,01-12-2025,12-2025,1011.24,141.37,1193.26,16-12-2025,Unpaid
INV00000211,C0000042,01-11-2025,11-2025,1090.39,196.27,1286.66,16-11-2025,Paid
INV00000212,C0000042,02-10-2025,10-2025,949.51,170.91,1120.42,17-10-2025,Paid
INV00000213,C0000042,02-09-2025,09-2025,958.36,172.5,1130.86,17-09-2025,Overdue
INV00000214,C0000042,03-08-2025,08-2025,888.71,159.97,1048.68,18-08-2025,Overdue
INV00000215,C0000042,04-07-2025,07-2025,947.99,170.64,1118.63,19-07-2025,Unpaid
INV00000216,C0000042,04-06-2025,06-2025,1084.04,195.13,1279.17,19-06-2025,Overdue
INV00000217,C0000042,05-05-2025,05-2025,958.01,172.44,1130.45,20-05-2025,Paid
INV00000218,C0000047,31-03-2026,03-2026,1146.2,206.32,1352.52,15-04-2026,Overdue
INV00000219,C0000047,01-03-2026,03-2026,980.89,176.56,1157.45,16-03-2026,Paid
INV00000220,C0000047,30-01-2026,01-2026,1022.48,184.05,1206.53,14-02-2026,Paid
INV00000221,C0000047,31-12-2025,12-2025,996.91,179.44,1176.35,15-01-2026,Paid
INV00000222,C0000047,01-12-2025,12-2025,877.21,157.9,1035.11,16-12-2025,Paid
INV00000223,C0000047,01-11-2025,11-2025,1015.8,182.84,1198.64,16-11-2025,Overdue
INV00000224,C0000047,02-10-2025,10-2025,948.03,170.65,1118.68,17-10-2025,Paid
INV00000225,C0000047,02-09-2025,09-2025,1032.92,185.93,1218.85,17-09-2025,Overdue
INV00000226,C0000047,03-08-2025,08-2025,1006.39,181.15,1187.54,18-08-2025,Unpaid
INV00000227,C0000047,04-07-2025,07-2025,936.94,168.65,1105.59,19-07-2025,Paid
INV00000228,C0000047,04-06-2025,06-2025,943.07,169.75,1112.82,19-06-2025,Overdue
INV00000229,C0000047,05-05-2025,05-2025,1042.82,187.71,1230.53,20-05-2025,Paid
INV00000230,C0000048,30-01-2026,01-2026,347.68,62.58,410.26,14-02-2026,Paid
INV00000231,C0000048,31-12-2025,12-2025,349.87,62.98,412.85,15-01-2026,Unpaid
INV00000232,C0000048,01-12-2025,12-2025,343.43,61.82,405.25,16-12-2025,Paid
INV00000233,C0000048,01-11-2025,11-2025,336.01,60.48,396.49,16-11-2025,Paid
INV00000234,C0000050,31-03-2026,03-2026,4121.32,741.84,4863.16,15-04-2026,Unpaid
INV00000235,C0000050,01-03-2026,03-2026,4270.51,768.69,5039.2,16-03-2026,Paid
INV00000236,C0000050,30-01-2026,01-2026,4118.51,741.33,4859.84,14-02-2026,Paid
INV00000237,C0000050,31-12-2025,12-2025,3906.69,703.2,4609.89,15-01-2026,Paid
INV00000238,C0000050,01-12-2025,12-2025,4137.2,744.7,4881.9,16-12-2025,Paid
INV00000239,C0000050,01-11-2025,11-2025,3991.79,718.52,4710.31,16-11-2025,Paid
INV00000240,C0000050,02-10-2025,10-2025,3691.01,664.38,4355.39,17-10-2025,Overdue
INV00000241,C0000050,02-09-2025,09-2025,3948.69,710.76,4659.45,17-09-2025,Paid
INV00000242,C0000050,03-08-2025,08-2025,4363.68,785.46,5149.14,18-08-2025,Paid
INV00000243,C0000050,04-07-2025,07-2025,4144.11,745.94,4890.05,19-07-2025,Paid
INV00000244,C0000050,04-06-2025,06-2025,4157.93,748.43,4906.36,19-06-2025,Paid
INV00000245,C0000050,05-05-2025,05-2025,4733.28,851.99,5585.27,20-05-2025,Paid
INV00000246,C0000051,31-03-2026,03-2026,565.26,101.75,667.01,15-04-2026,Paid
INV00000247,C0000051,01-03-2026,03-2026,528.23,95.08,623.31,16-03-2026,Overdue
INV00000248,C0000051,30-01-2026,01-2026,542.81,97.71,640.52,14-02-2026,Unpaid
INV00000249,C0000051,31-12-2025,12-2025,500.24,90.04,590.28,15-01-2026,Overdue
INV00000250,C0000051,01-12-2025,12-2025,532.92,95.93,628.85,16-12-2025,Paid
INV00000251,C0000051,01-11-2025,11-2025,515.7,92.83,608.53,16-11-2025,Overdue
INV00000252,C0000051,02-10-2025,10-2025,471.28,84.83,556.11,17-10-2025,Overdue
INV00000253,C0000051,02-09-2025,09-2025,451.03,81.19,532.22,17-09-2025,Paid
INV00000254,C0000051,03-08-2025,08-2025,481.6,86.69,568.29,18-08-2025,Unpaid
INV00000255,C0000051,04-07-2025,07-2025,521.29,93.83,615.12,19-07-2025,Paid
INV00000256,C0000051,04-06-2025,06-2025,504.42,35.1,595.22,19-06-2025,Overdue
INV00000257,C0000051,05-05-2025,05-2025,532.81,95.91,628.72,20-05-2025,Overdue
INV00000258,C0000053,31-03-2026,03-2026,1038.32,186.9,1225.22,15-04-2026,Overdue
INV00000259,C0000053,01-03-2026,03-2026,975.96,175.67,1151.63,16-03-2026,Paid
INV00000260,C0000053,30-01-2026,01-2026,880.18,158.43,1038.61,14-02-2026,Overdue
INV00000261,C0000053,31-12-2025,12-2025,1109.3,199.67,1308.97,15-01-2026,Paid
INV00000262,C0000053,01-12-2025,12-2025,1036.35,186.54,1222.89,16-12-2025,Paid
INV00000263,C0000053,01-11-2025,11-2025,925.42,166.58,1092.0,16-11-2025,Paid
INV00000264,C0000054,31-03-2026,03-2026,3559.78,640.76,4200.54,15-04-2026,Paid
INV00000265,C0000054,01-03-2026,03-2026,4462.52,803.25,5265.77,16-03-2026,Paid
INV00000266,C0000054,30-01-2026,01-2026,4206.33,757.14,4963.47,14-02-2026,Paid
INV00000267,C0000054,31-12-2025,12-2025,4063.76,731.48,4795.24,15-01-2026,Paid
INV00000268,C0000054,01-12-2025,12-2025,4334.6,780.23,5114.83,16-12-2025,Unpaid
INV00000269,C0000054,01-11-2025,11-2025,4079.3,734.27,4813.57,16-11-2025,Paid
INV00000270,C0000054,02-10-2025,10-2025,4114.43,740.6,4855.03,17-10-2025,Overdue
INV00000271,C0000054,02-09-2025,09-2025,4296.38,773.35,5069.73,17-09-2025,Paid
INV00000272,C0000054,03-08-2025,08-2025,4438.95,799.01,5237.96,18-08-2025,Paid
INV00000273,C0000054,04-07-2025,07-2025,3978.8,716.18,4694.98,19-07-2025,Paid
INV00000274,C0000054,04-06-2025,06-2025,4195.02,755.1,4950.12,19-06-2025,Paid
INV00000275,C0000054,05-05-2025,05-2025,4371.7,786.91,5158.61,20-05-2025,Paid
INV00000276,C0000055,31-03-2026,03-2026,562.27,101.21,663.48,15-04-2026,Paid
INV00000277,C0000055,01-03-2026,03-2026,549.9,98.98,648.88,16-03-2026,Unpaid
INV00000278,C0000055,30-01-2026,01-2026,494.5,89.01,583.51,14-02-2026,Paid
INV00000279,C0000055,31-12-2025,12-2025,518.2,93.28,611.48,15-01-2026,Paid
INV00000280,C0000055,01-12-2025,12-2025,502.11,90.38,592.49,16-12-2025,Overdue
INV00000281,C0000055,01-11-2025,11-2025,538.66,96.96,635.62,16-11-2025,Paid
INV00000282,C0000055,02-10-2025,10-2025,508.67,91.56,600.23,17-10-2025,Paid
INV00000283,C0000055,02-09-2025,09-2025,505.53,91.0,596.53,17-09-2025,Unpaid
INV00000284,C0000055,03-08-2025,08-2025,562.07,101.17,663.24,18-08-2025,Overdue
INV00000285,C0000055,04-07-2025,07-2025,497.14,89.49,586.63,19-07-2025,Paid
INV00000286,C0000055,04-06-2025,06-2025,452.67,81.48,534.15,19-06-2025,Paid
INV00000287,C0000055,05-05-2025,05-2025,507.18,91.29,598.47,20-05-2025,Paid
INV00000288,C0000061,31-03-2026,03-2026,4298.84,773.79,5072.63,15-04-2026,Paid
INV00000289,C0000061,01-03-2026,03-2026,4004.69,720.84,4725.53,16-03-2026,Paid
INV00000290,C0000061,30-01-2026,01-2026,3691.8,664.52,4356.32,14-02-2026,Paid
INV00000291,C0000061,31-12-2025,12-2025,4335.71,780.43,5116.14,15-01-2026,Overdue
INV00000292,C0000061,01-12-2025,12-2025,3473.88,625.3,4099.18,16-12-2025,Paid
