device_id,customer_id,brand,model,device_type,device_price_inr,purchase_date,imei
DEV0000023,C0000023,Nexus,Aura 5G,Smartphone,18999,31-12-2021,682052358565443
DEV0000024,C0000024,Nexus,Aura Pro,Smartphone,32999,30-05-2024,062017867155861
DEV0000025,C0000025,Orbit,O7,Smartphone,15999,26-07-2024,935699292849344
DEV0000026,C0000026,Lumen,L Mini,Smartphone,8499,09-08-2021,421671235779374
DEV0000027,C0000027,Orbit,O7,Smartphone,15999,07-02-2022,273152250400831
DEV0000028,C0000028,Lumen,L Max,Smartphone,41999,25-10-2023,564419206220224
DEV0000029,C0000029,Zenith,Z Lite,Smartphone,9999,29-05-2019,590649178590255
DEV0000030,C0000030,Voltic,V20,Smartphone,12999,18-03-2020,553632304684541
DEV0000031,C0000031,Voltic,V20,Smartphone,12999,23-01-2014,345157872095275
DEV0000032,C0000032,Lumen,L Max,Smartphone,41999,09-07-2015,924587802149871
DEV0000033,C0000033,Orbit,O9 Pro,Smartphone,27999,10-04-2016,041115126850209
DEV0000034,C0000034,Nexus,Aura Pro,Smartphone,32999,26-04-2023,911680221134242
DEV0000035,C0000035,Lumen,L Max,Smartphone,41999,29-08-2021,348073738002968
DEV0000036,C0000036,NexaTel,Smart Cam,IoT Device,2999,28-01-2014,853694752821692
DEV0000037,C0000037,Nexus,Aura 5G,Smartphone,18999,03-10-2023,867550997391741
DEV0000038,C0000038,Nexus,Aura 5G,Smartphone,18999,16-02-2017,429636913069867
DEV0000039,C0000039,Zenith,Z Flip,Smartphone,54999,10-03-2016,676817359273657
DEV0000040,C0000040,Lumen,L Max,Smartphone,41999,06-12-2020,869433058553360
DEV0000041,C0000041,Voltic,V20,Smartphone,12999,04-07-2016,694060603246408
DEV0000042,C0000042,Nexus,Aura 5G,Smartphone,18999,25-05-2018,783148413401174
DEV0000043,C0000043,Zenith,Z Flip,Smartphone,54999,14-01-2014,867723195926245
DEV0000044,C0000044,Nexus,Aura Pro,Smartphone,32999,20-08-2024,702184608404406
DEV0000045,C0000045,Orbit,O7,Smartphone,15999,23-03-2014,190058313439817
DEV0000046,C0000046,Zenith,Z Flip,Smartphone,54999,03-01-2014,859139877328987
DEV0000047,C0000047,NexaTel,Fiber Gateway,Router,3499,23-05-2021,631674600014534
DEV0000048,C0000048,Zenith,Z Flip,Smartphone,54999,02-10-2025,726966740367867
DEV0000049,C0000049,Lumen,L Mini,Smartphone,8499,28-05-2016,441140600251976
DEV0000050,C0000050,Lumen,L Mini,Smartphone,8499,06-02-2023,084047196325851
DEV0000051,C0000051,Nexus,Aura 5G,Smartphone,18999,12-12-2018,554301602394630
DEV0000052,C0000052,Orbit,O7,Smartphone,15999,30-01-2015,678016574152357
DEV0000053,C0000053,Orbit,O9 Pro,Smartphone,27999,15-10-2025,964371718269328
DEV0000054,C0000054,Nexus,Aura 5G,Smartphone,18999,07-07-2016,573564164638982
DEV0000055,C0000055,NexaTel,Smart Cam,IoT Device,2999,02-04-2017,431770876766443
DEV0000056,C0000056,Voltic,V20,Smartphone,12999,06-01-2022,288282581973068
DEV0000057,C0000057,Lumen,L Max,Smartphone,41999,18-05-2016,581949092260855
DEV0000058,C0000058,Orbit,O7,Smartphone,15999,21-07-2018,244770953547810
DEV0000059,C0000059,Lumen,L Max,Smartphone,41999,16-01-2014,938074077988308
DEV0000060,C0000060,Zenith,Z Lite,Smartphone,9999,17-06-2021,013209618629896
DEV0000061,C0000061,Voltic,V20,Smartphone,12999,13-01-2014,996422203706025
DEV0000062,C0000062,Nexus,Aura Pro,Smartphone,32999,10-08-2020,283567770465482
DEV0000063,C0000063,Nexus,Aura 5G,Smartphone,18999,23-07-2024,851712665364216
DEV0000064,C0000064,Zenith,Z Lite,Smartphone,9999,26-01-2021,464945837345172
DEV0000065,C0000065,Lumen,L Max,Smartphone,41999,16-04-2016,972563780415836
DEV0000066,C0000066,Nexus,Aura 5G,Smartphone,18999,03-09-2020,354113824989546
DEV0000067,C0000067,Voltic,V20,Smartphone,12999,08-01-2014,612249299857221
DEV0000068,C0000068,Lumen,L Max,Smartphone,41999,24-09-2023,334487436840270
DEV0000069,C0000069,Voltic,V30 5G,Smartphone,21999,13-03-2015,093141563445662
DEV0000070,C0000070,Nexus,Aura 5G,Smartphone,18999,22-08-2014,921741573679236
DEV0000071,C0000071,Lumen,L Mini,Smartphone,8499,03-05-2025,661546829419620
DEV0000072,C0000072,Nexus,Aura Pro,Smartphone,32999,12-01-2014,017139331023916
DEV0000073,C0000073,Orbit,O9 Pro,Smartphone,27999,05-05-2023,592845064639100
DEV0000074,C0000074,Zenith,Z Flip,Smartphone,54999,09-03-2017,969129731752646
DEV0000075,C0000075,Nexus,Aura Pro,Smartphone,32999,03-01-2025,202923958880495
DEV0000076,C0000076,Nexus,Aura 5G,Smartphone,18999,30-07-2020,383775068472648
DEV0000077,C0000077,NexaTel,IoT Hub,IoT Device,1999,03-08-2014,163346852768896
DEV0000078,C0000078,Zenith,Z Lite,Smartphone,9999,09-02-2024,873447136251559
DEV0000079,C0000079,Lumen,L Mini,Smartphone,8499,09-10-2022,587878700079093
DEV0000080,C0000080,Zenith,Z Flip,Smartphone,54999,07-07-2025,016769058238558
DEV0000081,C0000081,Orbit,O7,Smartphone,15999,05-06-2023,201982978019447
DEV0000082,C0000082,Lumen,L Mini,Smartphone,8499,27-08-2018,835190450134508
DEV0000083,C0000083,Voltic,V20,Smartphone,12999,10-05-2025,344308643803377
DEV0000084,C0000084,NexaTel,Smart Cam,IoT Device,2999,01-12-2018,924241980063028
DEV0000085,C0000085,Nexus,Aura 5G,Smartphone,18999,17-05-2017,141527999831790
DEV0000086,C0000086,Voltic,V30 5G,Smartphone,21999,14-01-2015,497025784955940
DEV0000087,C0000087,Zenith,Z Flip,Smartphone,54999,11-10-2015,620620606357461
DEV0000088,C0000088,Nexus,Aura 5G,Smartphone,18999,14-08-2021,720110245912137
DEV0000089,C0000089,Voltic,V30 5G,Smartphone,21999,07-11-2021,004871657092284
DEV0000090,C0000090,NexaTel,Smart Sensor,IoT Device,899,16-01-2014,353733239691704
DEV0000091,C0000091,NexaTel,Home Router AX,Router,2499,15-10-2024,215636868206573
DEV0000092,C0000092,Lumen,L Max,Smartphone,41999,16-12-2017,933908456778722
DEV0000093,C0000093,NexaTel,Fiber Gateway,Router,3499,12-01-2014,653992647047375
DEV0000094,C0000094,Lumen,L Mini,Smartphone,8499,31-12-2019,430221329915842
DEV0000095,C0000095,Voltic,V30 5G,Smartphone,21999,23-06-2018,719064752167811
DEV0000096,C0000096,Orbit,O7,Smartphone,15999,02-07-2025,539800151746177
DEV0000097,C0000097,Nexus,Aura Pro,Smartphone,32999,15-01-2022,818458265429354
DEV0000098,C0000098,Voltic,V20,Smartphone,12999,21-02-2021,379766565792697
DEV0000099,C0000099,Orbit,O7,Smartphone,15999,10-01-2014,249383257454330
DEV0000100,C0000100,Lumen,L Mini,Smartphone,8499,21-06-2024,356290918849378
DEV0000101,C0000101,Voltic,V20,Smartphone,12999,07-05-2016,463131392340353
DEV0000102,C0000102,Orbit,O9 Pro,Smartphone,27999,30-10-2018,823148092734630
DEV0000103,C0000103,Lumen,L Max,Smartphone,41999,17-06-2014,418517770476079
DEV0000104,C0000104,Voltic,V30 5G,Smartphone,21999,16-07-2017,248533849331084
DEV0000105,C0000105,Voltic,V30 5G,Smartphone,21999,13-03-2024,754370206064281
DEV0000106,C0000106,Orbit,O9 Pro,Smartphone,27999,28-01-2015,322167272915213
DEV0000107,C0000107,Voltic,V20,Smartphone,12999,04-10-2024,028359563699700
DEV0000108,C0000108,NexaTel,Smart Cam,IoT Device,2999,13-01-2014,413690511051240
DEV0000109,C0000109,Nexus,Aura Pro,Smartphone,32999,23-08-2019,479863032422303
DEV0000110,C0000110,Zenith,Z Lite,Smartphone,9999,23-08-2021,052576487212688
DEV0000111,C0000111,NexaTel,IoT Hub,IoT Device,1999,04-01-2015,527618673898507
DEV0000112,C0000112,Zenith,Z Lite,Smartphone,9999,07-10-2020,041270312055692
DEV0000113,C0000113,Nexus,Aura Pro,Smartphone,32999,24-01-2014,266618206943087
DEV0000114,C0000114,NexaTel,IoT Hub,IoT Device,1999,20-06-2019,522275195463716
DEV0000115,C0000115,Nexus,Aura 5G,Smartphone,18999,22-10-2022,078839309705916
DEV0000116,C0000116,Zenith,Z Flip,Smartphone,54999,14-10-2014,947291766719819
DEV0000117,C0000117,Zenith,Z Flip,Smartphone,54999,28-06-2025,321663605727212
DEV0000118,C0000118,Zenith,Z Lite,Smartphone,9999,25-01-2014,028257084139374
DEV0000119,C0000119,Voltic,V30 5G,Smartphone,21999,23-08-2017,233170398611167
DEV0000120,C0000120,Lumen,L Mini,Smartphone,8499,01-01-2014,714129042938046
DEV0000121,C0000121,NexaTel,Home Router AX,Router,2499,29-01-2014,331772310358745
DEV0000122,C0000122,Lumen,L Mini,Smartphone,8499,17-01-2019,483309650521968
DEV0000123,C0000123,Lumen,L Max,Smartphone,41999,20-05-2023,489684888255472
DEV0000124,C0000124,Voltic,V30 5G,Smartphone,21999,01-10-2018,371620438407086
DEV0000125,C0000125,NexaTel,Smart Sensor,IoT Device,899,30-04-2024,620358202248787
DEV0000126,C0000126,Zenith,Z Lite,Smartphone,9999,20-04-2016,672581370497836
DEV0000127,C0000127,Nexus,Aura Pro,Smartphone,32999,31-12-2025,642341280918558
DEV0000128,C0000128,NexaTel,Home Router AX,Router,2499,18-01-2014,083702267690545
DEV0000129,C0000129,Nexus,Aura 5G,Smartphone,18999,20-01-2014,565369799384694
DEV0000130,C0000130,Orbit,O9 Pro,Smartphone,27999,19-03-2020,967210628399206
DEV0000131,C0000131,Zenith,Z Flip,Smartphone,54999,22-06-2023,164147260513619
DEV0000132,C0000132,Orbit,O7,Smartphone,15999,05-01-2016,065661617903846
DEV0000133,C0000133,Orbit,O9 Pro,Smartphone,27999,08-07-2016,288362526742162
DEV0000134,C0000134,Voltic,V30 5G,Smartphone,21999,26-12-2018,451249529256040
DEV0000135,C0000135,Zenith,Z Flip,Smartphone,54999,03-05-2014,247635279258193
DEV0000136,C0000136,Voltic,V30 5G,Smartphone,21999,07-01-2014,122150692051462
DEV0000137,C0000137,Lumen,L Mini,Smartphone,8499,03-12-2016,150243374820514
DEV0000138,C0000138,Voltic,V20,Smartphone,12999,03-01-2014,876991783078666
DEV0000139,C0000139,Voltic,V30 5G,Smartphone,21999,26-12-2017,807937820986952
DEV0000140,C0000140,Lumen,L Mini,Smartphone,8499,05-02-2023,879863965014927
DEV0000141,C0000141,NexaTel,Smart Sensor,IoT Device,899,26-11-2024,076305015543015
DEV0000142,C0000142,NexaTel,Home Router AX,Router,2499,10-02-2026,242508562754974
DEV0000143,C0000143,Lumen,L Mini,Smartphone,8499,30-08-2024,597449398967809
DEV0000144,C0000144,Nexus,Aura Pro,Smartphone,32999,06-07-2014,264318563368940
DEV0000145,C0000145,Nexus,Aura 5G,Smartphone,18999,17-01-2016,223614970203171
DEV0000146,C0000146,Orbit,O9 Pro,Smartphone,27999,01-11-2023,122125227181754
DEV0000147,C0000147,Orbit,O7,Smartphone,15999,10-05-2017,856119343609494
DEV0000148,C0000148,Lumen,L Max,Smartphone,41999,20-03-2019,474431742143149
DEV0000149,C0000149,Lumen,L Mini,Smartphone,8499,15-02-2026,703682614339908
DEV0000150,C0000150,Zenith,Z Flip,Smartphone,54999,30-01-2014,674993003515482
DEV0000151,C0000151,NexaTel,Home Router AX,Router,2499,15-12-2024,985828028500295
DEV0000152,C0000152,Voltic,V20,Smartphone,12999,06-08-2019,665604223304773
DEV0000153,C0000153,Voltic,V20,Smartphone,12999,10-11-2018,845408815501839
DEV0000154,C0000154,Voltic,V30 5G,Smartphone,21999,24-10-2014,079497917164778
DEV0000155,C0000155,Orbit,O7,Smartphone,15999,08-04-2025,301082812911351
DEV0000156,C0000156,Orbit,O9 Pro,Smartphone,27999,21-06-2020,178677146443021
DEV0000157,C0000157,NexaTel,Smart Sensor,IoT Device,899,03-06-2024,673134152021390
DEV0000158,C0000158,Nexus,Aura Pro,Smartphone,32999,26-05-2025,656010190791125
DEV0000159,C0000159,Orbit,O7,Smartphone,15999,10-08-2020,876944284785027
DEV0000160,C0000160,Voltic,V20,Smartphone,12999,25-04-2019,261813945378669
DEV0000161,C0000161,Orbit,O9 Pro,Smartphone,27999,15-01-2014,976791412336123
DEV0000162,C0000162,Lumen,L Max,Smartphone,41999,03-08-2018,253014576937920
DEV0000163,C0000163,Voltic,V30 5G,Smartphone,21999,07-10-2020,600085453215447
DEV0000164,C0000164,Lumen,L Mini,Smartphone,8499,19-12-2018,527395819197095
DEV0000165,C0000165,Nexus,Aura 5G,Smartphone,18999,05-05-2021,355441376887792
DEV0000166,C0000166,NexaTel,Smart Sensor,IoT Device,899,21-01-2014,472701967994938
DEV0000167,C0000167,Voltic,V30 5G,Smartphone,21999,03-04-2021,762536434263216
DEV0000168,C0000168,Nexus,Aura 5G,Smartphone,18999,14-08-2025,413767477821309
DEV0000169,C0000169,Zenith,Z Flip,Smartphone,54999,02-12-2020,493025800559267
DEV0000170,C0000170,Zenith,Z Flip,Smartphone,54999,06-09-2014,829679693510263
DEV0000171,C0000171,Voltic,V30 5G,Smartphone,21999,01-09-2024,346165226943306
DEV0000172,C0000172,Orbit,O9 Pro,Smartphone,27999,20-12-2020,389627011961048
DEV0000173,C0000173,Zenith,Z Lite,Smartphone,9999,10-06-2023,418864791459825
DEV0000174,C0000174,Nexus,Aura Pro,Smartphone,32999,21-05-2020,559571038757723
DEV0000175,C0000175,Lumen,L Mini,Smartphone,8499,14-12-2015,201011629805119
DEV0000176,C0000176,Nexus,Aura Pro,Smartphone,32999,16-09-2020,676702908792178
DEV0000177,C0000177,Voltic,V30 5G,Smartphone,21999,04-12-2017,154744880453763
DEV0000178,C0000178,Voltic,V30 5G,Smartphone,21999,19-04-2022,341231352961642
DEV0000179,C0000179,Lumen,L Mini,Smartphone,8499,24-08-2024,682704513850125
DEV0000180,C0000180,Lumen,L Max,Smartphone,41999,16-10-2021,318813774419286
DEV0000181,C0000181,NexaTel,Fiber Gateway,Router,3499,03-05-2024,963900547421557
DEV0000182,C0000182,Orbit,O9 Pro,Smartphone,27999,05-12-2019,021954672279563
DEV0000183,C0000183,Zenith,Z Lite,Smartphone,9999,21-06-2024,484705097721512
DEV0000184,C0000184,Voltic,V30 5G,Smartphone,21999,23-01-2022,915843092390132
DEV0000185,C0000185,Voltic,V20,Smartphone,12999,07-12-2019,202799567715495
DEV0000186,C0000186,Zenith,Z Lite,Smartphone,9999,08-01-2021,959079354178154
DEV0000187,C0000187,Zenith,Z Flip,Smartphone,54999,25-05-2021,439932757904767
DEV0000188,C0000188,Lumen,L Mini,Smartphone,8499,14-08-2024,051766273704029
DEV0000189,C0000189,Nexus,Aura Pro,Smartphone,32999,15-08-2015,044246963389839
DEV0000190,C0000190,Orbit,O7,Smartphone,15999,09-01-2021,143920587317684
DEV0000191,C0000191,Lumen,L Mini,Smartphone,8499,11-04-2018,090233494347637
DEV0000192,C0000192,Voltic,V30 5G,Smartphone,21999,05-10-2024,772355867800065
DEV0000193,C0000193,NexaTel,Home Router AX,Router,2499,27-04-2022,128924778324246
DEV0000194,C0000194,Nexus,Aura Pro,Smartphone,32999,07-07-2016,106792725360562
DEV0000195,C0000195,Orbit,O7,Smartphone,15999,30-09-2020,549369917501859
DEV0000196,C0000196,Lumen,L Max,Smartphone,41999,06-08-2017,825864588504703
DEV0000197,C0000197,Voltic,V20,Smartphone,12999,08-05-2020,005308727732482
DEV0000198,C0000198,NexaTel,Home Router AX,Router,2499,18-01-2014,610124670559563
DEV0000199,C0000199,Orbit,O7,Smartphone,15999,11-03-2021,997498853279379
DEV0000200,C0000200,Nexus,Aura Pro,Smartphone,32999,08-03-2015,935028256228271
DEV0000201,C0000201,Nexus,Aura Pro,Smartphone,32999,09-01-2014,186778958929983
DEV0000202,C0000202,Lumen,L Mini,Smartphone,8499,05-09-2016,352554043945630
DEV0000203,C0000203,Nexus,Aura 5G,Smartphone,18999,12-04-2021,620863660051245
DEV0000204,C0000204,Zenith,Z Flip,Smartphone,54999,12-02-2022,266816620469208
DEV0000205,C0000205,Lumen,L Mini,Smartphone,8499,12-07-2019,955921970576054
DEV0000206,C0000206,Voltic,V30 5G,Smartphone,21999,29-01-2023,347674800522449
DEV0000207,C0000207,Voltic,V30 5G,Smartphone,21999,08-10-2023,253436491909491
DEV0000208,C0000208,Nexus,Aura Pro,Smartphone,32999,17-02-2022,882826346964652
DEV0000209,C0000209,Voltic,V30 5G,Smartphone,21999,01-03-2024,519095322467068
DEV0000210,C0000210,Zenith,Z Flip,Smartphone,54999,21-11-2016,204555530829242
DEV0000211,C0000211,Orbit,O9 Pro,Smartphone,27999,21-01-2023,453130716920867
DEV0000212,C0000212,Zenith,Z Lite,Smartphone,9999,13-03-2019,510033049830938
DEV0000213,C0000213,Zenith,Z Lite,Smartphone,9999,28-10-2021,250632212114943
DEV0000214,C0000214,Lumen,L Max,Smartphone,41999,02-02-2018,154806952194170
DEV0000215,C0000215,Voltic,V30 5G,Smartphone,21999,21-01-2022,975870447764022
DEV0000216,C0000216,Nexus,Aura Pro,Smartphone,32999,15-10-2014,067415241815737
DEV0000217,C0000217,Lumen,L Max,Smartphone,41999,06-01-2017,873487932646456
DEV0000218,C0000218,Orbit,O9 Pro,Smartphone,27999,30-07-2016,575960506108368
DEV0000219,C0000219,Nexus,Aura Pro,Smartphone,32999,14-06-2016,452890974789694
DEV0000220,C0000220,Orbit,O7,Smartphone,15999,19-10-2024,191956341736559
DEV0000221,C0000221,Voltic,V30 5G,Smartphone,21999,21-01-2014,353317814596442
DEV0000222,C0000222,Lumen,L Mini,Smartphone,8499,05-12-2024,016045709831076
DEV0000223,C0000223,Zenith,Z Flip,Smartphone,54999,05-04-2025,194136196881150
DEV0000224,C0000224,Nexus,Aura 5G,Smartphone,18999,18-08-2020,728485701716256
DEV0000225,C0000225,Lumen,L Mini,Smartphone,8499,02-09-2024,555448455275125
DEV0000226,C0000226,Zenith,Z Lite,Smartphone,9999,19-11-2019,780763597278183
DEV0000227,C0000227,Lumen,L Max,Smartphone,41999,20-11-2017,021217132741778
DEV0000228,C0000228,Nexus,Aura 5G,Smartphone,18999,03-03-2018,980332839101610
DEV0000229,C0000229,Orbit,O7,Smartphone,15999,02-09-2025,258142607799955
DEV0000230,C0000230,Zenith,Z Lite,Smartphone,9999,17-01-2014,546027762101738
DEV0000231,C0000231,Lumen,L Mini,Smartphone,8499,20-04-2021,396556284130080
DEV0000232,C0000232,Nexus,Aura 5G,Smartphone,18999,16-08-2014,733587085921412
DEV0000233,C0000233,Nexus,Aura Pro,Smartphone,32999,08-03-2020,219042316189591
DEV0000234,C0000234,Zenith,Z Flip,Smartphone,54999,10-03-2024,954094739537419
DEV0000235,C0000235,Lumen,L Mini,Smartphone,8499,25-10-2022,126185865754690
DEV0000236,C0000236,Lumen,L Max,Smartphone,41999,14-10-2020,575461416391274
DEV0000237,C0000237,Voltic,V30 5G,Smartphone,21999,16-07-2023,642897627800151
DEV0000238,C0000238,Voltic,V20,Smartphone,12999,20-11-2023,234884636215967
DEV0000239,C0000239,Lumen,L Max,Smartphone,41999,12-01-2024,212111292546707
DEV0000240,C0000240,Lumen,L Mini,Smartphone,8499,04-06-2016,387105102527627
DEV0000241,C0000241,NexaTel,Fiber Gateway,Router,3499,07-01-2014,272441898890693
DEV0000242,C0000242,Voltic,V20,Smartphone,12999,07-01-2014,599635226503364
DEV0000243,C0000243,Lumen,L Mini,Smartphone,8499,27-09-2018,963596510385513
DEV0000244,C0000244,Voltic,V30 5G,Smartphone,21999,06-06-2014,382300722916715
DEV0000245,C0000245,Zenith,Z Flip,Smartphone,54999,08-01-2014,291840717154274
DEV0000246,C0000246,Nexus,Aura 5G,Smartphone,18999,22-01-2014,728806694000120
DEV0000247,C0000247,Zenith,Z Lite,Smartphone,9999,31-12-2019,567576742305666
DEV0000248,C0000248,NexaTel,Fiber Gateway,Router,3499,09-12-2015,201621068004088
DEV0000249,C0000249,NexaTel,Smart Sensor,IoT Device,899,01-01-2014,945752050622373
DEV0000250,C0000250,Nexus,Aura 5G,Smartphone,18999,04-02-2016,383624610104802
DEV0000251,C0000251,NexaTel,IoT Hub,IoT Device,1999,27-01-2019,963541256418523
DEV0000252,C0000252,NexaTel,IoT Hub,IoT Device,1999,06-05-2017,496309970407100
DEV0000253,C0000253,NexaTel,Home Router AX,Router,2499,12-04-2025,741190830256299
DEV0000254,C0000254,Zenith,Z Lite,Smartphone,9999,08-04-2019,790917396951182
DEV0000255,C0000255,Orbit,O7,Smartphone,15999,16-07-2018,524703950498649
DEV0000256,C0000256,Zenith,Z Flip,Smartphone,54999,02-04-2015,935197913712993
DEV0000257,C0000257,NexaTel,Home Router AX,Router,2499,01-04-2021,678337758404739
DEV0000258,C0000258,NexaTel,IoT Hub,IoT Device,1999,27-08-2022,059369063475194
DEV0000259,C0000259,Lumen,L Max,Smartphone,41999,31-07-2014,905226460266442
DEV0000260,C0000260,Voltic,V20,Smartphone,12999,29-07-2015,402768944090379
DEV0000261,C0000261,Lumen,L Mini,Smartphone,8499,04-11-2023,539143295654159
DEV0000262,C0000262,Voltic,V20,Smartphone,12999,27-12-2022,746994645551023
DEV0000263,C0000263,Orbit,O9 Pro,Smartphone,27999,08-12-2019,761048219610446
DEV0000264,C0000264,NexaTel,Home Router AX,Router,2499,11-03-2018,195439346610064
DEV0000265,C0000265,NexaTel,Smart Cam,IoT Device,2999,17-09-2019,741004202387321
DEV0000266,C0000266,Zenith,Z Lite,Smartphone,9999,27-02-2017,287297654872270
DEV0000267,C0000267,NexaTel,Smart Sensor,IoT Device,899,02-01-2014,266582068140706
DEV0000268,C0000268,NexaTel,IoT Hub,IoT Device,1999,24-01-2014,835895870217399
DEV0000269,C0000269,NexaTel,Home Router AX,Router,2499,03-07-2018,758842832029725
DEV0000270,C0000270,Orbit,O9 Pro,Smartphone,27999,01-02-2023,117423140105499
DEV0000271,C0000271,Nexus,Aura 5G,Smartphone,18999,30-01-2014,069004847411943
DEV0000272,C0000272,Zenith,Z Lite,Smartphone,9999,27-04-2021,779680507903102
DEV0000273,C0000273,Lumen,L Max,Smartphone,41999,17-01-2014,436480642917102
DEV0000274,C0000274,Nexus,Aura 5G,Smartphone,18999,05-09-2024,081365583794609
DEV0000275,C0000275,Nexus,Aura 5G,Smartphone,18999,24-09-2015,466928727607785
DEV0000276,C0000276,NexaTel,Home Router AX,Router,2499,27-12-2015,412965362582479
DEV0000277,C0000277,Zenith,Z Flip,Smartphone,54999,15-08-2018,309085650783197
DEV0000278,C0000278,Lumen,L Max,Smartphone,41999,23-04-2014,390763058489269
DEV0000279,C0000279,Lumen,L Max,Smartphone,41999,07-04-2014,597196540624304
DEV0000280,C0000280,Nexus,Aura 5G,Smartphone,18999,28-09-2015,165275615320103
DEV0000281,C0000281,Zenith,Z Flip,Smartphone,54999,23-04-2014,426941080899201
DEV0000282,C0000282,Nexus,Aura Pro,Smartphone,32999,12-06-2015,279610699570063
DEV0000283,C0000283,Lumen,L Mini,Smartphone,8499,14-10-2022,311821526168632
DEV0000284,C0000284,NexaTel,Smart Sensor,IoT Device,899,27-03-2019,231539883835308
DEV0000285,C0000285,Zenith,Z Flip,Smartphone,54999,31-03-2020,388563151866990
DEV0000286,C0000286,NexaTel,IoT Hub,IoT Device,1999,07-04-2016,051859101899426
DEV0000287,C0000287,Voltic,V30 5G,Smartphone,21999,06-01-2019,737036281926750
DEV0000288,C0000288,NexaTel,Fiber Gateway,Router,3499,26-01-2014,804144246603063
DEV0000289,C0000289,Zenith,Z Lite,Smartphone,9999,13-06-2015,308926765912165
DEV0000290,C0000290,NexaTel,Home Router AX,Router,2499,17-02-2014,731854515974368
DEV0000291,C0000291,NexaTel,Home Router AX,Router,2499,20-11-2016,115964880758385
DEV0000292,C0000292,Lumen,L Mini,Smartphone,8499,05-12-2017,511418526709561
DEV0000293,C0000293,Zenith,Z Lite,Smartphone,9999,08-01-2016,786969245413185
DEV0000294,C0000294,Voltic,V20,Smartphone,12999,21-04-2014,752599029771180
DEV0000295,C0000295,NexaTel,Smart Cam,IoT Device,2999,11-01-2014,035034787513637
DEV0000296,C0000296,Zenith,Z Flip,Smartphone,54999,24-08-2022,943820257014729
DEV0000297,C0000297,Nexus,Aura 5G,Smartphone,18999,25-07-2019,246993470313136
DEV0000298,C0000298,Zenith,Z Flip,Smartphone,54999,04-05-2024,144192943977621
DEV0000299,C0000299,Voltic,V20,Smartphone,12999,27-01-2014,696939719757906
DEV0000300,C0000300,Lumen,L Mini,Smartphone,8499,03-07-2019,726997384035384
DEV0000301,C0000301,Lumen,L Max,Smartphone,41999,08-03-2026,425920919684902
DEV0000302,C0000302,Voltic,V20,Smartphone,12999,18-06-2022,745871672500012
DEV0000303,C0000303,NexaTel,IoT Hub,IoT Device,1999,17-01-2014,988792461038711
DEV0000304,C0000304,Orbit,O9 Pro,Smartphone,27999,04-10-2017,487666940801035
DEV0000305,C0000305,Zenith,Z Lite,Smartphone,9999,19-03-2022,598712594994815
DEV0000306,C0000306,Orbit,O9 Pro,Smartphone,27999,03-12-2016,425600724618585
DEV0000307,C0000307,Zenith,Z Lite,Smartphone,9999,04-04-2015,515206003645629
DEV0000308,C0000308,Nexus,Aura 5G,Smartphone,18999,24-05-2022,498861881392385
DEV0000309,C0000309,Zenith,Z Flip,Smartphone,54999,24-09-2016,334458281566713
DEV0000310,C0000310,Lumen,L Max,Smartphone,41999,08-08-2016,887102203760787
DEV0000311,C0000311,Zenith,Z Lite,Smartphone,9999,15-11-2020,018097174585202
