usage_id,customer_id,usage_month,voice_minutes_used,outgoing_calls,incoming_calls
UV00000054,C0000018,01-2026,427,448,201
UV00000055,C0000019,03-2026,103,101,145
UV00000056,C0000019,02-2026,204,158,85
UV00000057,C0000019,01-2026,219,365,120
UV00000058,C0000020,03-2026,143,364,167
UV00000059,C0000020,02-2026,533,272,223
UV00000060,C0000020,01-2026,86,103,598
UV00000061,C0000021,03-2026,111,498,226
UV00000062,C0000021,02-2026,176,46,319
UV00000063,C0000021,01-2026,78,180,379
UV00000064,C0000022,03-2026,266,556,160
UV00000065,C0000022,02-2026,348,283,536
UV00000066,C0000022,01-2026,185,113,492
UV00000067,C0000023,03-2026,162,509,698
UV00000068,C0000023,02-2026,553,21,88
UV00000069,C0000023,01-2026,37,115,340
UV00000070,C0000024,03-2026,553,25,427
UV00000071,C0000024,02-2026,250,257,348
UV00000072,C0000024,01-2026,104,481,440
UV00000073,C0000025,03-2026,471,241,325
UV00000074,C0000025,02-2026,128,377,10
UV00000075,C0000025,01-2026,250,6,167
UV00000076,C0000026,03-2026,135,54,101
UV00000077,C0000026,02-2026,107,495,40
UV00000078,C0000026,01-2026,298,545,389
UV00000079,C0000027,03-2026,152,358,553
UV00000080,C0000027,02-2026,206,102,624
UV00000081,C0000027,01-2026,352,351,656
UV00000082,C0000028,03-2026,99,231,169
UV00000083,C0000028,02-2026,404,430,305
UV00000084,C0000028,01-2026,442,598,182
UV00000085,C0000029,03-2026,169,577,253
UV00000086,C0000029,02-2026,46,269,595
UV00000087,C0000029,01-2026,109,191,267
UV00000088,C0000030,03-2026,454,371,342
UV00000089,C0000030,02-2026,465,432,347
UV00000090,C0000030,01-2026,78,247,18
UV00000091,C0000031,03-2026,150,516,695
UV00000092,C0000031,02-2026,117,597,424
UV00000093,C0000031,01-2026,247,554,128
UV00000094,C0000032,03-2026,322,105,551
UV00000095,C0000032,02-2026,49,501,516
UV00000096,C0000032,01-2026,297,421,667
UV00000097,C0000033,03-2026,266,445,626
UV00000098,C0000033,02-2026,143,8,122
UV00000099,C0000033,01-2026,84,391,382
UV00000100,C0000034,03-2026,157,583,384
UV00000101,C0000034,02-2026,396,448,645
UV00000102,C0000034,01-2026,118,370,365
UV00000103,C0000035,03-2026,177,114,601
UV00000104,C0000035,02-2026,31,255,383
UV00000105,C0000035,01-2026,217,20,694
UV00000106,C0000036,03-2026,74,150,356
UV00000107,C0000036,02-2026,31,201,367
UV00000108,C0000036,01-2026,181,265,37
UV00000109,C0000037,03-2026,90,122,72
UV00000110,C0000037,02-2026,218,436,126
UV00000111,C0000037,01-2026,180,413,260
UV00000112,C0000038,03-2026,255,318,532
UV00000113,C0000038,02-2026,355,23,55
UV00000114,C0000038,01-2026,45,337,125
UV00000115,C0000039,03-2026,243,358,300
UV00000116,C0000039,02-2026,133,596,361
UV00000117,C0000039,01-2026,117,488,55
UV00000118,C0000040,03-2026,86,428,696
UV00000119,C0000040,02-2026,160,532,96
UV00000120,C0000040,01-2026,211,527,290
UV00000121,C0000041,03-2026,122,11,12
UV00000122,C0000041,02-2026,176,20,368
UV00000123,C0000041,01-2026,280,513,653
UV00000124,C0000042,03-2026,98,541,378
UV00000125,C0000042,02-2026,76,292,389
UV00000126,C0000042,01-2026,420,575,243
UV00000127,C0000043,03-2026,592,344,566
UV00000128,C0000043,02-2026,110,383,298
UV00000129,C0000043,01-2026,303,157,635
UV00000130,C0000044,03-2026,231,266,673
UV00000131,C0000044,02-2026,268,482,432
UV00000132,C0000044,01-2026,116,344,450
UV00000133,C0000045,03-2026,66,289,305
UV00000134,C0000045,02-2026,42,481,592
UV00000135,C0000045,01-2026,193,491,583
UV00000136,C0000046,03-2026,294,493,420
UV00000137,C0000046,02-2026,113,438,697
UV00000138,C0000046,01-2026,118,373,88
UV00000139,C0000047,03-2026,56,556,214
UV00000140,C0000047,02-2026,175,385,298
UV00000141,C0000047,01-2026,248,281,249
UV00000142,C0000048,03-2026,101,537,469
UV00000143,C0000048,02-2026,28,87,246
UV00000144,C0000048,01-2026,200,63,295
UV00000145,C0000049,03-2026,99,113,502
UV00000146,C0000049,02-2026,200,16,120
UV00000147,C0000049,01-2026,603,213,305
UV00000148,C0000050,03-2026,122,5,548
UV00000149,C0000050,02-2026,177,232,329
UV00000150,C0000050,01-2026,118,165,417
UV00000151,C0000051,03-2026,210,128,129
UV00000152,C0000051,02-2026,470,350,162
UV00000153,C0000051,01-2026,157,346,183
UV00000154,C0000052,03-2026,97,169,104
UV00000155,C0000052,02-2026,980,507,337
UV00000156,C0000052,01-2026,241,85,312
UV00000157,C0000053,03-2026,177,191,206
UV00000158,C0000053,02-2026,27,538,55
UV00000159,C0000053,01-2026,113,33,466
UV00000160,C0000054,03-2026,84,427,256
UV00000161,C0000054,02-2026,96,192,352
UV00000162,C0000054,01-2026,311,129,65
UV00000163,C0000055,03-2026,33,87,392
UV00000164,C0000055,02-2026,309,52,396
UV00000165,C0000055,01-2026,132,246,689
UV00000166,C0000056,03-2026,74,533,390
UV00000167,C0000056,02-2026,467,428,370
UV00000168,C0000056,01-2026,152,508,416
UV00000169,C0000057,03-2026,186,215,548
UV00000170,C0000057,02-2026,341,294,205
UV00000171,C0000057,01-2026,55,146,149
UV00000172,C0000058,03-2026,82,88,643
UV00000173,C0000058,02-2026,110,260,179
UV00000174,C0000058,01-2026,268,67,657
UV00000175,C0000059,03-2026,96,296,523
UV00000176,C0000059,02-2026,117,125,116
UV00000177,C0000059,01-2026,108,470,27
UV00000178,C0000060,03-2026,227,236,501
UV00000179,C0000060,02-2026,274,216,403
UV00000180,C0000060,01-2026,309,302,151
UV00000181,C0000061,03-2026,62,499,608
UV00000182,C0000061,02-2026,269,128,121
UV00000183,C0000061,01-2026,430,66,581
UV00000184,C0000062,03-2026,253,150,359
UV00000185,C0000062,02-2026,125,413,460
UV00000186,C0000062,01-2026,213,355,168
UV00000187,C0000063,03-2026,109,246,21
UV00000188,C0000063,02-2026,43,387,248
UV00000189,C0000063,01-2026,497,564,613
UV00000190,C0000064,03-2026,115,35,231
UV00000191,C0000064,02-2026,45,84,460
UV00000192,C0000064,01-2026,168,525,498
UV00000193,C0000065,03-2026,283,229,625
UV00000194,C0000065,02-2026,160,438,595
UV00000195,C0000065,01-2026,196,45,326
UV00000196,C0000066,03-2026,174,492,326
UV00000197,C0000066,02-2026,171,548,655
UV00000198,C0000066,01-2026,333,180,624
UV00000199,C0000067,03-2026,62,121,268
UV00000200,C0000067,02-2026,85,255,315
UV00000201,C0000067,01-2026,56,523,313
UV00000202,C0000068,03-2026,115,489,230
UV00000203,C0000068,02-2026,248,25,300
UV00000204,C0000068,01-2026,668,429,353
UV00000205,C0000069,03-2026,335,399,310
UV00000206,C0000069,02-2026,153,8,390
UV00000207,C0000069,01-2026,135,94,684
UV00000208,C0000070,03-2026,43,318,148
UV00000209,C0000070,02-2026,56,398,368
UV00000210,C0000070,01-2026,150,407,365
UV00000211,C0000071,03-2026,42,57,272
UV00000212,C0000071,02-2026,239,334,411
UV00000213,C0000071,01-2026,99,463,400
UV00000214,C0000072,03-2026,155,590,671
UV00000215,C0000072,02-2026,266,244,25
UV00000216,C0000072,01-2026,89,335,617
UV00000217,C0000073,03-2026,239,461,202
UV00000218,C0000073,02-2026,55,49,50
UV00000219,C0000073,01-2026,79,61,673
UV00000220,C0000074,03-2026,611,97,685
UV00000221,C0000074,02-2026,95,529,420
UV00000222,C0000074,01-2026,584,400,197
UV00000223,C0000075,03-2026,13,483,659
UV00000224,C0000075,02-2026,49,376,562
UV00000225,C0000075,01-2026,37,375,103
UV00000226,C0000076,03-2026,148,290,547
UV00000227,C0000076,02-2026,120,397,233
UV00000228,C0000076,01-2026,67,213,199
UV00000229,C0000077,03-2026,131,181,395
UV00000230,C0000077,02-2026,251,492,234
UV00000231,C0000077,01-2026,91,305,559
UV00000232,C0000078,03-2026,186,468,475
UV00000233,C0000078,02-2026,280,213,136
UV00000234,C0000078,01-2026,20,151,339
UV00000235,C0000079,03-2026,177,352,44
UV00000236,C0000079,02-2026,279,297,673
UV00000237,C0000079,01-2026,29,566,14
UV00000238,C0000080,03-2026,181,65,222
UV00000239,C0000080,02-2026,259,271,263
UV00000240,C0000080,01-2026,66,316,534
UV00000241,C0000081,03-2026,82,140,429
UV00000242,C0000081,02-2026,59,529,170
UV00000243,C0000081,01-2026,292,420,346
UV00000244,C0000082,03-2026,156,251,482
UV00000245,C0000082,02-2026,779,259,517
UV00000246,C0000082,01-2026,468,162,273
UV00000247,C0000083,03-2026,387,582,673
UV00000248,C0000083,02-2026,391,231,234
UV00000249,C0000083,01-2026,104,400,74
UV00000250,C0000084,03-2026,233,371,161
UV00000251,C0000084,02-2026,172,257,585
UV00000252,C0000084,01-2026,192,51,85
UV00000253,C0000085,03-2026,437,149,338
UV00000254,C0000085,02-2026,55,163,553
UV00000255,C0000085,01-2026,184,81,359
UV00000256,C0000086,03-2026,152,281,88
UV00000257,C0000086,02-2026,120,577,27
UV00000258,C0000086,01-2026,105,245,286
UV00000259,C0000087,03-2026,336,328,678
UV00000260,C0000087,02-2026,49,348,232
UV00000261,C0000087,01-2026,272,43,434
UV00000262,C0000088,03-2026,96,386,609
UV00000263,C0000088,02-2026,289,457,111
UV00000264,C0000088,01-2026,197,179,564
UV00000265,C0000089,03-2026,93,490,258
UV00000266,C0000089,02-2026,239,102,583
UV00000267,C0000089,01-2026,352,546,250
UV00000268,C0000090,03-2026,156,320,587
UV00000269,C0000090,02-2026,75,497,222
UV00000270,C0000090,01-2026,57,322,428
UV00000271,C0000091,03-2026,560,349,37
UV00000272,C0000091,02-2026,73,181,435
UV00000273,C0000091,01-2026,38,483,170
UV00000274,C0000092,03-2026,286,410,481
UV00000275,C0000092,02-2026,268,583,55
UV00000276,C0000092,01-2026,199,496,141
UV00000277,C0000093,03-2026,363,165,667
UV00000278,C0000093,02-2026,139,536,292
UV00000279,C0000093,01-2026,52,464,388
UV00000280,C0000094,03-2026,232,168,395
UV00000281,C0000094,02-2026,110,363,670
UV00000282,C0000094,01-2026,376,11,591
UV00000283,C0000095,03-2026,151,576,118
UV00000284,C0000095,02-2026,138,439,657
UV00000285,C0000095,01-2026,237,46,189
UV00000286,C0000096,03-2026,7,462,392
UV00000287,C0000096,02-2026,221,529,304
UV00000288,C0000096,01-2026,53,125,6
UV00000289,C0000097,03-2026,324,318,279
UV00000290,C0000097,02-2026,29,574,84
UV00000291,C0000097,01-2026,99,597,620
UV00000292,C0000098,03-2026,132,243,495
UV00000293,C0000098,02-2026,151,190,377
UV00000294,C0000098,01-2026,78,495,453
UV00000295,C0000099,03-2026,398,541,316
UV00000296,C0000099,02-2026,84,385,641
UV00000297,C0000099,01-2026,315,398,689
UV00000298,C0000100,03-2026,153,197,180
UV00000299,C0000100,02-2026,86,333,599
UV00000300,C0000100,01-2026,139,25,177
UV00000301,C0000101,03-2026,131,126,425
UV00000302,C0000101,02-2026,233,438,382
UV00000303,C0000101,01-2026,56,516,511
UV00000304,C0000102,03-2026,50,77,95
UV00000305,C0000102,02-2026,322,379,155
UV00000306,C0000102,01-2026,162,580,566
UV00000307,C0000103,03-2026,225,251,141
UV00000308,C0000103,02-2026,575,191,75
UV00000309,C0000103,01-2026,243,444,272
UV00000310,C0000104,03-2026,80,11,320
UV00000311,C0000104,02-2026,252,315,493
UV00000312,C0000104,01-2026,59,454,677
UV00000313,C0000105,03-2026,546,349,547
UV00000314,C0000105,02-2026,104,229,435
UV00000315,C0000105,01-2026,144,589,255
UV00000316,C0000106,03-2026,165,528,545
UV00000317,C0000106,02-2026,981,189,323
UV00000318,C0000106,01-2026,114,439,44
UV00000319,C0000107,03-2026,35,474,145
UV00000320,C0000107,02-2026,99,27,534
UV00000321,C0000107,01-2026,297,416,687
UV00000322,C0000108,03-2026,172,450,509
UV00000323,C0000108,02-2026,159,323,37
UV00000324,C0000108,01-2026,287,141,401
UV00000325,C0000109,03-2026,63,146,172
UV00000326,C0000109,02-2026,535,334,23
UV00000327,C0000109,01-2026,153,561,673
UV00000328,C0000110,03-2026,13,107,210
UV00000329,C0000110,02-2026,60,105,679
UV00000330,C0000110,01-2026,215,460,390
UV00000331,C0000111,03-2026,31,405,565
UV00000332,C0000111,02-2026,289,228,77
UV00000333,C0000111,01-2026,61,139,593
UV00000334,C0000112,03-2026,32,188,647
UV00000335,C0000112,02-2026,150,530,587
UV00000336,C0000112,01-2026,226,572,515
UV00000337,C0000113,03-2026,195,427,379
UV00000338,C0000113,02-2026,152,584,634
UV00000339,C0000113,01-2026,230,364,475
UV00000340,C0000114,03-2026,280,434,618
UV00000341,C0000114,02-2026,74,531,530
UV00000342,C0000114,01-2026,127,12,146
UV00000343,C0000115,03-2026,127,21,22
UV00000344,C0000115,02-2026,278,207,515
UV00000345,C0000115,01-2026,427,529,477
UV00000346,C0000116,03-2026,295,122,131
UV00000347,C0000116,02-2026,190,72,186
UV00000348,C0000116,01-2026,146,120,609
UV00000349,C0000117,03-2026,252,296,189
UV00000350,C0000117,02-2026,211,181,203
UV00000351,C0000117,01-2026,203,573,229
UV00000352,C0000118,03-2026,667,170,398
UV00000353,C0000118,02-2026,242,279,524
UV00000354,C0000118,01-2026,99,196,368
UV00000355,C0000119,03-2026,58,191,467
UV00000356,C0000119,02-2026,115,84,178
UV00000357,C0000119,01-2026,160,193,631
UV00000358,C0000120,03-2026,150,49,116
UV00000359,C0000120,02-2026,621,410,309
UV00000360,C0000120,01-2026,434,594,32
UV00000361,C0000121,03-2026,79,458,196
UV00000362,C0000121,02-2026,177,171,575
UV00000363,C0000121,01-2026,243,441,675
UV00000364,C0000122,03-2026,238,194,206
UV00000365,C0000122,02-2026,179,101,528
UV00000366,C0000122,01-2026,85,466,412
UV00000367,C0000123,03-2026,117,456,118
UV00000368,C0000123,02-2026,63,180,477
UV00000369,C0000123,01-2026,239,117,543
UV00000370,C0000124,03-2026,77,283,241
UV00000371,C0000124,02-2026,189,350,208
UV00000372,C0000124,01-2026,131,193,165
UV00000373,C0000125,03-2026,48,311,589
UV00000374,C0000125,02-2026,328,108,17
UV00000375,C0000125,01-2026,48,358,411
UV00000376,C0000126,03-2026,546,7,698
UV00000377,C0000126,02-2026,116,293,172
UV00000378,C0000126,01-2026,194,282,182
UV00000379,C0000127,03-2026,170,221,545
UV00000380,C0000127,02-2026,492,319,117
UV00000381,C0000127,01-2026,401,58,217
UV00000382,C0000128,03-2026,306,355,435
UV00000383,C0000128,02-2026,89,490,476
UV00000384,C0000128,01-2026,55,8,448
UV00000385,C0000129,03-2026,300,197,240
UV00000386,C0000129,02-2026,167,88,667
UV00000387,C0000129,01-2026,163,369,582
UV00000388,C0000130,03-2026,49,154,269
UV00000389,C0000130,02-2026,81,92,675
UV00000390,C0000130,01-2026,139,42,280
UV00000391,C0000131,03-2026,48,143,602
UV00000392,C0000131,02-2026,379,108,216
UV00000393,C0000131,01-2026,167,161,294
UV00000394,C0000132,03-2026,716,24,124
UV00000395,C0000132,02-2026,375,512,435
UV00000396,C0000132,01-2026,197,142,136
UV00000397,C0000133,03-2026,411,429,649
UV00000398,C0000133,02-2026,17,124,385
UV00000399,C0000133,01-2026,262,127,422
UV00000400,C0000134,03-2026,36,311,569
UV00000401,C0000134,02-2026,252,506,516
UV00000402,C0000134,01-2026,120,500,441
UV00000403,C0000135,03-2026,378,293,246
UV00000404,C0000135,02-2026,119,333,575
UV00000405,C0000135,01-2026,361,447,653
UV00000406,C0000136,03-2026,394,101,677
UV00000407,C0000136,02-2026,249,474,527
UV00000408,C0000136,01-2026,528,46,400
UV00000409,C0000137,03-2026,324,559,348
UV00000410,C0000137,02-2026,118,209,136
UV00000411,C0000137,01-2026,37,78,440
UV00000412,C0000138,03-2026,146,232,601
UV00000413,C0000138,02-2026,138,59,581
UV00000414,C0000138,01-2026,181,433,319
UV00000415,C0000139,03-2026,381,392,360
UV00000416,C0000139,02-2026,104,116,178
UV00000417,C0000139,01-2026,145,250,188
UV00000418,C0000140,03-2026,219,106,547
UV00000419,C0000140,02-2026,80,483,567
UV00000420,C0000140,01-2026,141,282,153
UV00000421,C0000141,03-2026,115,586,699
UV00000422,C0000141,02-2026,192,465,611
UV00000423,C0000141,01-2026,83,202,505
UV00000424,C0000142,03-2026,409,300,189
UV00000425,C0000142,02-2026,170,90,73
UV00000426,C0000142,01-2026,376,36,338
UV00000427,C0000143,03-2026,166,83,341
UV00000428,C0000143,02-2026,103,123,325
UV00000429,C0000143,01-2026,220,204,264
UV00000430,C0000144,03-2026,182,86,253
UV00000431,C0000144,02-2026,84,223,32
UV00000432,C0000144,01-2026,84,289,441
UV00000433,C0000145,03-2026,125,144,84
UV00000434,C0000145,02-2026,233,59,663
UV00000435,C0000145,01-2026,173,430,576
UV00000436,C0000146,03-2026,311,160,465
UV00000437,C0000146,02-2026,223,338,330
UV00000438,C0000146,01-2026,319,302,566
UV00000439,C0000147,03-2026,349,250,659
UV00000440,C0000147,02-2026,256,240,225
UV00000441,C0000147,01-2026,122,337,356
UV00000442,C0000148,03-2026,61,140,651
UV00000443,C0000148,02-2026,240,9,36
UV00000444,C0000148,01-2026,188,58,603
UV00000445,C0000149,03-2026,767,344,325
UV00000446,C0000149,02-2026,484,525,317
UV00000447,C0000149,01-2026,185,597,507
UV00000448,C0000150,03-2026,213,47,262
UV00000449,C0000150,02-2026,89,310,530
UV00000450,C0000150,01-2026,178,458,401
UV00000451,C0000151,03-2026,90,140,246
UV00000452,C0000151,02-2026,161,49,419
UV00000453,C0000151,01-2026,44,60,520
UV00000454,C0000152,03-2026,60,121,337
UV00000455,C0000152,02-2026,189,31,479
UV00000456,C0000152,01-2026,66,126,684
UV00000457,C0000153,03-2026,473,87,439
UV00000458,C0000153,02-2026,36,100,438
UV00000459,C0000153,01-2026,136,584,647
UV00000460,C0000154,03-2026,354,296,539
UV00000461,C0000154,02-2026,286,86,7
UV00000462,C0000154,01-2026,400,108,255
UV00000463,C0000155,03-2026,359,175,344
UV00000464,C0000155,02-2026,38,176,161
UV00000465,C0000155,01-2026,96,345,156
UV00000466,C0000156,03-2026,496,551,22
UV00000467,C0000156,02-2026,239,278,186
UV00000468,C0000156,01-2026,49,468,483
UV00000469,C0000157,03-2026,226,258,366
UV00000470,C0000157,02-2026,44,511,484
UV00000471,C0000157,01-2026,176,555,38
UV00000472,C0000158,03-2026,380,253,478
UV00000473,C0000158,02-2026,349,259,411
UV00000474,C0000158,01-2026,300,30,53
UV00000475,C0000159,03-2026,604,338,621
UV00000476,C0000159,02-2026,102,119,355
UV00000477,C0000159,01-2026,288,554,43
UV00000478,C0000160,03-2026,149,486,636
UV00000479,C0000160,02-2026,210,47,57
UV00000480,C0000160,01-2026,75,442,74
UV00000481,C0000161,03-2026,177,599,279
UV00000482,C0000161,02-2026,487,23,493
UV00000483,C0000161,01-2026,192,276,679
UV00000484,C0000162,03-2026,228,393,44
UV00000485,C0000162,02-2026,165,583,52
UV00000486,C0000162,01-2026,225,465,620
UV00000487,C0000163,03-2026,120,182,158
UV00000488,C0000163,02-2026,155,104,63
UV00000489,C0000163,01-2026,197,491,396
UV00000490,C0000164,03-2026,599,312,691
UV00000491,C0000164,02-2026,352,337,317
UV00000492,C0000164,01-2026,183,441,538
UV00000493,C0000165,03-2026,57,212,646
UV00000494,C0000165,02-2026,119,155,108
UV00000495,C0000165,01-2026,207,184,306
UV00000496,C0000166,03-2026,41,224,552
UV00000497,C0000166,02-2026,392,367,247
UV00000498,C0000166,01-2026,144,191,282
UV00000499,C0000167,03-2026,750,426,583
UV00000500,C0000167,02-2026,321,599,414
UV00000501,C0000167,01-2026,28,439,51
UV00000502,C0000168,03-2026,114,340,235
UV00000503,C0000168,02-2026,157,10,230
UV00000504,C0000168,01-2026,348,108,236
UV00000505,C0000169,03-2026,177,572,138
UV00000506,C0000169,02-2026,586,314,607
UV00000507,C0000169,01-2026,458,524,84
UV00000508,C0000170,03-2026,197,587,473
UV00000509,C0000170,02-2026,129,67,93
UV00000510,C0000170,01-2026,271,348,436
UV00000511,C0000171,03-2026,228,356,656
UV00000512,C0000171,02-2026,174,536,609
UV00000513,C0000171,01-2026,66,497,185
UV00000514,C0000172,03-2026,73,64,332
UV00000515,C0000172,02-2026,168,330,517
UV00000516,C0000172,01-2026,184,110,643
UV00000517,C0000173,03-2026,327,474,686
UV00000518,C0000173,02-2026,50,421,494
UV00000519,C0000173,01-2026,123,119,49
UV00000520,C0000174,03-2026,39,472,177
UV00000521,C0000174,02-2026,288,18,370
UV00000522,C0000174,01-2026,163,366,204
UV00000523,C0000175,03-2026,263,474,642
UV00000524,C0000175,02-2026,76,509,19
UV00000525,C0000175,01-2026,79,94,166
UV00000526,C0000176,03-2026,294,558,446
UV00000527,C0000176,02-2026,313,180,104
UV00000528,C0000176,01-2026,199,547,445
UV00000529,C0000177,03-2026,78,289,184
UV00000530,C0000177,02-2026,129,401,567
UV00000531,C0000177,01-2026,110,170,356
UV00000532,C0000178,03-2026,150,225,545
UV00000533,C0000178,02-2026,705,160,360
UV00000534,C0000178,01-2026,61,125,88
UV00000535,C0000179,03-2026,617,298,314
UV00000536,C0000179,02-2026,184,349,647
UV00000537,C0000179,01-2026,157,63,53
UV00000538,C0000180,03-2026,386,553,5
UV00000539,C0000180,02-2026,225,316,320
UV00000540,C0000180,01-2026,35,42,460
UV00000541,C0000181,03-2026,244,227,370
UV00000542,C0000181,02-2026,79,158,106
UV00000543,C0000181,01-2026,64,347,240
UV00000544,C0000182,03-2026,269,287,645
UV00000545,C0000182,02-2026,40,578,160
UV00000546,C0000182,01-2026,66,440,5
UV00000547,C0000183,03-2026,188,180,558
UV00000548,C0000183,02-2026,258,234,366
UV00000549,C0000183,01-2026,217,151,94
UV00000550,C0000184,03-2026,226,563,311
UV00000551,C0000184,02-2026,360,460,569
UV00000552,C0000184,01-2026,57,502,111
UV00000553,C0000185,03-2026,136,427,571
UV00000554,C0000185,02-2026,284,190,415
UV00000555,C0000185,01-2026,402,177,140
UV00000556,C0000186,03-2026,210,358,95
UV00000557,C0000186,02-2026,31,394,16
UV00000558,C0000186,01-2026,454,146,273
UV00000559,C0000187,03-2026,489,257,57
UV00000560,C0000187,02-2026,230,188,359
UV00000561,C0000187,01-2026,549,13,336
UV00000562,C0000188,03-2026,190,301,547
UV00000563,C0000188,02-2026,394,182,253
UV00000564,C0000188,01-2026,442,280,511
UV00000565,C0000189,03-2026,946,148,428
UV00000566,C0000189,02-2026,393,110,276
UV00000567,C0000189,01-2026,471,20,134
UV00000568,C0000190,03-2026,229,187,21
UV00000569,C0000190,02-2026,183,514,697
UV00000570,C0000190,01-2026,32,197,341
UV00000571,C0000191,03-2026,9,334,323
UV00000572,C0000191,02-2026,247,70,231
UV00000573,C0000191,01-2026,210,70,431
UV00000574,C0000192,03-2026,183,397,102
UV00000575,C0000192,02-2026,84,188,409
UV00000576,C0000192,01-2026,322,490,57
UV00000577,C0000193,03-2026,501,290,321
UV00000578,C0000193,02-2026,195,363,111
UV00000579,C0000193,01-2026,322,376,179
UV00000580,C0000194,03-2026,29,465,509
UV00000581,C0000194,02-2026,94,55,274
UV00000582,C0000194,01-2026,18,40,17
UV00000583,C0000195,03-2026,205,129,132
UV00000584,C0000195,02-2026,1118,48,195
UV00000585,C0000195,01-2026,515,284,335
UV00000586,C0000196,03-2026,389,106,320
UV00000587,C0000196,02-2026,41,485,317
UV00000588,C0000196,01-2026,131,82,66
UV00000589,C0000197,03-2026,360,332,296
UV00000590,C0000197,02-2026,247,19,452
UV00000591,C0000197,01-2026,331,383,645
UV00000592,C0000198,03-2026,214,464,605
UV00000593,C0000198,02-2026,157,217,90
UV00000594,C0000198,01-2026,195,360,20
UV00000595,C0000199,03-2026,126,518,308
UV00000596,C0000199,02-2026,569,207,235
UV00000597,C0000199,01-2026,451,372,631
UV00000598,C0000200,03-2026,244,172,397
UV00000599,C0000200,02-2026,49,92,617
UV00000600,C0000200,01-2026,321,541,644
UV00000601,C0000201,03-2026,184,278,573
UV00000602,C0000201,02-2026,84,88,684
UV00000603,C0000201,01-2026,217,595,522
UV00000604,C0000202,03-2026,84,223,369
UV00000605,C0000202,02-2026,435,357,651
UV00000606,C0000202,01-2026,205,579,247
UV00000607,C0000203,03-2026,122,261,615
UV00000608,C0000203,02-2026,81,591,491
UV00000609,C0000203,01-2026,131,556,466
UV00000610,C0000204,03-2026,263,362,563
UV00000611,C0000204,02-2026,266,413,144
UV00000612,C0000204,01-2026,40,17,658
UV00000613,C0000205,03-2026,196,159,430
UV00000614,C0000205,02-2026,54,63,350
UV00000615,C0000205,01-2026,160,572,235
UV00000616,C0000206,03-2026,165,337,657
UV00000617,C0000206,02-2026,32,90,75
UV00000618,C0000206,01-2026,48,529,69
UV00000619,C0000207,03-2026,600,573,26
UV00000620,C0000207,02-2026,280,103,658
UV00000621,C0000207,01-2026,155,233,666
UV00000622,C0000208,03-2026,332,109,159
UV00000623,C0000208,02-2026,607,219,327
UV00000624,C0000208,01-2026,123,494,210
UV00000625,C0000209,03-2026,172,130,180
UV00000626,C0000209,02-2026,65,341,166
UV00000627,C0000209,01-2026,202,234,622
UV00000628,C0000210,03-2026,390,136,335
UV00000629,C0000210,02-2026,390,443,334
UV00000630,C0000210,01-2026,232,390,683
UV00000631,C0000211,03-2026,236,439,118
UV00000632,C0000211,02-2026,287,510,412
