record_id,customer_id,city_id,month,avg_signal_strength_dbm,dropped_call_rate_pct,avg_download_speed_mbps,network_downtime_hours
NQ00000058,C0000020,CT0023,03-2026,-74.9,4.41,27.6,1.15
NQ00000059,C0000020,CT0023,02-2026,-74.9,2.22,44.4,0.28
NQ00000060,C0000020,CT0023,01-2026,-74.9,2.64,38.2,0.92
NQ00000061,C0000021,CT0017,03-2026,-64.2,1.95,82.1,0.37
NQ00000062,C0000021,CT0017,02-2026,-64.2,2.04,58.4,1.31
NQ00000063,C0000021,CT0017,01-2026,-64.2,1.24,71.0,0.66
NQ00000064,C0000022,CT0031,03-2026,-69.7,2.67,36.6,2.3
NQ00000065,C0000022,CT0031,02-2026,-69.7,1.88,42.9,0.68
NQ00000066,C0000022,CT0031,01-2026,-69.7,3.4,27.2,0.68
NQ00000067,C0000023,CT0002,03-2026,-57.2,0.91,49.7,0.26
NQ00000068,C0000023,CT0002,02-2026,-57.2,0.92,35.4,0.29
NQ00000069,C0000023,CT0002,01-2026,-57.2,1.38,61.1,0.05
NQ00000070,C0000024,CT0022,03-2026,-74.6,4.33,55.2,1.38
NQ00000071,C0000024,CT0022,02-2026,-74.6,2.75,25.1,0.25
NQ00000072,C0000024,CT0022,01-2026,-74.6,3.05,42.7,4.02
NQ00000073,C0000025,CT0027,03-2026,-76.9,3.64,36.8,0.88
NQ00000074,C0000025,CT0027,02-2026,-76.9,4.15,16.4,0.42
NQ00000075,C0000025,CT0027,01-2026,-76.9,3.06,52.9,0.23
NQ00000076,C0000026,CT0010,03-2026,-68.6,2.69,35.1,0.32
NQ00000077,C0000026,CT0010,02-2026,-68.6,2.82,41.4,0.49
NQ00000078,C0000026,CT0010,01-2026,-68.6,2.13,33.4,0.27
NQ00000079,C0000027,CT0049,03-2026,-67.2,2.75,48.4,0.18
NQ00000080,C0000027,CT0049,02-2026,-67.2,2.33,62.1,0.56
NQ00000081,C0000027,CT0049,01-2026,-67.2,1.59,25.0,1.8
NQ00000082,C0000028,CT0031,03-2026,-63.6,2.05,42.1,0.24
NQ00000083,C0000028,CT0031,02-2026,-63.6,2.68,64.2,0.41
NQ00000084,C0000028,CT0031,01-2026,-63.6,2.56,72.1,0.37
NQ00000085,C0000029,CT0050,03-2026,-76.7,4.72,37.3,1.11
NQ00000086,C0000029,CT0050,02-2026,-76.7,2.18,27.9,0.21
NQ00000087,C0000029,CT0050,01-2026,-76.7,3.17,48.4,0.17
NQ00000088,C0000030,CT0018,03-2026,-74.6,2.1,34.4,0.49
NQ00000089,C0000030,CT0018,02-2026,-74.6,2.22,52.5,0.62
NQ00000090,C0000030,CT0018,01-2026,-74.6,2.29,16.9,3.36
NQ00000091,C0000031,CT0021,03-2026,-59.3,1.74,29.6,0.05
NQ00000092,C0000031,CT0021,02-2026,-59.3,0.9,32.4,0.14
NQ00000093,C0000031,CT0021,01-2026,-59.3,1.43,21.8,0.28
NQ00000094,C0000032,CT0054,03-2026,-65.1,2.45,26.5,1.16
NQ00000095,C0000032,CT0054,02-2026,-65.1,2.84,21.3,1.19
NQ00000096,C0000032,CT0054,01-2026,-65.1,2.61,48.0,1.19
NQ00000097,C0000033,CT0048,03-2026,-60.1,1.28,85.2,1.46
NQ00000098,C0000033,CT0048,02-2026,-60.1,1.64,44.4,0.22
NQ00000099,C0000033,CT0048,01-2026,-60.1,0.81,65.3,0.15
NQ00000100,C0000034,CT0006,03-2026,-55.2,0.71,60.1,0.14
NQ00000101,C0000034,CT0006,02-2026,-55.2,0.76,79.1,0.27
NQ00000102,C0000034,CT0006,01-2026,-55.2,0.54,37.3,0.09
NQ00000103,C0000035,CT0006,03-2026,-60.9,1.51,82.3,0.2
NQ00000104,C0000035,CT0006,02-2026,-60.9,1.13,73.3,0.73
NQ00000105,C0000035,CT0006,01-2026,-60.9,1.47,42.2,0.42
NQ00000106,C0000036,CT0018,03-2026,-78.5,3.15,18.1,3.04
NQ00000107,C0000036,CT0018,02-2026,-78.5,2.94,18.2,1.51
NQ00000108,C0000036,CT0018,01-2026,-78.5,4.12,17.4,1.02
NQ00000109,C0000037,CT0019,03-2026,-65.3,2.07,22.1,0.3
NQ00000110,C0000037,CT0019,02-2026,-65.3,2.85,23.3,0.37
NQ00000111,C0000037,CT0019,01-2026,-65.3,1.63,41.8,0.6
NQ00000112,C0000038,CT0019,03-2026,-61.2,1.87,89.4,0.95
NQ00000113,C0000038,CT0019,02-2026,-61.2,1.3,16.7,0.24
NQ00000114,C0000038,CT0019,01-2026,-61.2,1.36,88.4,0.3
NQ00000115,C0000039,CT0033,03-2026,-66.9,2.89,17.0,1.51
NQ00000116,C0000039,CT0033,02-2026,-66.9,3.21,64.0,0.64
NQ00000117,C0000039,CT0033,01-2026,-66.9,1.76,83.4,0.54
NQ00000118,C0000040,CT0009,03-2026,-62.7,1.5,16.3,0.49
NQ00000119,C0000040,CT0009,02-2026,-62.7,2.55,74.6,0.31
NQ00000120,C0000040,CT0009,01-2026,-62.7,2.01,63.9,0.2
NQ00000121,C0000041,CT0021,03-2026,-61.8,2.06,80.9,0.44
NQ00000122,C0000041,CT0021,02-2026,-61.8,1.62,28.8,0.27
NQ00000123,C0000041,CT0021,01-2026,-61.8,0.83,95.1,0.36
NQ00000124,C0000042,CT0031,03-2026,-69.5,3.9,15.3,0.78
NQ00000125,C0000042,CT0031,02-2026,-69.5,1.98,21.3,0.57
NQ00000126,C0000042,CT0031,01-2026,-69.5,3.85,57.1,0.16
NQ00000127,C0000043,CT0005,03-2026,-55.0,0.69,69.3,0.09
NQ00000128,C0000043,CT0005,02-2026,-55.0,0.84,61.5,0.43
NQ00000129,C0000043,CT0005,01-2026,-55.0,0.41,59.2,0.39
NQ00000130,C0000044,CT0026,03-2026,-61.8,1.71,55.8,0.03
NQ00000131,C0000044,CT0026,02-2026,-61.8,0.87,46.7,0.68
NQ00000132,C0000044,CT0026,01-2026,-61.8,2.22,30.0,0.74
NQ00000133,C0000045,CT0051,03-2026,-65.0,1.33,52.6,0.11
NQ00000134,C0000045,CT0051,02-2026,-65.0,2.72,82.5,0.56
NQ00000135,C0000045,CT0051,01-2026,-65.0,1.13,46.7,0.26
NQ00000136,C0000046,CT0023,03-2026,-67.0,2.12,72.5,0.47
NQ00000137,C0000046,CT0023,02-2026,-67.0,2.25,44.1,1.06
NQ00000138,C0000046,CT0023,01-2026,-67.0,2.77,20.6,0.3
NQ00000139,C0000047,CT0019,03-2026,-70.6,2.92,38.2,1.3
NQ00000140,C0000047,CT0019,02-2026,-70.6,3.45,55.2,0.95
NQ00000141,C0000047,CT0019,01-2026,-70.6,2.22,76.0,1.01
NQ00000142,C0000048,CT0003,03-2026,-72.7,1.94,28.0,0.34
NQ00000143,C0000048,CT0003,02-2026,-72.7,3.93,43.7,0.36
NQ00000144,C0000048,CT0003,01-2026,-72.7,3.25,25.6,1.45
NQ00000145,C0000049,CT0046,03-2026,-75.1,1.72,35.6,0.57
NQ00000146,C0000049,CT0046,02-2026,-75.1,3.44,53.0,1.26
NQ00000147,C0000049,CT0046,01-2026,-75.1,4.15,48.3,2.69
NQ00000148,C0000050,CT0018,03-2026,-70.2,1.92,35.4,0.75
NQ00000149,C0000050,CT0018,02-2026,-70.2,3.06,62.7,1.6
NQ00000150,C0000050,CT0018,01-2026,-70.2,2.2,40.7,2.36
NQ00000151,C0000051,CT0018,03-2026,-75.4,3.13,16.8,0.33
NQ00000152,C0000051,CT0018,02-2026,-75.4,5.04,33.7,0.4
NQ00000153,C0000051,CT0018,01-2026,-75.4,3.63,49.7,0.38
NQ00000154,C0000052,CT0008,03-2026,-56.6,0.86,53.5,0.37
NQ00000155,C0000052,CT0008,02-2026,-56.6,0.5,34.3,0.21
NQ00000156,C0000052,CT0008,01-2026,-56.6,0.82,94.3,0.55
NQ00000157,C0000053,CT0007,03-2026,-61.3,1.38,94.9,0.25
NQ00000158,C0000053,CT0007,02-2026,-61.3,0.87,86.8,0.19
NQ00000159,C0000053,CT0007,01-2026,-61.3,1.34,65.6,0.09
NQ00000160,C0000054,CT0008,03-2026,-66.7,1.72,35.4,0.47
NQ00000161,C0000054,CT0008,02-2026,-66.7,2.11,44.6,0.4
NQ00000162,C0000054,CT0008,01-2026,-66.7,3.14,52.5,0.26
NQ00000163,C0000055,CT0060,03-2026,-66.8,1.92,75.8,1.62
NQ00000164,C0000055,CT0060,02-2026,-66.8,2.14,25.0,0.31
NQ00000165,C0000055,CT0060,01-2026,-66.8,1.28,77.8,0.19
NQ00000166,C0000056,CT0030,03-2026,-95.8,3.53,26.1,0.92
NQ00000167,C0000056,CT0030,02-2026,-95.8,3.11,24.3,0.89
NQ00000168,C0000056,CT0030,01-2026,-95.8,5.83,6.3,0.86
NQ00000169,C0000057,CT0067,03-2026,-73.9,2.92,43.0,0.39
NQ00000170,C0000057,CT0067,02-2026,-73.9,2.4,33.1,0.34
NQ00000171,C0000057,CT0067,01-2026,-73.9,4.27,56.7,1.9
NQ00000172,C0000058,CT0044,03-2026,-79.3,5.56,41.2,2.69
NQ00000173,C0000058,CT0044,02-2026,-79.3,5.13,40.9,0.65
NQ00000174,C0000058,CT0044,01-2026,-79.3,3.79,22.8,0.32
NQ00000175,C0000059,CT0015,03-2026,-56.5,0.86,61.8,0.62
NQ00000176,C0000059,CT0015,02-2026,-56.5,1.04,26.7,0.36
NQ00000177,C0000059,CT0015,01-2026,-56.5,1.15,73.8,0.04
NQ00000178,C0000060,CT0019,03-2026,-69.0,1.27,30.2,0.74
NQ00000179,C0000060,CT0019,02-2026,-69.0,3.08,15.4,1.2
NQ00000180,C0000060,CT0019,01-2026,-69.0,2.76,81.8,0.4
NQ00000181,C0000061,CT0003,03-2026,-54.2,0.45,64.0,0.2
NQ00000182,C0000061,CT0003,02-2026,-54.2,0.67,34.2,0.08
NQ00000183,C0000061,CT0003,01-2026,-54.2,0.53,95.5,0.04
NQ00000184,C0000062,CT0007,03-2026,-56.6,1.12,69.8,0.28
NQ00000185,C0000062,CT0007,02-2026,-56.6,1.21,92.5,0.54
NQ00000186,C0000062,CT0007,01-2026,-56.6,0.62,94.2,0.28
NQ00000187,C0000063,CT0012,03-2026,-69.7,1.4,28.6,0.23
NQ00000188,C0000063,CT0012,02-2026,-69.7,2.64,14.4,0.66
NQ00000189,C0000063,CT0012,01-2026,-69.7,2.7,80.5,0.03
NQ00000190,C0000064,CT0027,03-2026,-75.2,4.62,21.3,0.84
NQ00000191,C0000064,CT0027,02-2026,-75.2,3.68,26.6,1.81
NQ00000192,C0000064,CT0027,01-2026,-75.2,3.94,22.7,0.77
NQ00000193,C0000065,CT0015,03-2026,-71.0,3.39,49.1,0.86
NQ00000194,C0000065,CT0015,02-2026,-71.0,3.95,46.8,1.46
NQ00000195,C0000065,CT0015,01-2026,-71.0,3.1,37.7,1.24
NQ00000196,C0000066,CT0021,03-2026,-71.0,3.94,18.7,1.32
NQ00000197,C0000066,CT0021,02-2026,-71.0,1.85,34.2,0.91
NQ00000198,C0000066,CT0021,01-2026,-71.0,2.26,24.2,0.26
NQ00000199,C0000067,CT0006,03-2026,-60.4,1.93,19.2,0.04
NQ00000200,C0000067,CT0006,02-2026,-60.4,1.14,28.6,0.01
NQ00000201,C0000067,CT0006,01-2026,-60.4,1.94,48.1,0.15
NQ00000202,C0000068,CT0037,03-2026,-57.8,0.96,82.6,0.25
NQ00000203,C0000068,CT0037,02-2026,-57.8,1.2,56.9,0.25
NQ00000204,C0000068,CT0037,01-2026,-57.8,1.24,60.6,0.52
NQ00000205,C0000069,CT0016,03-2026,-70.3,3.08,53.6,1.61
NQ00000206,C0000069,CT0016,02-2026,-70.3,1.87,50.2,1.33
NQ00000207,C0000069,CT0016,01-2026,-70.3,3.24,54.0,1.08
NQ00000208,C0000070,CT0006,03-2026,-69.6,3.47,31.9,1.18
NQ00000209,C0000070,CT0006,02-2026,-69.6,2.52,44.0,0.44
NQ00000210,C0000070,CT0006,01-2026,-69.6,3.05,54.3,0.97
NQ00000211,C0000071,CT0001,03-2026,-60.8,2.1,83.7,0.33
NQ00000212,C0000071,CT0001,02-2026,-60.8,1.25,69.6,0.44
NQ00000213,C0000071,CT0001,01-2026,-60.8,1.28,38.6,0.46
NQ00000214,C0000072,CT0050,03-2026,-74.1,4.55,46.6,0.48
NQ00000215,C0000072,CT0050,02-2026,-74.1,3.35,33.0,0.26
NQ00000216,C0000072,CT0050,01-2026,-74.1,4.41,46.2,1.98
NQ00000217,C0000073,CT0014,03-2026,-65.6,1.44,25.9,0.81
NQ00000218,C0000073,CT0014,02-2026,-65.6,1.46,29.7,0.28
NQ00000219,C0000073,CT0014,01-2026,-65.6,1.42,84.5,0.17
NQ00000220,C0000074,CT0054,03-2026,-65.0,1.33,48.8,0.19
NQ00000221,C0000074,CT0054,02-2026,-65.0,1.36,63.0,0.71
NQ00000222,C0000074,CT0054,01-2026,-65.0,2.02,34.7,0.07
NQ00000223,C0000075,CT0028,03-2026,-65.7,1.68,15.4,0.28
NQ00000224,C0000075,CT0028,02-2026,-65.7,2.96,85.0,1.47
NQ00000225,C0000075,CT0028,01-2026,-65.7,1.57,85.5,0.38
NQ00000226,C0000076,CT0034,03-2026,-69.7,3.79,59.5,0.79
NQ00000227,C0000076,CT0034,02-2026,-69.7,3.62,15.7,0.53
NQ00000228,C0000076,CT0034,01-2026,-69.7,3.55,73.1,0.73
NQ00000229,C0000077,CT0050,03-2026,-71.6,2.23,50.6,0.61
NQ00000230,C0000077,CT0050,02-2026,-71.6,1.52,49.3,0.82
NQ00000231,C0000077,CT0050,01-2026,-71.6,4.32,75.8,2.25
NQ00000232,C0000078,CT0017,03-2026,-61.2,0.75,20.8,1.32
NQ00000233,C0000078,CT0017,02-2026,-61.2,1.82,70.6,0.61
NQ00000234,C0000078,CT0017,01-2026,-61.2,1.03,67.0,0.14
NQ00000235,C0000079,CT0066,03-2026,-76.6,4.01,35.1,1.62
NQ00000236,C0000079,CT0066,02-2026,-76.6,3.96,21.6,1.37
NQ00000237,C0000079,CT0066,01-2026,-76.6,4.01,41.7,0.83
NQ00000238,C0000080,CT0065,03-2026,-73.9,2.75,35.6,2.4
NQ00000239,C0000080,CT0065,02-2026,-73.9,3.92,44.5,1.12
NQ00000240,C0000080,CT0065,01-2026,-73.9,4.15,68.2,0.12
NQ00000241,C0000081,CT0010,03-2026,-63.1,2.25,78.4,0.94
NQ00000242,C0000081,CT0010,02-2026,-63.1,2.02,36.2,0.64
NQ00000243,C0000081,CT0010,01-2026,-63.1,1.87,41.2,0.47
NQ00000244,C0000082,CT0012,03-2026,-59.8,1.12,16.9,0.09
NQ00000245,C0000082,CT0012,02-2026,-59.8,1.42,35.0,0.33
NQ00000246,C0000082,CT0012,01-2026,-59.8,1.33,69.4,0.31
NQ00000247,C0000083,CT0008,03-2026,-51.2,0.21,37.7,0.03
NQ00000248,C0000083,CT0008,02-2026,-51.2,0.2,30.6,0.02
NQ00000249,C0000083,CT0008,01-2026,-51.2,0.09,99.0,0.05
NQ00000250,C0000084,CT0006,03-2026,-57.0,1.39,44.1,0.16
NQ00000251,C0000084,CT0006,02-2026,-57.0,0.92,51.8,0.54
NQ00000252,C0000084,CT0006,01-2026,-57.0,1.05,104.2,0.07
NQ00000253,C0000085,CT0007,03-2026,-69.0,3.29,71.3,0.69
NQ00000254,C0000085,CT0007,02-2026,-69.0,2.31,54.2,1.7
NQ00000255,C0000085,CT0007,01-2026,-69.0,1.89,65.3,1.07
NQ00000256,C0000086,CT0051,03-2026,-74.3,3.2,17.9,1.54
NQ00000257,C0000086,CT0051,02-2026,-74.3,3.07,48.5,1.04
NQ00000258,C0000086,CT0051,01-2026,-74.3,4.71,67.4,0.62
NQ00000259,C0000087,CT0001,03-2026,-50.6,0.12,109.9,0.04
NQ00000260,C0000087,CT0001,02-2026,-50.6,0.06,101.4,0.02
NQ00000261,C0000087,CT0001,01-2026,-50.6,0.11,86.4,0.0
NQ00000262,C0000088,CT0041,03-2026,-70.9,3.11,76.7,2.1
NQ00000263,C0000088,CT0041,02-2026,-70.9,2.67,14.1,0.66
NQ00000264,C0000088,CT0041,01-2026,-70.9,1.44,28.9,0.58
NQ00000265,C0000089,CT0007,03-2026,-64.6,1.38,86.7,0.87
NQ00000266,C0000089,CT0007,02-2026,-64.6,1.23,57.3,0.78
NQ00000267,C0000089,CT0007,01-2026,-64.6,2.86,18.1,0.39
NQ00000268,C0000090,CT0020,03-2026,-65.0,1.24,16.1,0.26
NQ00000269,C0000090,CT0020,02-2026,-65.0,2.42,55.3,1.43
NQ00000270,C0000090,CT0020,01-2026,-65.0,2.4,74.6,0.35
NQ00000271,C0000091,CT0009,03-2026,-59.7,1.07,77.3,0.25
NQ00000272,C0000091,CT0009,02-2026,-59.7,1.0,63.8,0.6
NQ00000273,C0000091,CT0009,01-2026,-59.7,1.93,20.5,0.23
NQ00000274,C0000092,CT0023,03-2026,-67.9,2.81,33.4,0.15
NQ00000275,C0000092,CT0023,02-2026,-67.9,2.67,23.9,0.66
NQ00000276,C0000092,CT0023,01-2026,-67.9,2.14,30.7,2.51
NQ00000277,C0000093,CT0066,03-2026,-80.9,3.97,44.6,1.03
NQ00000278,C0000093,CT0066,02-2026,-80.9,5.26,42.1,0.68
NQ00000279,C0000093,CT0066,01-2026,-80.9,5.28,44.8,3.72
NQ00000280,C0000094,CT0041,03-2026,-83.5,4.04,30.4,0.18
NQ00000281,C0000094,CT0041,02-2026,-83.5,5.26,49.9,0.56
NQ00000282,C0000094,CT0041,01-2026,-83.5,3.99,10.1,2.01
NQ00000283,C0000095,CT0007,03-2026,-54.2,0.5,20.1,0.16
NQ00000284,C0000095,CT0007,02-2026,-54.2,0.71,62.6,0.2
NQ00000285,C0000095,CT0007,01-2026,-54.2,0.62,76.0,0.41
NQ00000286,C0000096,CT0006,03-2026,-58.8,1.14,71.3,0.36
NQ00000287,C0000096,CT0006,02-2026,-58.8,1.21,60.9,0.25
NQ00000288,C0000096,CT0006,01-2026,-58.8,0.8,56.8,0.23
NQ00000289,C0000097,CT0009,03-2026,-50.6,0.05,67.9,0.01
NQ00000290,C0000097,CT0009,02-2026,-50.6,0.08,54.2,0.01
NQ00000291,C0000097,CT0009,01-2026,-50.6,0.11,49.4,0.01
NQ00000292,C0000098,CT0052,03-2026,-77.1,4.31,25.0,0.93
NQ00000293,C0000098,CT0052,02-2026,-77.1,3.95,40.6,1.53
NQ00000294,C0000098,CT0052,01-2026,-77.1,5.25,36.0,0.46
NQ00000295,C0000099,CT0010,03-2026,-64.0,1.42,70.3,0.57
NQ00000296,C0000099,CT0010,02-2026,-64.0,1.09,51.6,0.5
NQ00000297,C0000099,CT0010,01-2026,-64.0,1.1,68.2,1.11
NQ00000298,C0000100,CT0016,03-2026,-65.8,2.97,45.4,0.43
NQ00000299,C0000100,CT0016,02-2026,-65.8,1.9,57.5,0.68
NQ00000300,C0000100,CT0016,01-2026,-65.8,2.43,66.8,0.79
NQ00000301,C0000101,CT0063,03-2026,-63.0,1.5,69.8,0.29
NQ00000302,C0000101,CT0063,02-2026,-63.0,2.52,90.9,0.19
NQ00000303,C0000101,CT0063,01-2026,-63.0,0.98,32.3,0.35
NQ00000304,C0000102,CT0014,03-2026,-75.8,2.58,21.2,1.38
NQ00000305,C0000102,CT0014,02-2026,-75.8,3.0,62.0,1.69
NQ00000306,C0000102,CT0014,01-2026,-75.8,4.95,42.3,2.79
NQ00000307,C0000103,CT0057,03-2026,-74.6,2.13,17.0,1.57
NQ00000308,C0000103,CT0057,02-2026,-74.6,4.79,13.8,0.6
NQ00000309,C0000103,CT0057,01-2026,-74.6,2.13,54.7,0.7
NQ00000310,C0000104,CT0026,03-2026,-68.7,2.39,19.0,0.11
NQ00000311,C0000104,CT0026,02-2026,-68.7,1.38,76.6,0.29
NQ00000312,C0000104,CT0026,01-2026,-68.7,2.07,53.0,0.06
NQ00000313,C0000105,CT0050,03-2026,-65.3,1.96,70.2,0.79
NQ00000314,C0000105,CT0050,02-2026,-65.3,1.3,50.5,2.52
NQ00000315,C0000105,CT0050,01-2026,-65.3,2.18,82.9,0.05
NQ00000316,C0000106,CT0039,03-2026,-72.9,1.77,48.6,0.46
NQ00000317,C0000106,CT0039,02-2026,-72.9,4.23,45.9,0.67
NQ00000318,C0000106,CT0039,01-2026,-72.9,3.85,62.4,0.97
NQ00000319,C0000107,CT0031,03-2026,-79.7,4.09,53.3,1.3
NQ00000320,C0000107,CT0031,02-2026,-79.7,5.3,31.7,1.02
NQ00000321,C0000107,CT0031,01-2026,-79.7,2.06,45.4,2.43
NQ00000322,C0000108,CT0022,03-2026,-66.6,2.92,18.3,0.32
NQ00000323,C0000108,CT0022,02-2026,-66.6,2.13,21.3,0.64
NQ00000324,C0000108,CT0022,01-2026,-66.6,2.59,83.7,1.53
NQ00000325,C0000109,CT0007,03-2026,-69.9,1.92,13.7,0.48
NQ00000326,C0000109,CT0007,02-2026,-69.9,1.8,30.8,0.8
NQ00000327,C0000109,CT0007,01-2026,-69.9,2.29,71.4,0.42
NQ00000328,C0000110,CT0004,03-2026,-65.6,2.5,56.0,0.65
NQ00000329,C0000110,CT0004,02-2026,-65.6,1.73,21.1,0.1
NQ00000330,C0000110,CT0004,01-2026,-65.6,2.02,24.6,0.57
NQ00000331,C0000111,CT0001,03-2026,-55.9,0.95,25.5,0.2
NQ00000332,C0000111,CT0001,02-2026,-55.9,0.77,83.9,0.06
NQ00000333,C0000111,CT0001,01-2026,-55.9,0.43,95.5,0.37
NQ00000334,C0000112,CT0017,03-2026,-82.0,6.04,49.4,0.96
NQ00000335,C0000112,CT0017,02-2026,-82.0,2.5,41.7,0.04
NQ00000336,C0000112,CT0017,01-2026,-82.0,4.33,44.3,1.75
NQ00000337,C0000113,CT0008,03-2026,-54.8,0.43,44.5,0.29
NQ00000338,C0000113,CT0008,02-2026,-54.8,0.49,50.0,0.15
NQ00000339,C0000113,CT0008,01-2026,-54.8,0.7,30.7,0.51
NQ00000340,C0000114,CT0026,03-2026,-75.1,2.66,50.7,1.94
NQ00000341,C0000114,CT0026,02-2026,-75.1,4.7,14.4,0.48
NQ00000342,C0000114,CT0026,01-2026,-75.1,3.82,16.9,3.71
NQ00000343,C0000115,CT0027,03-2026,-64.4,1.48,16.0,0.58
NQ00000344,C0000115,CT0027,02-2026,-64.4,2.14,71.9,0.48
NQ00000345,C0000115,CT0027,01-2026,-64.4,1.69,34.4,1.16
NQ00000346,C0000116,CT0027,03-2026,-60.1,0.76,41.0,0.51
NQ00000347,C0000116,CT0027,02-2026,-60.1,1.46,93.6,0.35
NQ00000348,C0000116,CT0027,01-2026,-60.1,1.19,57.1,0.38
NQ00000349,C0000117,CT0002,03-2026,-64.5,2.2,69.9,0.36
NQ00000350,C0000117,CT0002,02-2026,-64.5,1.38,53.6,0.23
NQ00000351,C0000117,CT0002,01-2026,-64.5,1.81,68.8,0.46
NQ00000352,C0000118,CT0019,03-2026,-79.7,4.53,20.6,1.96
NQ00000353,C0000118,CT0019,02-2026,-79.7,5.05,16.9,0.74
NQ00000354,C0000118,CT0019,01-2026,-79.7,5.0,57.1,0.53
NQ00000355,C0000119,CT0023,03-2026,-67.6,3.35,15.4,0.83
