contract_id,customer_id,plan_id,contract_type,contract_length_months,start_date,end_date,auto_renew,renewal_status
CN000022,C0000044,PL005,Prepaid Mobile,24,10-08-2024,31-07-2026,No,Renewed
CN000023,C0000046,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Renewed
CN000024,C0000047,PL016,Fiber Broadband,12,03-05-2021,28-04-2022,No,Renewed
CN000025,C0000050,PL021,Enterprise,36,18-01-2023,02-01-2026,No,Renewed
CN000026,C0000051,PL007,Postpaid Mobile,12,25-11-2018,20-11-2019,Yes,Renewed
CN000027,C0000052,PL005,Prepaid Mobile,12,04-01-2015,30-12-2015,Yes,Pending
CN000028,C0000053,PL009,Postpaid Mobile,36,25-09-2025,09-09-2028,Yes,Renewed
CN000029,C0000054,PL021,Enterprise,12,11-06-2016,06-06-2017,Yes,Renewed
CN000030,C0000055,PL024,IoT Solutions,12,28-03-2017,23-03-2018,No,Renewed
CN000031,C0000059,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Auto-Renewed
CN000032,C0000061,PL021,Enterprise,24,01-01-2014,22-12-2015,No,Renewed
CN000033,C0000064,PL008,Postpaid Mobile,12,25-01-2021,20-01-2022,Yes,Not Renewed
CN000034,C0000067,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Active
CN000035,C0000069,PL007,Postpaid Mobile,36,02-03-2015,14-02-2018,No,Renewed
CN000036,C0000070,PL006,Prepaid Mobile,24,12-08-2014,01-08-2016,No,Active
CN000037,C0000072,PL021,Enterprise,18,01-01-2014,25-06-2015,Yes,Renewed
CN000038,C0000073,PL010,Postpaid Mobile,24,01-05-2023,20-04-2025,Yes,Renewed
CN000039,C0000075,PL005,Prepaid Mobile,12,13-12-2024,08-12-2025,No,Renewed
CN000040,C0000077,PL024,IoT Solutions,12,10-07-2014,05-07-2015,No,Not Renewed
CN000041,C0000078,PL011,Postpaid Mobile,12,03-02-2024,28-01-2025,Yes,Renewed
CN000042,C0000081,PL011,Postpaid Mobile,36,28-05-2023,12-05-2026,No,Pending
CN000043,C0000084,PL025,Smart Home,12,01-12-2018,26-11-2019,No,Active
CN000044,C0000086,PL010,Postpaid Mobile,12,23-12-2014,18-12-2015,No,Renewed
CN000045,C0000087,PL022,Enterprise,12,19-09-2015,13-09-2016,No,Pending
CN000046,C0000090,PL018,Fiber Broadband,36,01-01-2014,16-12-2016,No,Renewed
CN000047,C0000091,PL023,IoT Solutions,18,02-10-2024,26-03-2026,No,Renewed
CN000048,C0000093,PL015,Fiber Broadband,36,01-01-2014,16-12-2016,Yes,Pending
CN000049,C0000095,PL006,Prepaid Mobile,18,01-06-2018,23-11-2019,Yes,Active
CN000050,C0000096,PL010,Postpaid Mobile,18,21-06-2025,13-12-2026,Yes,Renewed
CN000051,C0000099,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Active
CN000052,C0000100,PL007,Postpaid Mobile,36,31-05-2024,16-05-2027,Yes,Not Renewed
CN000053,C0000101,PL007,Postpaid Mobile,12,08-04-2016,03-04-2017,No,Auto-Renewed
CN000054,C0000102,PL011,Postpaid Mobile,12,18-10-2018,13-10-2019,No,Pending
CN000055,C0000104,PL007,Postpaid Mobile,18,07-07-2017,29-12-2018,Yes,Pending
CN000056,C0000105,PL005,Prepaid Mobile,24,08-03-2024,26-02-2026,Yes,Auto-Renewed
CN000057,C0000107,PL008,Postpaid Mobile,12,22-09-2024,17-09-2025,Yes,Cancelled
CN000058,C0000108,PL016,Fiber Broadband,18,01-01-2014,25-06-2015,Yes,Renewed
CN000059,C0000110,PL009,Postpaid Mobile,18,25-07-2021,16-01-2023,Yes,Renewed
CN000060,C0000111,PL017,Fiber Broadband,12,18-12-2014,13-12-2015,Yes,Active
CN000061,C0000112,PL007,Postpaid Mobile,24,03-10-2020,23-09-2022,Yes,Active
CN000062,C0000113,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Auto-Renewed
CN000063,C0000114,PL018,Fiber Broadband,24,25-05-2019,14-05-2021,No,Auto-Renewed
CN000064,C0000118,PL022,Enterprise,18,01-01-2014,25-06-2015,No,Pending
CN000065,C0000120,PL005,Prepaid Mobile,36,01-01-2014,16-12-2016,No,Renewed
CN000066,C0000121,PL016,Fiber Broadband,24,01-01-2014,22-12-2015,Yes,Active
CN000067,C0000122,PL009,Postpaid Mobile,24,29-12-2018,18-12-2020,No,Pending
CN000068,C0000123,PL007,Postpaid Mobile,18,18-05-2023,08-11-2024,Yes,Cancelled
CN000069,C0000124,PL010,Postpaid Mobile,18,08-09-2018,01-03-2020,No,Auto-Renewed
CN000070,C0000125,PL017,Fiber Broadband,36,09-04-2024,25-03-2027,No,Auto-Renewed
CN000071,C0000128,PL016,Fiber Broadband,12,01-01-2014,27-12-2014,Yes,Active
CN000072,C0000129,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Not Renewed
CN000073,C0000136,PL022,Enterprise,12,01-01-2014,27-12-2014,No,Active
CN000074,C0000138,PL005,Prepaid Mobile,18,01-01-2014,25-06-2015,No,Renewed
CN000075,C0000140,PL006,Prepaid Mobile,24,03-02-2023,23-01-2025,Yes,Renewed
CN000076,C0000141,PL015,Fiber Broadband,12,31-10-2024,26-10-2025,No,Cancelled
CN000077,C0000142,PL017,Fiber Broadband,24,20-01-2026,10-01-2028,Yes,Pending
CN000078,C0000146,PL009,Postpaid Mobile,18,14-10-2023,06-04-2025,Yes,Not Renewed
CN000079,C0000147,PL006,Prepaid Mobile,12,23-04-2017,18-04-2018,Yes,Renewed
CN000080,C0000148,PL010,Postpaid Mobile,18,21-02-2019,14-08-2020,Yes,Active
CN000081,C0000150,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Auto-Renewed
CN000082,C0000151,PL024,IoT Solutions,12,05-12-2024,30-11-2025,Yes,Cancelled
CN000083,C0000153,PL008,Postpaid Mobile,18,05-11-2018,28-04-2020,Yes,Renewed
CN000084,C0000156,PL010,Postpaid Mobile,12,12-06-2020,07-06-2021,Yes,Renewed
CN000085,C0000157,PL018,Fiber Broadband,24,16-05-2024,06-05-2026,Yes,Renewed
CN000086,C0000159,PL006,Prepaid Mobile,36,12-07-2020,27-06-2023,Yes,Renewed
CN000087,C0000161,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Auto-Renewed
CN000088,C0000162,PL006,Prepaid Mobile,12,12-07-2018,07-07-2019,Yes,Pending
CN000089,C0000163,PL007,Postpaid Mobile,12,01-10-2020,26-09-2021,No,Auto-Renewed
CN000090,C0000164,PL006,Prepaid Mobile,12,03-12-2018,28-11-2019,Yes,Not Renewed
CN000091,C0000166,PL018,Fiber Broadband,24,01-01-2014,22-12-2015,Yes,Renewed
CN000092,C0000173,PL010,Postpaid Mobile,12,01-06-2023,26-05-2024,Yes,Not Renewed
CN000093,C0000175,PL022,Enterprise,18,28-11-2015,21-05-2017,Yes,Renewed
CN000094,C0000180,PL009,Postpaid Mobile,36,11-10-2021,25-09-2024,Yes,Renewed
CN000095,C0000181,PL015,Fiber Broadband,24,17-04-2024,07-04-2026,Yes,Not Renewed
CN000096,C0000182,PL007,Postpaid Mobile,12,17-11-2019,11-11-2020,No,Renewed
CN000097,C0000183,PL005,Prepaid Mobile,24,20-06-2024,10-06-2026,Yes,Renewed
CN000098,C0000187,PL006,Prepaid Mobile,24,20-05-2021,10-05-2023,Yes,Active
CN000099,C0000189,PL006,Prepaid Mobile,36,02-08-2015,17-07-2018,No,Auto-Renewed
CN000100,C0000190,PL009,Postpaid Mobile,24,12-12-2020,02-12-2022,Yes,Renewed
CN000101,C0000191,PL010,Postpaid Mobile,24,02-04-2018,22-03-2020,No,Renewed
CN000102,C0000192,PL011,Postpaid Mobile,24,30-09-2024,20-09-2026,No,Active
CN000103,C0000193,PL025,Smart Home,12,24-04-2022,19-04-2023,No,Pending
CN000104,C0000194,PL005,Prepaid Mobile,12,05-07-2016,30-06-2017,No,Active
CN000105,C0000198,PL016,Fiber Broadband,12,01-01-2014,27-12-2014,No,Renewed
CN000106,C0000201,PL005,Prepaid Mobile,18,01-01-2014,25-06-2015,No,Active
CN000107,C0000202,PL006,Prepaid Mobile,12,09-08-2016,04-08-2017,No,Auto-Renewed
CN000108,C0000203,PL005,Prepaid Mobile,12,01-04-2021,27-03-2022,Yes,Cancelled
CN000109,C0000205,PL011,Postpaid Mobile,24,13-06-2019,02-06-2021,No,Auto-Renewed
CN000110,C0000206,PL008,Postpaid Mobile,18,02-01-2023,25-06-2024,No,Auto-Renewed
CN000111,C0000209,PL011,Postpaid Mobile,18,13-02-2024,06-08-2025,Yes,Auto-Renewed
CN000112,C0000212,PL006,Prepaid Mobile,24,21-02-2019,10-02-2021,Yes,Auto-Renewed
CN000113,C0000213,PL009,Postpaid Mobile,24,19-10-2021,09-10-2023,No,Auto-Renewed
CN000114,C0000216,PL007,Postpaid Mobile,12,20-09-2014,15-09-2015,No,Not Renewed
CN000115,C0000217,PL008,Postpaid Mobile,12,25-12-2016,20-12-2017,No,Active
CN000116,C0000221,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Auto-Renewed
CN000117,C0000222,PL010,Postpaid Mobile,12,14-11-2024,09-11-2025,Yes,Cancelled
CN000118,C0000225,PL008,Postpaid Mobile,12,18-08-2024,13-08-2025,Yes,Auto-Renewed
CN000119,C0000226,PL010,Postpaid Mobile,12,29-10-2019,23-10-2020,No,Pending
CN000120,C0000227,PL011,Postpaid Mobile,12,01-11-2017,27-10-2018,Yes,Renewed
CN000121,C0000228,PL008,Postpaid Mobile,18,22-02-2018,16-08-2019,No,Not Renewed
CN000122,C0000230,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Auto-Renewed
CN000123,C0000236,PL006,Prepaid Mobile,18,21-09-2020,15-03-2022,Yes,Auto-Renewed
CN000124,C0000238,PL006,Prepaid Mobile,12,17-11-2023,11-11-2024,Yes,Not Renewed
CN000125,C0000241,PL018,Fiber Broadband,24,01-01-2014,22-12-2015,Yes,Active
CN000126,C0000242,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Pending
CN000127,C0000243,PL010,Postpaid Mobile,24,16-09-2018,05-09-2020,Yes,Pending
CN000128,C0000245,PL021,Enterprise,12,01-01-2014,27-12-2014,No,Auto-Renewed
CN000129,C0000248,PL016,Fiber Broadband,36,02-12-2015,16-11-2018,Yes,Pending
CN000130,C0000249,PL017,Fiber Broadband,36,01-01-2014,16-12-2016,No,Pending
CN000131,C0000250,PL007,Postpaid Mobile,24,12-01-2016,01-01-2018,No,Auto-Renewed
CN000132,C0000251,PL023,IoT Solutions,36,12-01-2019,27-12-2021,Yes,Renewed
CN000133,C0000252,PL016,Fiber Broadband,12,06-05-2017,01-05-2018,Yes,Auto-Renewed
CN000134,C0000253,PL015,Fiber Broadband,12,05-04-2025,31-03-2026,Yes,Not Renewed
CN000135,C0000254,PL011,Postpaid Mobile,24,22-03-2019,11-03-2021,No,Pending
CN000136,C0000257,PL015,Fiber Broadband,12,01-04-2021,27-03-2022,No,Active
CN000137,C0000258,PL024,IoT Solutions,12,02-08-2022,28-07-2023,Yes,Renewed
CN000138,C0000264,PL018,Fiber Broadband,12,15-02-2018,10-02-2019,Yes,Renewed
CN000139,C0000265,PL023,IoT Solutions,12,27-08-2019,21-08-2020,No,Auto-Renewed
CN000140,C0000267,PL016,Fiber Broadband,24,01-01-2014,22-12-2015,No,Renewed
CN000141,C0000268,PL017,Fiber Broadband,24,05-01-2014,26-12-2015,Yes,Cancelled
CN000142,C0000269,PL024,IoT Solutions,12,29-06-2018,24-06-2019,No,Active
CN000143,C0000270,PL009,Postpaid Mobile,24,24-01-2023,13-01-2025,No,Auto-Renewed
CN000144,C0000271,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Renewed
CN000145,C0000272,PL008,Postpaid Mobile,36,11-04-2021,26-03-2024,Yes,Active
CN000146,C0000273,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Renewed
CN000147,C0000275,PL010,Postpaid Mobile,18,17-09-2015,10-03-2017,No,Active
CN000148,C0000276,PL018,Fiber Broadband,36,02-12-2015,16-11-2018,No,Active
CN000149,C0000278,PL007,Postpaid Mobile,36,19-04-2014,03-04-2017,No,Renewed
CN000150,C0000282,PL007,Postpaid Mobile,18,21-05-2015,11-11-2016,Yes,Auto-Renewed
CN000151,C0000284,PL023,IoT Solutions,36,22-03-2019,06-03-2022,No,Active
CN000152,C0000286,PL023,IoT Solutions,24,29-03-2016,19-03-2018,Yes,Active
CN000153,C0000287,PL010,Postpaid Mobile,12,18-12-2018,13-12-2019,Yes,Auto-Renewed
CN000154,C0000288,PL018,Fiber Broadband,12,01-01-2014,27-12-2014,Yes,Active
CN000155,C0000290,PL017,Fiber Broadband,18,01-02-2014,26-07-2015,Yes,Renewed
CN000156,C0000291,PL024,IoT Solutions,18,13-11-2016,07-05-2018,No,Active
CN000157,C0000293,PL005,Prepaid Mobile,12,24-12-2015,18-12-2016,No,Active
CN000158,C0000294,PL006,Prepaid Mobile,12,12-04-2014,07-04-2015,Yes,Active
CN000159,C0000295,PL018,Fiber Broadband,12,01-01-2014,27-12-2014,No,Active
CN000160,C0000297,PL010,Postpaid Mobile,36,19-07-2019,03-07-2022,Yes,Auto-Renewed
CN000161,C0000299,PL011,Postpaid Mobile,12,01-01-2014,27-12-2014,No,Active
CN000162,C0000300,PL006,Prepaid Mobile,36,07-06-2019,22-05-2022,No,Active
CN000163,C0000303,PL017,Fiber Broadband,18,01-01-2014,25-06-2015,Yes,Pending
CN000164,C0000305,PL005,Prepaid Mobile,12,21-02-2022,16-02-2023,Yes,Renewed
CN000165,C0000306,PL007,Postpaid Mobile,12,10-11-2016,05-11-2017,Yes,Renewed
CN000166,C0000311,PL006,Prepaid Mobile,36,05-11-2020,21-10-2023,Yes,Auto-Renewed
CN000167,C0000312,PL025,Smart Home,18,30-12-2018,22-06-2020,Yes,Renewed
CN000168,C0000314,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Pending
CN000169,C0000315,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Renewed
CN000170,C0000316,PL015,Fiber Broadband,12,07-02-2016,01-02-2017,No,Active
CN000171,C0000317,PL023,IoT Solutions,18,15-12-2014,07-06-2016,Yes,Auto-Renewed
CN000172,C0000319,PL010,Postpaid Mobile,24,14-11-2023,03-11-2025,Yes,Not Renewed
CN000173,C0000320,PL016,Fiber Broadband,12,15-01-2026,10-01-2027,Yes,Not Renewed
CN000174,C0000323,PL018,Fiber Broadband,12,10-08-2023,04-08-2024,Yes,Auto-Renewed
CN000175,C0000325,PL005,Prepaid Mobile,12,16-03-2014,11-03-2015,No,Auto-Renewed
CN000176,C0000326,PL008,Postpaid Mobile,12,17-10-2019,11-10-2020,No,Pending
CN000177,C0000328,PL008,Postpaid Mobile,24,07-02-2020,27-01-2022,No,Pending
CN000178,C0000329,PL008,Postpaid Mobile,12,18-01-2021,13-01-2022,Yes,Auto-Renewed
CN000179,C0000331,PL017,Fiber Broadband,24,26-08-2022,15-08-2024,No,Auto-Renewed
CN000180,C0000332,PL011,Postpaid Mobile,12,22-09-2014,17-09-2015,No,Renewed
CN000181,C0000333,PL009,Postpaid Mobile,12,12-02-2025,07-02-2026,Yes,Renewed
CN000182,C0000336,PL008,Postpaid Mobile,12,24-02-2014,19-02-2015,Yes,Active
CN000183,C0000337,PL010,Postpaid Mobile,24,12-01-2021,02-01-2023,No,Renewed
CN000184,C0000340,PL006,Prepaid Mobile,12,05-12-2014,30-11-2015,No,Renewed
CN000185,C0000341,PL015,Fiber Broadband,12,30-05-2014,25-05-2015,No,Pending
CN000186,C0000342,PL010,Postpaid Mobile,24,15-06-2014,04-06-2016,Yes,Renewed
CN000187,C0000343,PL006,Prepaid Mobile,18,30-05-2019,20-11-2020,Yes,Auto-Renewed
CN000188,C0000346,PL005,Prepaid Mobile,12,15-11-2019,09-11-2020,Yes,Pending
CN000189,C0000347,PL025,Smart Home,36,15-07-2018,29-06-2021,Yes,Auto-Renewed
CN000190,C0000348,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Auto-Renewed
CN000191,C0000353,PL006,Prepaid Mobile,12,16-11-2015,10-11-2016,No,Renewed
CN000192,C0000356,PL023,IoT Solutions,24,28-04-2016,18-04-2018,No,Active
CN000193,C0000357,PL010,Postpaid Mobile,24,20-10-2016,10-10-2018,No,Renewed
CN000194,C0000359,PL017,Fiber Broadband,24,28-12-2016,18-12-2018,No,Auto-Renewed
CN000195,C0000362,PL017,Fiber Broadband,24,01-04-2016,22-03-2018,Yes,Auto-Renewed
CN000196,C0000363,PL007,Postpaid Mobile,12,28-03-2023,22-03-2024,No,Auto-Renewed
CN000197,C0000364,PL005,Prepaid Mobile,12,02-07-2019,26-06-2020,Yes,Auto-Renewed
CN000198,C0000366,PL015,Fiber Broadband,36,01-01-2014,16-12-2016,Yes,Not Renewed
CN000199,C0000368,PL007,Postpaid Mobile,24,28-04-2025,18-04-2027,Yes,Renewed
CN000200,C0000370,PL015,Fiber Broadband,12,01-01-2014,27-12-2014,Yes,Auto-Renewed
CN000201,C0000373,PL010,Postpaid Mobile,18,18-11-2021,12-05-2023,Yes,Renewed
CN000202,C0000376,PL008,Postpaid Mobile,36,19-01-2026,03-01-2029,Yes,Auto-Renewed
CN000203,C0000377,PL006,Prepaid Mobile,12,22-09-2015,16-09-2016,No,Auto-Renewed
CN000204,C0000378,PL006,Prepaid Mobile,12,13-03-2020,08-03-2021,No,Auto-Renewed
CN000205,C0000379,PL008,Postpaid Mobile,24,24-09-2025,14-09-2027,Yes,Active
CN000206,C0000380,PL007,Postpaid Mobile,12,16-05-2015,10-05-2016,Yes,Renewed
CN000207,C0000384,PL011,Postpaid Mobile,12,22-01-2016,16-01-2017,Yes,Renewed
CN000208,C0000385,PL006,Prepaid Mobile,36,10-08-2014,25-07-2017,Yes,Renewed
CN000209,C0000387,PL017,Fiber Broadband,24,14-11-2023,03-11-2025,No,Auto-Renewed
CN000210,C0000391,PL017,Fiber Broadband,12,05-08-2018,31-07-2019,Yes,Auto-Renewed
CN000211,C0000392,PL006,Prepaid Mobile,24,01-04-2022,21-03-2024,Yes,Active
CN000212,C0000394,PL006,Prepaid Mobile,18,01-01-2014,25-06-2015,Yes,Active
CN000213,C0000395,PL011,Postpaid Mobile,24,01-01-2014,22-12-2015,Yes,Renewed
CN000214,C0000396,PL005,Prepaid Mobile,36,10-02-2021,26-01-2024,Yes,Renewed
CN000215,C0000397,PL016,Fiber Broadband,12,27-03-2020,22-03-2021,No,Auto-Renewed
CN000216,C0000398,PL010,Postpaid Mobile,18,21-07-2022,12-01-2024,Yes,Renewed
CN000217,C0000400,PL009,Postpaid Mobile,24,14-05-2021,04-05-2023,No,Renewed
CN000218,C0000401,PL011,Postpaid Mobile,12,23-04-2019,17-04-2020,No,Auto-Renewed
CN000219,C0000402,PL008,Postpaid Mobile,36,26-05-2020,11-05-2023,Yes,Active
CN000220,C0000403,PL005,Prepaid Mobile,12,07-11-2023,01-11-2024,Yes,Auto-Renewed
CN000221,C0000404,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Pending
CN000222,C0000406,PL008,Postpaid Mobile,24,29-04-2023,18-04-2025,No,Cancelled
CN000223,C0000409,PL009,Postpaid Mobile,18,10-09-2021,04-03-2023,Yes,Active
CN000224,C0000411,PL008,Postpaid Mobile,12,24-07-2018,19-07-2019,Yes,Pending
CN000225,C0000414,PL006,Prepaid Mobile,36,01-01-2014,16-12-2016,Yes,Pending
CN000226,C0000415,PL008,Postpaid Mobile,12,21-06-2025,16-06-2026,No,Renewed
CN000227,C0000416,PL009,Postpaid Mobile,24,29-10-2025,19-10-2027,No,Auto-Renewed
CN000228,C0000418,PL006,Prepaid Mobile,24,17-06-2017,07-06-2019,Yes,Renewed
CN000229,C0000420,PL006,Prepaid Mobile,24,18-02-2021,08-02-2023,Yes,Renewed
CN000230,C0000421,PL006,Prepaid Mobile,12,09-05-2025,04-05-2026,Yes,Auto-Renewed
CN000231,C0000422,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,Yes,Active
CN000232,C0000423,PL022,Enterprise,18,20-02-2019,13-08-2020,Yes,Auto-Renewed
CN000233,C0000426,PL011,Postpaid Mobile,24,27-10-2022,16-10-2024,No,Auto-Renewed
CN000234,C0000427,PL023,IoT Solutions,24,10-01-2025,31-12-2026,Yes,Cancelled
CN000235,C0000432,PL016,Fiber Broadband,18,10-11-2023,03-05-2025,Yes,Renewed
CN000236,C0000434,PL009,Postpaid Mobile,12,25-08-2014,20-08-2015,No,Auto-Renewed
CN000237,C0000436,PL006,Prepaid Mobile,12,13-10-2025,08-10-2026,No,Renewed
CN000238,C0000437,PL022,Enterprise,36,02-08-2014,17-07-2017,No,Active
CN000239,C0000438,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Renewed
CN000240,C0000439,PL005,Prepaid Mobile,24,14-07-2015,03-07-2017,No,Active
CN000241,C0000440,PL006,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Not Renewed
CN000242,C0000441,PL006,Prepaid Mobile,24,01-01-2014,22-12-2015,Yes,Auto-Renewed
CN000243,C0000442,PL007,Postpaid Mobile,12,27-10-2020,22-10-2021,Yes,Not Renewed
CN000244,C0000444,PL005,Prepaid Mobile,18,04-11-2023,27-04-2025,No,Renewed
CN000245,C0000448,PL011,Postpaid Mobile,12,17-05-2017,12-05-2018,Yes,Renewed
CN000246,C0000450,PL007,Postpaid Mobile,12,18-04-2014,13-04-2015,No,Pending
CN000247,C0000452,PL024,IoT Solutions,18,11-09-2020,05-03-2022,Yes,Not Renewed
CN000248,C0000455,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Auto-Renewed
CN000249,C0000456,PL005,Prepaid Mobile,24,01-01-2014,22-12-2015,No,Not Renewed
CN000250,C0000457,PL008,Postpaid Mobile,12,14-06-2020,09-06-2021,Yes,Renewed
CN000251,C0000459,PL006,Prepaid Mobile,12,01-04-2022,27-03-2023,No,Renewed
CN000252,C0000460,PL006,Prepaid Mobile,12,28-09-2022,23-09-2023,No,Active
CN000253,C0000465,PL007,Postpaid Mobile,24,19-03-2015,08-03-2017,No,Renewed
CN000254,C0000467,PL009,Postpaid Mobile,36,18-06-2019,02-06-2022,No,Not Renewed
CN000255,C0000468,PL005,Prepaid Mobile,36,09-07-2024,24-06-2027,Yes,Not Renewed
CN000256,C0000470,PL025,Smart Home,12,14-03-2022,09-03-2023,Yes,Active
CN000257,C0000472,PL009,Postpaid Mobile,24,22-10-2018,11-10-2020,No,Not Renewed
CN000258,C0000473,PL011,Postpaid Mobile,36,26-08-2015,10-08-2018,Yes,Auto-Renewed
CN000259,C0000477,PL010,Postpaid Mobile,24,24-11-2014,13-11-2016,Yes,Active
CN000260,C0000478,PL006,Prepaid Mobile,24,06-09-2021,27-08-2023,No,Renewed
CN000261,C0000482,PL018,Fiber Broadband,12,01-01-2014,27-12-2014,Yes,Renewed
CN000262,C0000483,PL017,Fiber Broadband,12,01-01-2014,27-12-2014,No,Pending
CN000263,C0000484,PL018,Fiber Broadband,24,22-03-2025,12-03-2027,No,Not Renewed
CN000264,C0000489,PL008,Postpaid Mobile,24,25-01-2020,14-01-2022,No,Active
CN000265,C0000490,PL021,Enterprise,12,01-01-2014,27-12-2014,No,Active
CN000266,C0000491,PL008,Postpaid Mobile,12,16-10-2023,10-10-2024,No,Renewed
CN000267,C0000492,PL005,Prepaid Mobile,24,18-07-2022,07-07-2024,Yes,Auto-Renewed
CN000268,C0000499,PL016,Fiber Broadband,18,28-06-2018,20-12-2019,No,Renewed
CN000269,C0000500,PL016,Fiber Broadband,18,20-01-2023,13-07-2024,Yes,Pending
CN000270,C0000501,PL007,Postpaid Mobile,12,05-07-2019,29-06-2020,No,Not Renewed
CN000271,C0000502,PL006,Prepaid Mobile,12,14-02-2024,08-02-2025,No,Not Renewed
CN000272,C0000505,PL010,Postpaid Mobile,12,25-08-2015,19-08-2016,Yes,Active
CN000273,C0000506,PL005,Prepaid Mobile,12,22-09-2015,16-09-2016,No,Renewed
CN000274,C0000510,PL009,Postpaid Mobile,18,27-11-2016,21-05-2018,Yes,Renewed
CN000275,C0000514,PL005,Prepaid Mobile,12,01-01-2014,27-12-2014,No,Renewed
CN000276,C0000516,PL010,Postpaid Mobile,24,26-05-2022,15-05-2024,No,Renewed
CN000277,C0000517,PL008,Postpaid Mobile,18,20-10-2018,12-04-2020,Yes,Renewed
CN000278,C0000518,PL008,Postpaid Mobile,12,01-07-2015,25-06-2016,Yes,Active
CN000279,C0000519,PL006,Prepaid Mobile,12,09-11-2022,04-11-2023,Yes,Renewed
CN000280,C0000520,PL024,IoT Solutions,12,07-08-2017,02-08-2018,No,Pending
CN000281,C0000521,PL009,Postpaid Mobile,24,09-12-2016,29-11-2018,Yes,Renewed
CN000282,C0000525,PL022,Enterprise,24,14-03-2018,03-03-2020,No,Renewed
CN000283,C0000528,PL007,Postpaid Mobile,24,21-10-2021,11-10-2023,Yes,Auto-Renewed
CN000284,C0000530,PL005,Prepaid Mobile,12,23-08-2018,18-08-2019,No,Auto-Renewed
CN000285,C0000531,PL005,Prepaid Mobile,24,21-05-2014,10-05-2016,Yes,Pending
CN000286,C0000532,PL024,IoT Solutions,24,16-10-2014,05-10-2016,Yes,Pending
CN000287,C0000534,PL009,Postpaid Mobile,12,20-01-2015,15-01-2016,No,Pending
CN000288,C0000541,PL015,Fiber Broadband,12,01-01-2014,27-12-2014,No,Active
CN000289,C0000543,PL016,Fiber Broadband,12,23-12-2017,18-12-2018,No,Renewed
