recharge_id,customer_id,recharge_date,amount_inr,plan_id,payment_method
RC00000253,C0000026,07-11-2025,268.96,PL005,Wallet
RC00000254,C0000026,04-01-2022,230.59,PL005,Auto Debit
RC00000255,C0000026,09-03-2025,226.9,PL005,UPI
RC00000256,C0000026,02-12-2021,248.77,PL005,Wallet
RC00000257,C0000026,24-05-2024,269.15,PL005,Auto Debit
RC00000258,C0000026,12-08-2023,267.88,PL005,RTGS
RC00000259,C0000026,28-07-2021,250.95,PL005,Wallet
RC00000260,C0000026,29-06-2022,231.63,PL005,Credit Card
RC00000261,C0000027,21-06-2022,250.76,PL005,Credit Card
RC00000262,C0000027,20-05-2022,230.8,PL005,UPI
RC00000263,C0000027,16-12-2024,268.81,PL005,Debit Card
RC00000264,C0000027,13-08-2024,236.02,PL005,UPI
RC00000265,C0000027,01-02-2022,250.44,PL005,UPI
RC00000266,C0000027,28-04-2023,248.88,PL005,Auto Debit
RC00000267,C0000027,15-10-2022,230.21,PL005,Debit Card
RC00000268,C0000027,31-07-2023,253.89,PL005,Wallet
RC00000269,C0000027,19-06-2024,257.61,PL005,Net Banking
RC00000270,C0000027,24-10-2023,271.52,PL005,IMPS
RC00000271,C0000027,31-10-2022,266.3,PL005,UPI
RC00000272,C0000027,16-02-2023,233.01,PL005,UPI
RC00000273,C0000027,17-07-2023,231.6,PL005,Net Banking
RC00000274,C0000027,22-10-2024,236.7,PL005,UPI
RC00000275,C0000027,22-07-2022,272.17,PL005,Wallet
RC00000276,C0000027,06-06-2025,257.76,PL005,UPI
RC00000277,C0000027,26-01-2022,269.46,PL005,Debit Card
RC00000278,C0000027,06-10-2023,272.68,PL005,Auto Debit
RC00000279,C0000031,10-10-2016,246.44,PL005,UPI
RC00000280,C0000031,16-02-2023,246.64,PL005,UPI
RC00000281,C0000031,13-02-2024,227.71,PL005,Debit Card
RC00000282,C0000031,30-10-2021,259.92,PL005,UPI
RC00000283,C0000031,12-05-2020,236.27,PL005,UPI
RC00000284,C0000031,04-12-2015,234.51,PL005,Debit Card
RC00000285,C0000031,05-06-2024,250.86,PL005,UPI
RC00000286,C0000031,06-11-2024,236.82,PL005,RTGS
RC00000287,C0000031,08-02-2016,237.04,PL005,Debit Card
RC00000288,C0000031,27-12-2018,229.33,PL005,Auto Debit
RC00000289,C0000031,28-06-2018,244.25,PL005,UPI
RC00000290,C0000031,29-03-2026,258.4,PL005,Auto Debit
RC00000291,C0000031,05-01-2018,273.74,PL005,Credit Card
RC00000292,C0000031,13-03-2024,272.19,PL005,UPI
RC00000293,C0000031,01-05-2024,255.55,PL005,UPI
RC00000294,C0000031,03-06-2015,268.13,PL005,Net Banking
RC00000295,C0000031,12-11-2025,246.73,PL005,Credit Card
RC00000296,C0000031,09-04-2017,232.59,PL005,Net Banking
RC00000297,C0000032,13-07-2025,325.1,PL002,Net Banking
RC00000298,C0000032,26-09-2021,296.33,PL002,UPI
RC00000299,C0000032,16-08-2024,292.78,PL002,Debit Card
RC00000300,C0000032,02-12-2023,279.11,PL002,RTGS
RC00000301,C0000032,28-05-2022,295.91,PL002,UPI
RC00000302,C0000032,19-02-2020,276.18,PL002,Debit Card
RC00000303,C0000032,08-08-2015,278.49,PL002,Net Banking
RC00000304,C0000032,06-11-2024,324.38,PL002,UPI
RC00000305,C0000032,23-02-2024,313.44,PL002,Net Banking
RC00000306,C0000032,27-12-2025,269.96,PL002,UPI
RC00000307,C0000032,03-12-2021,298.16,PL002,Net Banking
RC00000308,C0000032,28-03-2024,282.62,PL002,Credit Card
RC00000309,C0000032,30-05-2023,269.21,PL002,Wallet
RC00000310,C0000032,20-06-2021,309.81,PL002,UPI
RC00000311,C0000032,23-08-2022,280.39,PL002,UPI
RC00000312,C0000032,16-06-2020,298.15,PL002,Net Banking
RC00000313,C0000032,15-04-2023,272.06,PL002,Net Banking
RC00000314,C0000032,03-03-2026,282.44,PL002,UPI
RC00000315,C0000034,13-08-2024,293.18,PL002,UPI
RC00000316,C0000034,22-08-2025,326.74,PL002,UPI
RC00000317,C0000034,09-08-2024,272.58,PL002,UPI
RC00000318,C0000034,17-07-2024,290.78,PL002,Debit Card
RC00000319,C0000034,17-11-2023,282.0,PL002,UPI
RC00000320,C0000034,07-02-2026,311.26,PL002,UPI
RC00000321,C0000034,05-05-2024,282.4,PL002,Credit Card
RC00000322,C0000034,16-03-2026,277.85,PL002,Credit Card
RC00000323,C0000034,02-08-2023,276.97,PL002,Net Banking
RC00000324,C0000034,27-03-2024,305.72,PL002,Credit Card
RC00000325,C0000034,10-06-2023,284.95,PL002,Debit Card
RC00000326,C0000034,23-11-2023,275.86,PL002,UPI
RC00000327,C0000034,26-08-2025,271.76,PL002,UPI
RC00000328,C0000034,23-04-2025,321.09,PL002,Debit Card
RC00000329,C0000034,02-12-2025,317.21,PL002,UPI
RC00000330,C0000034,13-06-2025,305.52,PL002,Credit Card
RC00000331,C0000034,21-03-2025,315.4,PL002,UPI
RC00000332,C0000034,20-10-2024,318.63,PL002,Auto Debit
RC00000333,C0000040,05-11-2022,218.63,PL001,Debit Card
RC00000334,C0000040,10-12-2020,188.7,PL001,UPI
RC00000335,C0000040,21-04-2021,200.6,PL001,UPI
RC00000336,C0000040,04-09-2022,192.56,PL001,IMPS
RC00000337,C0000040,17-11-2021,191.13,PL001,UPI
RC00000338,C0000040,27-01-2021,209.43,PL001,UPI
RC00000339,C0000040,05-10-2022,204.58,PL001,Debit Card
RC00000340,C0000040,18-04-2022,183.39,PL001,UPI
RC00000341,C0000040,27-06-2022,197.09,PL001,Cash
RC00000342,C0000040,03-01-2021,195.65,PL001,Auto Debit
RC00000343,C0000040,16-04-2022,192.51,PL001,Credit Card
RC00000344,C0000040,27-04-2021,209.29,PL001,UPI
RC00000345,C0000040,15-06-2022,190.29,PL001,Debit Card
RC00000346,C0000040,11-02-2022,205.57,PL001,Net Banking
RC00000347,C0000040,25-05-2022,210.44,PL001,Cash
RC00000348,C0000040,15-07-2022,202.49,PL001,UPI
RC00000349,C0000040,25-11-2021,194.65,PL001,Debit Card
RC00000350,C0000040,30-03-2021,218.54,PL001,UPI
RC00000351,C0000041,14-03-2017,202.76,PL001,Credit Card
RC00000352,C0000041,17-11-2019,210.48,PL001,UPI
RC00000353,C0000041,25-07-2022,200.87,PL001,Debit Card
RC00000354,C0000041,07-12-2017,195.65,PL001,Debit Card
RC00000355,C0000041,27-01-2026,190.21,PL001,UPI
RC00000356,C0000041,13-10-2025,209.13,PL001,Credit Card
RC00000357,C0000041,09-08-2025,192.24,PL001,Wallet
RC00000358,C0000041,04-02-2026,181.98,PL001,IMPS
RC00000359,C0000041,11-12-2022,193.52,PL001,Cash
RC00000360,C0000041,05-03-2022,200.8,PL001,Net Banking
RC00000361,C0000041,10-02-2026,181.13,PL001,Cash
RC00000362,C0000041,13-08-2024,188.01,PL001,Net Banking
RC00000363,C0000041,08-09-2024,180.26,PL001,Auto Debit
RC00000364,C0000041,25-05-2017,210.36,PL001,Debit Card
RC00000365,C0000041,12-07-2024,184.18,PL001,UPI
RC00000366,C0000041,22-07-2017,205.2,PL001,Auto Debit
RC00000367,C0000041,04-09-2020,201.21,PL001,Credit Card
RC00000368,C0000041,18-10-2018,189.96,PL001,Net Banking
RC00000369,C0000043,26-06-2021,324.06,PL006,UPI
RC00000370,C0000043,26-01-2017,328.12,PL006,Debit Card
RC00000371,C0000043,27-02-2017,312.6,PL006,UPI
RC00000372,C0000043,20-04-2020,316.62,PL006,UPI
RC00000373,C0000043,18-05-2014,324.7,PL006,UPI
RC00000374,C0000043,20-09-2015,297.91,PL006,Debit Card
RC00000375,C0000043,14-06-2015,298.87,PL006,UPI
RC00000376,C0000043,21-08-2024,309.83,PL006,Wallet
RC00000377,C0000043,12-01-2018,312.45,PL006,Wallet
RC00000378,C0000043,07-04-2017,317.27,PL006,Debit Card
RC00000379,C0000043,19-06-2020,277.3,PL006,Wallet
RC00000380,C0000043,29-07-2014,293.2,PL006,Auto Debit
RC00000381,C0000043,03-02-2016,328.88,PL006,UPI
RC00000382,C0000043,31-03-2017,280.86,PL006,Cash
RC00000383,C0000043,17-09-2023,274.33,PL006,Credit Card
RC00000384,C0000043,03-04-2015,303.77,PL006,UPI
RC00000385,C0000043,24-11-2020,319.74,PL006,UPI
RC00000386,C0000043,23-02-2024,329.17,PL006,IMPS
RC00000387,C0000044,22-11-2025,228.48,PL005,UPI
RC00000388,C0000044,17-08-2024,262.53,PL005,UPI
RC00000389,C0000044,01-11-2024,227.33,PL005,UPI
RC00000390,C0000044,16-11-2024,244.52,PL005,IMPS
RC00000391,C0000044,25-08-2025,242.71,PL005,Cash
RC00000392,C0000044,13-06-2025,240.01,PL005,UPI
RC00000393,C0000044,19-09-2024,234.83,PL005,Auto Debit
RC00000394,C0000044,26-02-2025,254.01,PL005,Net Banking
RC00000395,C0000044,02-06-2025,269.74,PL005,NEFT
RC00000396,C0000044,26-04-2025,252.44,PL005,UPI
RC00000397,C0000044,24-11-2025,274.73,PL005,Wallet
RC00000398,C0000044,15-02-2025,266.27,PL005,Net Banking
RC00000399,C0000044,30-07-2025,233.92,PL005,Credit Card
RC00000400,C0000044,26-05-2025,226.2,PL005,RTGS
RC00000401,C0000044,30-09-2024,263.86,PL005,UPI
RC00000402,C0000044,23-09-2024,256.94,PL005,Debit Card
RC00000403,C0000044,31-10-2024,263.5,PL005,RTGS
RC00000404,C0000044,28-03-2025,236.38,PL005,UPI
RC00000405,C0000045,22-12-2017,463.75,PL004,Debit Card
RC00000406,C0000045,15-02-2018,436.55,PL004,UPI
RC00000407,C0000045,10-05-2018,437.1,PL004,NEFT
RC00000408,C0000045,14-08-2016,419.47,PL004,Wallet
RC00000409,C0000045,19-07-2016,440.03,PL004,UPI
RC00000410,C0000045,05-09-2017,465.47,PL004,UPI
RC00000411,C0000045,06-11-2015,463.32,PL004,Debit Card
RC00000412,C0000045,17-08-2015,460.12,PL004,Auto Debit
RC00000413,C0000045,13-03-2014,488.21,PL004,UPI
RC00000414,C0000045,09-07-2016,435.68,PL004,Credit Card
RC00000415,C0000045,17-01-2016,438.12,PL004,UPI
RC00000416,C0000045,22-04-2014,460.09,PL004,UPI
RC00000417,C0000045,30-07-2016,463.75,PL004,Credit Card
RC00000418,C0000045,05-06-2014,475.45,PL004,Net Banking
RC00000419,C0000045,02-04-2016,444.17,PL004,Debit Card
RC00000420,C0000045,17-01-2016,416.99,PL004,Debit Card
RC00000421,C0000045,28-04-2014,451.15,PL004,UPI
RC00000422,C0000045,25-07-2017,446.41,PL004,UPI
RC00000423,C0000046,11-12-2020,271.48,PL006,UPI
RC00000424,C0000046,07-11-2018,327.71,PL006,Net Banking
RC00000425,C0000046,30-10-2022,304.39,PL006,UPI
RC00000426,C0000046,22-04-2014,270.4,PL006,RTGS
RC00000427,C0000046,04-02-2023,283.94,PL006,Cash
RC00000428,C0000046,23-03-2014,276.91,PL006,UPI
RC00000429,C0000046,31-10-2016,327.56,PL006,UPI
RC00000430,C0000046,04-06-2017,297.97,PL006,Net Banking
RC00000431,C0000046,10-11-2015,302.61,PL006,Wallet
RC00000432,C0000046,27-02-2018,328.32,PL006,UPI
RC00000433,C0000046,09-10-2016,298.56,PL006,UPI
RC00000434,C0000046,26-06-2015,290.27,PL006,Credit Card
RC00000435,C0000046,23-01-2016,315.5,PL006,Auto Debit
RC00000436,C0000046,26-09-2016,313.64,PL006,Debit Card
RC00000437,C0000046,10-03-2014,297.78,PL006,Auto Debit
RC00000438,C0000046,20-06-2025,283.0,PL006,Credit Card
RC00000439,C0000046,06-04-2017,304.86,PL006,Cash
RC00000440,C0000046,06-08-2023,295.79,PL006,NEFT
RC00000441,C0000049,14-03-2018,426.14,PL003,UPI
RC00000442,C0000049,18-06-2016,412.42,PL003,UPI
RC00000443,C0000049,02-06-2017,407.92,PL003,Auto Debit
RC00000444,C0000049,12-06-2016,381.54,PL003,UPI
RC00000445,C0000049,24-03-2017,408.23,PL003,UPI
RC00000446,C0000049,23-04-2018,366.93,PL003,UPI
RC00000447,C0000049,06-08-2017,395.17,PL003,Cash
RC00000448,C0000049,02-11-2016,381.72,PL003,Debit Card
RC00000449,C0000049,12-06-2018,364.72,PL003,UPI
