store_id,store_name,city_id,state_id,region_id,store_type,opened_date
SR0062,NexaTel Kollam Store,CT0046,ST017,RG03,Mini Store,25-09-2012
SR0063,NexaTel Chandigarh Point,CT0023,ST009,RG01,Experience Centre,04-02-2010
SR0064,NexaTel Shimla Hub,CT0061,ST007,RG01,Owned,26-01-2023
SR0065,NexaTel Jaipur Express,CT0011,ST005,RG01,Franchise,03-04-2017
SR0066,NexaTel Amritsar Centre,CT0032,ST003,RG01,Mini Store,24-03-2016
SR0067,NexaTel Belagavi Centre,CT0041,ST015,RG03,Franchise,15-03-2015
SR0068,NexaTel Surat Express,CT0019,ST011,RG02,Franchise,02-10-2022
SR0069,NexaTel Shillong Store,CT0065,ST034,RG04,Franchise,09-06-2025
SR0070,NexaTel Siliguri Store,CT0052,ST022,RG04,Owned,15-07-2016
SR0071,NexaTel Rourkela Store,CT0055,ST023,RG04,Mini Store,29-03-2019
SR0072,NexaTel Warangal Express,CT0043,ST019,RG03,Owned,18-04-2014
SR0073,NexaTel Mumbai Hub,CT0002,ST010,RG02,Franchise,25-02-2012
SR0074,NexaTel Madurai Express,CT0028,ST016,RG03,Franchise,18-06-2010
SR0075,NexaTel Guwahati Centre,CT0024,ST026,RG04,Experience Centre,13-05-2024
SR0076,NexaTel Kota Point,CT0050,ST005,RG01,Franchise,16-07-2014
SR0077,NexaTel Mumbai Store,CT0002,ST010,RG02,Franchise,26-07-2017
SR0078,NexaTel Gaya Express,CT0057,ST024,RG04,Franchise,17-11-2021
SR0079,NexaTel Jabalpur Hub,CT0049,ST012,RG02,Owned,04-07-2024
SR0080,NexaTel Udaipur Express,CT0060,ST005,RG01,Franchise,11-10-2020
SR0081,NexaTel Siliguri Point,CT0052,ST022,RG04,Franchise,01-05-2013
SR0082,NexaTel Vadodara Centre,CT0020,ST011,RG02,Owned,30-01-2023
SR0083,NexaTel Kochi Store,CT0017,ST017,RG03,Franchise,16-08-2018
SR0084,NexaTel Pune Point,CT0007,ST010,RG02,Franchise,01-10-2010
SR0085,NexaTel Agra Point,CT0039,ST004,RG01,Owned,21-01-2013
SR0086,NexaTel Dehradun Hub,CT0033,ST006,RG01,Experience Centre,05-05-2015
SR0087,NexaTel Bhopal Hub,CT0014,ST012,RG02,Franchise,30-08-2014
SR0088,NexaTel Raipur Hub,CT0026,ST027,RG04,Franchise,28-04-2023
SR0089,NexaTel Pune Point,CT0007,ST010,RG02,Franchise,28-08-2023
SR0090,NexaTel Amritsar Express,CT0032,ST003,RG01,Franchise,02-09-2021
SR0091,NexaTel New Delhi Store,CT0001,ST001,RG01,Experience Centre,08-06-2022
SR0092,NexaTel Chandigarh Point,CT0023,ST009,RG01,Owned,21-10-2017
SR0093,NexaTel Kanpur Hub,CT0036,ST004,RG01,Mini Store,19-11-2010
SR0094,NexaTel Warangal Hub,CT0043,ST019,RG03,Mini Store,17-03-2024
SR0095,NexaTel Shillong Point,CT0065,ST034,RG04,Franchise,31-03-2016
SR0096,NexaTel Gaya Centre,CT0057,ST024,RG04,Mini Store,21-02-2024
SR0097,NexaTel Ahmedabad Centre,CT0008,ST011,RG02,Owned,09-07-2014
SR0098,NexaTel Jamshedpur Hub,CT0058,ST025,RG04,Owned,16-08-2015
SR0099,NexaTel Jodhpur Hub,CT0035,ST005,RG01,Franchise,31-08-2015
SR0100,NexaTel Gangtok Store,CT0068,ST028,RG04,Franchise,26-12-2014
SR0101,NexaTel Mysuru Centre,CT0027,ST015,RG03,Franchise,13-09-2010
SR0102,NexaTel Ranchi Centre,CT0025,ST025,RG04,Franchise,23-07-2022
SR0103,NexaTel Imphal Express,CT0064,ST031,RG04,Owned,06-04-2020
SR0104,NexaTel Pune Hub,CT0007,ST010,RG02,Franchise,26-03-2010
SR0105,NexaTel Bikaner Express,CT0051,ST005,RG01,Franchise,17-04-2019
SR0106,NexaTel Gaya Express,CT0057,ST024,RG04,Experience Centre,01-07-2019
SR0107,NexaTel Kochi Point,CT0017,ST017,RG03,Experience Centre,17-08-2017
SR0108,NexaTel Mumbai Store,CT0002,ST010,RG02,Owned,25-07-2019
SR0109,NexaTel Bhagalpur Express,CT0056,ST024,RG04,Franchise,23-03-2013
SR0110,NexaTel Kolkata Store,CT0005,ST022,RG04,Franchise,29-06-2025
SR0111,NexaTel Chennai Centre,CT0004,ST016,RG03,Owned,25-06-2021
SR0112,NexaTel Ajmer Store,CT0040,ST005,RG01,Experience Centre,26-05-2020
SR0113,NexaTel Thiruvananthapuram Point,CT0034,ST017,RG03,Franchise,03-03-2018
SR0114,NexaTel Hubballi Express,CT0047,ST015,RG03,Owned,27-02-2023
SR0115,NexaTel Gurugram Point,CT0009,ST002,RG01,Owned,18-08-2023
SR0116,NexaTel Imphal Store,CT0064,ST031,RG04,Franchise,06-08-2011
SR0117,NexaTel Jabalpur Store,CT0049,ST012,RG02,Franchise,31-07-2015
SR0118,NexaTel Guwahati Express,CT0024,ST026,RG04,Franchise,27-03-2018
SR0119,NexaTel Vijayawada Express,CT0029,ST018,RG03,Franchise,04-10-2023
SR0120,NexaTel Chennai Express,CT0004,ST016,RG03,Franchise,25-01-2023
SR0121,NexaTel Jamshedpur Store,CT0058,ST025,RG04,Franchise,19-03-2021
SR0122,NexaTel Mumbai Centre,CT0002,ST010,RG02,Owned,22-02-2022
SR0123,NexaTel Pune Centre,CT0007,ST010,RG02,Franchise,12-07-2018
SR0124,NexaTel Bilaspur Store,CT0059,ST027,RG04,Franchise,17-03-2023
SR0125,NexaTel Udaipur Express,CT0060,ST005,RG01,Franchise,06-10-2013
SR0126,NexaTel Salem Express,CT0044,ST016,RG03,Mini Store,19-06-2012
SR0127,NexaTel Vadodara Express,CT0020,ST011,RG02,Franchise,12-10-2016
SR0128,NexaTel Jamshedpur Centre,CT0058,ST025,RG04,Owned,23-05-2024
SR0129,NexaTel Lucknow Store,CT0012,ST004,RG01,Mini Store,12-12-2018
SR0130,NexaTel Tirupati Hub,CT0042,ST018,RG03,Franchise,23-06-2018
SR0131,NexaTel Indore Centre,CT0013,ST012,RG02,Franchise,11-01-2025
SR0132,NexaTel Dehradun Store,CT0033,ST006,RG01,Owned,30-01-2010
SR0133,NexaTel Tiruchirappalli Express,CT0045,ST016,RG03,Owned,10-05-2017
SR0134,NexaTel Bhopal Hub,CT0014,ST012,RG02,Mini Store,14-09-2023
SR0135,NexaTel Jabalpur Express,CT0049,ST012,RG02,Owned,03-05-2013
SR0136,NexaTel Warangal Store,CT0043,ST019,RG03,Experience Centre,27-06-2020
SR0137,NexaTel Kollam Centre,CT0046,ST017,RG03,Mini Store,22-12-2010
SR0138,NexaTel Mumbai Centre,CT0002,ST010,RG02,Owned,27-05-2023
SR0139,NexaTel Jaipur Store,CT0011,ST005,RG01,Franchise,01-06-2024
SR0140,NexaTel Kanpur Hub,CT0036,ST004,RG01,Owned,20-12-2022
SR0141,NexaTel Mysuru Centre,CT0027,ST015,RG03,Franchise,21-05-2014
SR0142,NexaTel Hyderabad Centre,CT0006,ST019,RG03,Owned,03-07-2014
SR0143,NexaTel Siliguri Express,CT0052,ST022,RG04,Franchise,03-10-2018
SR0144,NexaTel Aurangabad Store,CT0038,ST010,RG02,Franchise,02-12-2016
SR0145,NexaTel Bhagalpur Express,CT0056,ST024,RG04,Owned,29-04-2025
SR0146,NexaTel Chennai Hub,CT0004,ST016,RG03,Franchise,17-11-2022
SR0147,NexaTel Amritsar Centre,CT0032,ST003,RG01,Franchise,14-08-2014
SR0148,NexaTel Jaipur Hub,CT0011,ST005,RG01,Owned,08-06-2018
SR0149,NexaTel Vijayawada Store,CT0029,ST018,RG03,Owned,22-02-2022
SR0150,NexaTel Shimla Store,CT0061,ST007,RG01,Owned,29-05-2021
SR0151,NexaTel Noida Point,CT0010,ST004,RG01,Franchise,21-07-2024
SR0152,NexaTel Gurugram Hub,CT0009,ST002,RG01,Experience Centre,16-12-2019
SR0153,NexaTel Vijayawada Store,CT0029,ST018,RG03,Owned,29-04-2021
SR0154,NexaTel Kanpur Express,CT0036,ST004,RG01,Franchise,12-05-2013
SR0155,NexaTel Thiruvananthapuram Store,CT0034,ST017,RG03,Owned,01-01-2023
SR0156,NexaTel Shillong Hub,CT0065,ST034,RG04,Franchise,02-05-2014
SR0157,NexaTel Kollam Hub,CT0046,ST017,RG03,Owned,16-02-2018
SR0158,NexaTel Visakhapatnam Express,CT0018,ST018,RG03,Franchise,01-12-2021
SR0159,NexaTel Hyderabad Hub,CT0006,ST019,RG03,Owned,17-01-2012
SR0160,NexaTel Indore Express,CT0013,ST012,RG02,Franchise,22-08-2016
SR0161,NexaTel Panaji Hub,CT0063,ST013,RG02,Mini Store,20-10-2014
SR0162,NexaTel Jamshedpur Hub,CT0058,ST025,RG04,Franchise,04-02-2020
SR0163,NexaTel Shimla Point,CT0061,ST007,RG01,Mini Store,03-11-2020
SR0164,NexaTel Dehradun Centre,CT0033,ST006,RG01,Mini Store,19-07-2016
SR0165,NexaTel Dehradun Point,CT0033,ST006,RG01,Owned,05-12-2022
SR0166,NexaTel Ajmer Hub,CT0040,ST005,RG01,Franchise,08-04-2024
SR0167,NexaTel Gangtok Centre,CT0068,ST028,RG04,Franchise,15-08-2024
SR0168,NexaTel Nagpur Store,CT0015,ST010,RG02,Franchise,31-07-2018
SR0169,NexaTel Shillong Express,CT0065,ST034,RG04,Mini Store,05-08-2017
SR0170,NexaTel Tirupati Store,CT0042,ST018,RG03,Mini Store,02-11-2015
SR0171,NexaTel Kollam Centre,CT0046,ST017,RG03,Mini Store,28-03-2018
SR0172,NexaTel Gurugram Express,CT0009,ST002,RG01,Owned,16-01-2013
SR0173,NexaTel Agra Hub,CT0039,ST004,RG01,Mini Store,06-02-2014
SR0174,NexaTel Bilaspur Express,CT0059,ST027,RG04,Mini Store,15-10-2021
SR0175,NexaTel Mumbai Point,CT0002,ST010,RG02,Franchise,28-12-2017
SR0176,NexaTel Imphal Hub,CT0064,ST031,RG04,Franchise,22-03-2012
SR0177,NexaTel Noida Centre,CT0010,ST004,RG01,Owned,15-03-2020
SR0178,NexaTel Udaipur Store,CT0060,ST005,RG01,Franchise,25-09-2015
SR0179,NexaTel Gurugram Point,CT0009,ST002,RG01,Franchise,26-11-2015
SR0180,NexaTel Noida Point,CT0010,ST004,RG01,Owned,20-05-2020
SR0181,NexaTel Gwalior Point,CT0048,ST012,RG02,Franchise,06-02-2017
SR0182,NexaTel Dehradun Hub,CT0033,ST006,RG01,Owned,06-06-2016
SR0183,NexaTel Hubballi Centre,CT0047,ST015,RG03,Mini Store,15-11-2016
SR0184,NexaTel Ajmer Hub,CT0040,ST005,RG01,Owned,17-12-2010
SR0185,NexaTel Kollam Store,CT0046,ST017,RG03,Franchise,14-11-2010
SR0186,NexaTel Vijayawada Centre,CT0029,ST018,RG03,Franchise,16-08-2021
SR0187,NexaTel Indore Hub,CT0013,ST012,RG02,Owned,30-09-2013
SR0188,NexaTel Varanasi Point,CT0037,ST004,RG01,Owned,12-04-2014
SR0189,NexaTel Panaji Hub,CT0063,ST013,RG02,Mini Store,30-10-2013
SR0190,NexaTel Noida Store,CT0010,ST004,RG01,Mini Store,08-01-2016
SR0191,NexaTel Bhubaneswar Centre,CT0022,ST023,RG04,Owned,02-09-2017
SR0192,NexaTel Bengaluru Express,CT0003,ST015,RG03,Mini Store,22-05-2014
SR0193,NexaTel Chandigarh Point,CT0023,ST009,RG01,Franchise,07-01-2022
SR0194,NexaTel Bikaner Point,CT0051,ST005,RG01,Franchise,06-11-2022
SR0195,NexaTel Jammu Express,CT0062,ST008,RG01,Owned,26-05-2023
SR0196,NexaTel Shimla Express,CT0061,ST007,RG01,Mini Store,20-06-2019
SR0197,NexaTel Jodhpur Store,CT0035,ST005,RG01,Owned,12-10-2018
SR0198,NexaTel Mysuru Hub,CT0027,ST015,RG03,Mini Store,01-08-2010
SR0199,NexaTel Lucknow Express,CT0012,ST004,RG01,Experience Centre,12-01-2021
SR0200,NexaTel Vijayawada Point,CT0029,ST018,RG03,Experience Centre,19-04-2020
SR0201,NexaTel Kota Centre,CT0050,ST005,RG01,Franchise,21-05-2019
SR0202,NexaTel Bilaspur Hub,CT0059,ST027,RG04,Mini Store,06-04-2020
SR0203,NexaTel Udaipur Hub,CT0060,ST005,RG01,Franchise,22-09-2014
SR0204,NexaTel Kota Centre,CT0050,ST005,RG01,Franchise,18-02-2025
SR0205,NexaTel Jodhpur Express,CT0035,ST005,RG01,Owned,19-04-2013
SR0206,NexaTel Tiruchirappalli Hub,CT0045,ST016,RG03,Franchise,06-11-2023
SR0207,NexaTel Noida Store,CT0010,ST004,RG01,Mini Store,03-04-2019
SR0208,NexaTel Hyderabad Hub,CT0006,ST019,RG03,Owned,07-12-2013
SR0209,NexaTel Indore Express,CT0013,ST012,RG02,Owned,18-03-2019
SR0210,NexaTel Gaya Store,CT0057,ST024,RG04,Franchise,26-07-2022
SR0211,NexaTel Gaya Centre,CT0057,ST024,RG04,Owned,01-10-2011
SR0212,NexaTel Bhagalpur Centre,CT0056,ST024,RG04,Franchise,15-07-2017
SR0213,NexaTel Gwalior Express,CT0048,ST012,RG02,Franchise,18-02-2015
SR0214,NexaTel Guwahati Hub,CT0024,ST026,RG04,Franchise,23-11-2023
SR0215,NexaTel Tirupati Store,CT0042,ST018,RG03,Owned,24-05-2019
SR0216,NexaTel Kolkata Centre,CT0005,ST022,RG04,Franchise,23-11-2021
SR0217,NexaTel Kochi Point,CT0017,ST017,RG03,Franchise,10-04-2023
SR0218,NexaTel Ranchi Point,CT0025,ST025,RG04,Franchise,31-12-2018
SR0219,NexaTel Surat Hub,CT0019,ST011,RG02,Mini Store,05-08-2024
SR0220,NexaTel Agartala Store,CT0066,ST033,RG04,Experience Centre,29-07-2012
SR0221,NexaTel Indore Hub,CT0013,ST012,RG02,Franchise,12-07-2022
SR0222,NexaTel Mumbai Hub,CT0002,ST010,RG02,Franchise,16-09-2010
SR0223,NexaTel Agra Store,CT0039,ST004,RG01,Franchise,17-04-2016
SR0224,NexaTel Tiruchirappalli Point,CT0045,ST016,RG03,Owned,17-03-2017
SR0225,NexaTel Ludhiana Store,CT0031,ST003,RG01,Franchise,16-07-2022
SR0226,NexaTel Kolkata Store,CT0005,ST022,RG04,Franchise,18-04-2021
SR0227,NexaTel Amritsar Express,CT0032,ST003,RG01,Franchise,14-11-2021
SR0228,NexaTel Chennai Hub,CT0004,ST016,RG03,Franchise,19-05-2016
SR0229,NexaTel Kolkata Express,CT0005,ST022,RG04,Franchise,26-12-2010
SR0230,NexaTel Agartala Express,CT0066,ST033,RG04,Franchise,24-11-2018
SR0231,NexaTel Hubballi Centre,CT0047,ST015,RG03,Owned,17-07-2015
SR0232,NexaTel Gurugram Express,CT0009,ST002,RG01,Franchise,10-05-2025
SR0233,NexaTel Jodhpur Centre,CT0035,ST005,RG01,Owned,07-01-2012
SR0234,NexaTel Raipur Hub,CT0026,ST027,RG04,Franchise,03-09-2016
SR0235,NexaTel Kollam Point,CT0046,ST017,RG03,Franchise,25-01-2021
SR0236,NexaTel Bhopal Store,CT0014,ST012,RG02,Owned,06-12-2020
SR0237,NexaTel Kanpur Store,CT0036,ST004,RG01,Franchise,27-10-2024
SR0238,NexaTel Gangtok Hub,CT0068,ST028,RG04,Franchise,24-10-2013
SR0239,NexaTel Ludhiana Store,CT0031,ST003,RG01,Mini Store,31-07-2016
SR0240,NexaTel Bilaspur Express,CT0059,ST027,RG04,Owned,24-03-2022
SR0241,NexaTel Gangtok Centre,CT0068,ST028,RG04,Owned,30-05-2011
SR0242,NexaTel Vadodara Express,CT0020,ST011,RG02,Franchise,31-07-2015
SR0243,NexaTel Kota Point,CT0050,ST005,RG01,Franchise,31-12-2015
SR0244,NexaTel Jaipur Point,CT0011,ST005,RG01,Franchise,08-07-2023
SR0245,NexaTel Kollam Express,CT0046,ST017,RG03,Franchise,24-01-2010
SR0246,NexaTel Chennai Point,CT0004,ST016,RG03,Owned,04-03-2010
SR0247,NexaTel Gaya Point,CT0057,ST024,RG04,Mini Store,07-12-2015
SR0248,NexaTel Bhubaneswar Point,CT0022,ST023,RG04,Franchise,09-05-2014
SR0249,NexaTel Nagpur Point,CT0015,ST010,RG02,Franchise,01-04-2021
SR0250,NexaTel Bengaluru Store,CT0003,ST015,RG03,Franchise,08-12-2018
SR0251,NexaTel Coimbatore Centre,CT0016,ST016,RG03,Franchise,19-07-2011
SR0252,NexaTel Indore Hub,CT0013,ST012,RG02,Mini Store,29-06-2025
SR0253,NexaTel Surat Centre,CT0019,ST011,RG02,Mini Store,02-01-2021
SR0254,NexaTel Lucknow Store,CT0012,ST004,RG01,Franchise,09-09-2013
SR0255,NexaTel Thiruvananthapuram Store,CT0034,ST017,RG03,Owned,17-08-2015
SR0256,NexaTel Kochi Store,CT0017,ST017,RG03,Owned,14-08-2011
SR0257,NexaTel Ajmer Centre,CT0040,ST005,RG01,Franchise,13-01-2013
SR0258,NexaTel Thiruvananthapuram Hub,CT0034,ST017,RG03,Franchise,21-06-2019
SR0259,NexaTel Amritsar Store,CT0032,ST003,RG01,Owned,08-03-2020
SR0260,NexaTel Jamshedpur Express,CT0058,ST025,RG04,Franchise,10-07-2021
SR0261,NexaTel Shillong Express,CT0065,ST034,RG04,Mini Store,07-04-2017
SR0262,NexaTel Bengaluru Centre,CT0003,ST015,RG03,Franchise,10-06-2017
SR0263,NexaTel Raipur Hub,CT0026,ST027,RG04,Mini Store,19-08-2024
SR0264,NexaTel New Delhi Store,CT0001,ST001,RG01,Owned,12-05-2021
SR0265,NexaTel Kanpur Centre,CT0036,ST004,RG01,Franchise,28-03-2017
SR0266,NexaTel Vijayawada Point,CT0029,ST018,RG03,Franchise,12-05-2016
SR0267,NexaTel Ahmedabad Express,CT0008,ST011,RG02,Owned,09-05-2014
SR0268,NexaTel Kota Point,CT0050,ST005,RG01,Franchise,28-05-2012
SR0269,NexaTel Gwalior Point,CT0048,ST012,RG02,Owned,14-06-2024
SR0270,NexaTel Lucknow Express,CT0012,ST004,RG01,Owned,06-12-2012
SR0271,NexaTel Kochi Hub,CT0017,ST017,RG03,Owned,25-04-2014
SR0272,NexaTel Amritsar Point,CT0032,ST003,RG01,Owned,18-06-2018
SR0273,NexaTel Gurugram Store,CT0009,ST002,RG01,Experience Centre,20-04-2013
SR0274,NexaTel Surat Centre,CT0019,ST011,RG02,Owned,16-09-2021
SR0275,NexaTel Kota Store,CT0050,ST005,RG01,Owned,01-05-2014
SR0276,NexaTel Bilaspur Hub,CT0059,ST027,RG04,Mini Store,16-06-2019
SR0277,NexaTel Kochi Express,CT0017,ST017,RG03,Franchise,23-10-2020
SR0278,NexaTel Bhopal Centre,CT0014,ST012,RG02,Owned,25-11-2021
SR0279,NexaTel Durgapur Express,CT0053,ST022,RG04,Franchise,13-05-2019
SR0280,NexaTel Kota Centre,CT0050,ST005,RG01,Franchise,18-06-2019
SR0281,NexaTel Siliguri Express,CT0052,ST022,RG04,Owned,10-07-2015
SR0282,NexaTel Tiruchirappalli Centre,CT0045,ST016,RG03,Experience Centre,09-09-2014
SR0283,NexaTel Amritsar Express,CT0032,ST003,RG01,Franchise,29-11-2011
SR0284,NexaTel Ranchi Centre,CT0025,ST025,RG04,Franchise,20-09-2014
SR0285,NexaTel Coimbatore Centre,CT0016,ST016,RG03,Franchise,20-12-2011
SR0286,NexaTel Raipur Hub,CT0026,ST027,RG04,Franchise,12-07-2024
SR0287,NexaTel Siliguri Point,CT0052,ST022,RG04,Franchise,31-03-2013
SR0288,NexaTel Shimla Express,CT0061,ST007,RG01,Mini Store,06-08-2018
SR0289,NexaTel Bhopal Hub,CT0014,ST012,RG02,Owned,10-05-2012
SR0290,NexaTel Guwahati Express,CT0024,ST026,RG04,Mini Store,09-11-2018
SR0291,NexaTel Patna Express,CT0021,ST024,RG04,Franchise,07-09-2022
SR0292,NexaTel Kochi Express,CT0017,ST017,RG03,Mini Store,14-04-2022
SR0293,NexaTel Udaipur Express,CT0060,ST005,RG01,Owned,14-04-2024
SR0294,NexaTel Mysuru Hub,CT0027,ST015,RG03,Franchise,25-10-2016
SR0295,NexaTel Gaya Centre,CT0057,ST024,RG04,Experience Centre,23-10-2022
SR0296,NexaTel Warangal Store,CT0043,ST019,RG03,Franchise,22-01-2025
SR0297,NexaTel Siliguri Point,CT0052,ST022,RG04,Mini Store,16-09-2021
SR0298,NexaTel Jodhpur Express,CT0035,ST005,RG01,Mini Store,04-01-2011
SR0299,NexaTel Ludhiana Express,CT0031,ST003,RG01,Franchise,07-10-2022
SR0300,NexaTel Gurugram Point,CT0009,ST002,RG01,Franchise,04-09-2019
SR0301,NexaTel Tirupati Centre,CT0042,ST018,RG03,Mini Store,07-11-2012
SR0302,NexaTel Chandigarh Point,CT0023,ST009,RG01,Experience Centre,25-05-2021
SR0303,NexaTel Cuttack Point,CT0054,ST023,RG04,Mini Store,19-02-2016
SR0304,NexaTel Hyderabad Express,CT0006,ST019,RG03,Owned,28-06-2013
SR0305,NexaTel Gurugram Hub,CT0009,ST002,RG01,Owned,03-06-2014
SR0306,NexaTel Panaji Hub,CT0063,ST013,RG02,Franchise,02-06-2017
SR0307,NexaTel Bikaner Store,CT0051,ST005,RG01,Franchise,02-12-2012
SR0308,NexaTel Gurugram Hub,CT0009,ST002,RG01,Franchise,17-06-2011
SR0309,NexaTel Agra Hub,CT0039,ST004,RG01,Owned,07-11-2021
SR0310,NexaTel Jodhpur Centre,CT0035,ST005,RG01,Owned,25-03-2022
SR0311,NexaTel New Delhi Centre,CT0001,ST001,RG01,Mini Store,23-03-2016
SR0312,NexaTel Tiruchirappalli Centre,CT0045,ST016,RG03,Owned,19-07-2022
SR0313,NexaTel Bikaner Store,CT0051,ST005,RG01,Franchise,17-05-2015
SR0314,NexaTel Gangtok Centre,CT0068,ST028,RG04,Owned,02-12-2017
SR0315,NexaTel Hubballi Store,CT0047,ST015,RG03,Owned,28-04-2022
SR0316,NexaTel Rourkela Point,CT0055,ST023,RG04,Owned,19-04-2019
SR0317,NexaTel Mysuru Express,CT0027,ST015,RG03,Franchise,15-11-2010
SR0318,NexaTel Bhagalpur Express,CT0056,ST024,RG04,Owned,07-02-2012
SR0319,NexaTel Kota Point,CT0050,ST005,RG01,Owned,12-06-2013
SR0320,NexaTel Gwalior Express,CT0048,ST012,RG02,Owned,04-12-2015
SR0321,NexaTel Shimla Store,CT0061,ST007,RG01,Experience Centre,22-11-2018
