usage_id,customer_id,usage_month,sms_sent,sms_received
US00000284,C0000095,02-2026,25,23
US00000285,C0000095,01-2026,23,30
US00000286,C0000096,03-2026,25,32
US00000287,C0000096,02-2026,19,29
US00000288,C0000096,01-2026,15,27
US00000289,C0000097,03-2026,9,19
US00000290,C0000097,02-2026,21,28
US00000291,C0000097,01-2026,16,26
US00000292,C0000098,03-2026,38,23
US00000293,C0000098,02-2026,25,16
US00000294,C0000098,01-2026,28,16
US00000295,C0000099,03-2026,22,25
US00000296,C0000099,02-2026,15,22
US00000297,C0000099,01-2026,27,23
US00000298,C0000100,03-2026,16,23
US00000299,C0000100,02-2026,21,31
US00000300,C0000100,01-2026,19,28
US00000301,C0000101,03-2026,30,26
US00000302,C0000101,02-2026,42,25
US00000303,C0000101,01-2026,25,28
US00000304,C0000102,03-2026,18,26
US00000305,C0000102,02-2026,18,28
US00000306,C0000102,01-2026,19,34
US00000307,C0000103,03-2026,29,22
US00000308,C0000103,02-2026,32,37
US00000309,C0000103,01-2026,38,31
US00000310,C0000104,03-2026,17,22
US00000311,C0000104,02-2026,12,16
US00000312,C0000104,01-2026,16,25
US00000313,C0000105,03-2026,33,19
US00000314,C0000105,02-2026,32,23
US00000315,C0000105,01-2026,34,20
US00000316,C0000106,03-2026,33,19
US00000317,C0000106,02-2026,29,21
US00000318,C0000106,01-2026,34,19
US00000319,C0000107,03-2026,22,32
US00000320,C0000107,02-2026,14,20
US00000321,C0000107,01-2026,17,28
US00000322,C0000108,03-2026,19,30
US00000323,C0000108,02-2026,22,23
US00000324,C0000108,01-2026,17,25
US00000325,C0000109,03-2026,18,27
US00000326,C0000109,02-2026,15,12
US00000327,C0000109,01-2026,19,28
US00000328,C0000110,03-2026,12,23
US00000329,C0000110,02-2026,23,28
US00000330,C0000110,01-2026,19,26
US00000331,C0000111,03-2026,24,22
US00000332,C0000111,02-2026,23,26
US00000333,C0000111,01-2026,20,30
US00000334,C0000112,03-2026,24,31
US00000335,C0000112,02-2026,18,25
US00000336,C0000112,01-2026,17,26
US00000337,C0000113,03-2026,16,30
US00000338,C0000113,02-2026,16,31
US00000339,C0000113,01-2026,20,25
US00000340,C0000114,03-2026,20,34
US00000341,C0000114,02-2026,13,29
US00000342,C0000114,01-2026,18,25
US00000343,C0000115,03-2026,12,27
US00000344,C0000115,02-2026,15,28
US00000345,C0000115,01-2026,12,9
US00000346,C0000116,03-2026,10,28
US00000347,C0000116,02-2026,17,20
US00000348,C0000116,01-2026,18,19
US00000349,C0000117,03-2026,21,25
US00000350,C0000117,02-2026,21,19
US00000351,C0000117,01-2026,18,24
US00000352,C0000118,03-2026,15,28
US00000353,C0000118,02-2026,15,34
US00000354,C0000118,01-2026,26,26
US00000355,C0000119,03-2026,19,18
US00000356,C0000119,02-2026,24,32
US00000357,C0000119,01-2026,14,29
US00000358,C0000120,03-2026,10,23
US00000359,C0000120,02-2026,18,28
US00000360,C0000120,01-2026,18,26
US00000361,C0000121,03-2026,31,21
US00000362,C0000121,02-2026,31,25
US00000363,C0000121,01-2026,29,27
US00000364,C0000122,03-2026,19,15
US00000365,C0000122,02-2026,20,28
US00000366,C0000122,01-2026,16,19
US00000367,C0000123,03-2026,23,29
US00000368,C0000123,02-2026,21,29
US00000369,C0000123,01-2026,28,26
US00000370,C0000124,03-2026,11,23
US00000371,C0000124,02-2026,20,36
US00000372,C0000124,01-2026,19,25
US00000373,C0000125,03-2026,34,29
US00000374,C0000125,02-2026,34,22
US00000375,C0000125,01-2026,28,32
US00000376,C0000126,03-2026,19,31
US00000377,C0000126,02-2026,18,30
US00000378,C0000126,01-2026,22,20
US00000379,C0000127,03-2026,43,33
US00000380,C0000127,02-2026,42,28
US00000381,C0000127,01-2026,31,25
US00000382,C0000128,03-2026,20,24
US00000383,C0000128,02-2026,14,25
US00000384,C0000128,01-2026,12,21
US00000385,C0000129,03-2026,13,29
US00000386,C0000129,02-2026,17,35
US00000387,C0000129,01-2026,11,21
US00000388,C0000130,03-2026,15,14
US00000389,C0000130,02-2026,16,24
US00000390,C0000130,01-2026,18,31
US00000391,C0000131,03-2026,24,26
US00000392,C0000131,02-2026,18,23
US00000393,C0000131,01-2026,14,29
US00000394,C0000132,03-2026,20,18
US00000395,C0000132,02-2026,28,20
US00000396,C0000132,01-2026,22,23
US00000397,C0000133,03-2026,14,21
US00000398,C0000133,02-2026,20,25
US00000399,C0000133,01-2026,12,27
US00000400,C0000134,03-2026,22,31
US00000401,C0000134,02-2026,23,21
US00000402,C0000134,01-2026,20,23
US00000403,C0000135,03-2026,22,26
US00000404,C0000135,02-2026,14,29
US00000405,C0000135,01-2026,20,25
US00000406,C0000136,03-2026,44,23
US00000407,C0000136,02-2026,47,28
US00000408,C0000136,01-2026,43,22
US00000409,C0000137,03-2026,26,28
US00000410,C0000137,02-2026,37,31
US00000411,C0000137,01-2026,25,20
US00000412,C0000138,03-2026,19,25
US00000413,C0000138,02-2026,26,25
US00000414,C0000138,01-2026,28,20
US00000415,C0000139,03-2026,15,30
US00000416,C0000139,02-2026,18,21
US00000417,C0000139,01-2026,23,18
US00000418,C0000140,03-2026,14,27
US00000419,C0000140,02-2026,22,15
US00000420,C0000140,01-2026,15,19
US00000421,C0000141,03-2026,14,27
US00000422,C0000141,02-2026,22,26
US00000423,C0000141,01-2026,19,25
US00000424,C0000142,03-2026,24,24
US00000425,C0000142,02-2026,20,26
US00000426,C0000142,01-2026,16,32
US00000427,C0000143,03-2026,32,27
US00000428,C0000143,02-2026,43,30
US00000429,C0000143,01-2026,31,36
US00000430,C0000144,03-2026,18,26
US00000431,C0000144,02-2026,18,23
US00000432,C0000144,01-2026,10,19
US00000433,C0000145,03-2026,32,24
US00000434,C0000145,02-2026,35,19
US00000435,C0000145,01-2026,37,33
US00000436,C0000146,03-2026,17,15
US00000437,C0000146,02-2026,11,35
US00000438,C0000146,01-2026,21,23
US00000439,C0000147,03-2026,48,33
US00000440,C0000147,02-2026,27,27
US00000441,C0000147,01-2026,34,24
US00000442,C0000148,03-2026,20,24
US00000443,C0000148,02-2026,24,26
US00000444,C0000148,01-2026,21,21
US00000445,C0000149,03-2026,26,25
US00000446,C0000149,02-2026,25,13
US00000447,C0000149,01-2026,25,27
US00000448,C0000150,03-2026,19,23
US00000449,C0000150,02-2026,16,19
US00000450,C0000150,01-2026,18,20
US00000451,C0000151,03-2026,16,27
US00000452,C0000151,02-2026,13,29
US00000453,C0000151,01-2026,20,29
US00000454,C0000152,03-2026,17,30
US00000455,C0000152,02-2026,22,20
US00000456,C0000152,01-2026,16,18
US00000457,C0000153,03-2026,19,19
US00000458,C0000153,02-2026,15,29
US00000459,C0000153,01-2026,15,18
US00000460,C0000154,03-2026,18,20
US00000461,C0000154,02-2026,24,20
US00000462,C0000154,01-2026,16,26
US00000463,C0000155,03-2026,7,29
US00000464,C0000155,02-2026,14,23
US00000465,C0000155,01-2026,20,26
US00000466,C0000156,03-2026,26,29
US00000467,C0000156,02-2026,18,15
US00000468,C0000156,01-2026,16,23
US00000469,C0000157,03-2026,22,26
US00000470,C0000157,02-2026,18,28
US00000471,C0000157,01-2026,18,16
US00000472,C0000158,03-2026,45,29
US00000473,C0000158,02-2026,35,23
US00000474,C0000158,01-2026,41,17
US00000475,C0000159,03-2026,18,25
US00000476,C0000159,02-2026,11,28
US00000477,C0000159,01-2026,18,24
US00000478,C0000160,03-2026,17,29
US00000479,C0000160,02-2026,18,28
US00000480,C0000160,01-2026,8,31
US00000481,C0000161,03-2026,17,25
US00000482,C0000161,02-2026,16,23
US00000483,C0000161,01-2026,17,24
US00000484,C0000162,03-2026,13,22
US00000485,C0000162,02-2026,20,26
US00000486,C0000162,01-2026,13,26
US00000487,C0000163,03-2026,35,30
US00000488,C0000163,02-2026,34,37
US00000489,C0000163,01-2026,27,23
US00000490,C0000164,03-2026,46,23
US00000491,C0000164,02-2026,54,23
US00000492,C0000164,01-2026,30,28
US00000493,C0000165,03-2026,17,20
US00000494,C0000165,02-2026,15,22
US00000495,C0000165,01-2026,18,19
US00000496,C0000166,03-2026,26,22
US00000497,C0000166,02-2026,44,15
US00000498,C0000166,01-2026,36,28
US00000499,C0000167,03-2026,13,29
US00000500,C0000167,02-2026,24,30
US00000501,C0000167,01-2026,13,29
US00000502,C0000168,03-2026,15,26
US00000503,C0000168,02-2026,18,11
US00000504,C0000168,01-2026,19,23
US00000505,C0000169,03-2026,32,24
US00000506,C0000169,02-2026,36,26
US00000507,C0000169,01-2026,34,28
US00000508,C0000170,03-2026,14,12
US00000509,C0000170,02-2026,16,24
US00000510,C0000170,01-2026,22,25
US00000511,C0000171,03-2026,18,20
US00000512,C0000171,02-2026,16,24
US00000513,C0000171,01-2026,16,25
US00000514,C0000172,03-2026,18,21
US00000515,C0000172,02-2026,18,20
US00000516,C0000172,01-2026,21,24
US00000517,C0000173,03-2026,16,21
US00000518,C0000173,02-2026,17,22
US00000519,C0000173,01-2026,20,28
US00000520,C0000174,03-2026,39,25
US00000521,C0000174,02-2026,34,26
US00000522,C0000174,01-2026,39,21
US00000523,C0000175,03-2026,16,25
US00000524,C0000175,02-2026,27,23
US00000525,C0000175,01-2026,13,26
US00000526,C0000176,03-2026,15,22
US00000527,C0000176,02-2026,13,37
US00000528,C0000176,01-2026,21,21
US00000529,C0000177,03-2026,20,23
US00000530,C0000177,02-2026,18,22
US00000531,C0000177,01-2026,24,30
US00000532,C0000178,03-2026,12,20
US00000533,C0000178,02-2026,23,26
US00000534,C0000178,01-2026,12,24
US00000535,C0000179,03-2026,39,24
US00000536,C0000179,02-2026,29,17
US00000537,C0000179,01-2026,36,20
US00000538,C0000180,03-2026,43,29
US00000539,C0000180,02-2026,41,23
US00000540,C0000180,01-2026,33,26
US00000541,C0000181,03-2026,36,27
US00000542,C0000181,02-2026,38,27
US00000543,C0000181,01-2026,28,29
US00000544,C0000182,03-2026,18,19
US00000545,C0000182,02-2026,9,25
US00000546,C0000182,01-2026,21,22
US00000547,C0000183,03-2026,15,34
US00000548,C0000183,02-2026,17,30
US00000549,C0000183,01-2026,14,28
US00000550,C0000184,03-2026,21,27
US00000551,C0000184,02-2026,18,30
US00000552,C0000184,01-2026,18,26
US00000553,C0000185,03-2026,25,18
US00000554,C0000185,02-2026,10,21
US00000555,C0000185,01-2026,16,25
US00000556,C0000186,03-2026,36,26
US00000557,C0000186,02-2026,27,30
US00000558,C0000186,01-2026,39,23
US00000559,C0000187,03-2026,39,24
US00000560,C0000187,02-2026,41,26
US00000561,C0000187,01-2026,37,20
US00000562,C0000188,03-2026,20,22
US00000563,C0000188,02-2026,16,21
US00000564,C0000188,01-2026,17,21
US00000565,C0000189,03-2026,27,24
US00000566,C0000189,02-2026,38,21
US00000567,C0000189,01-2026,35,31
US00000568,C0000190,03-2026,17,23
US00000569,C0000190,02-2026,15,20
US00000570,C0000190,01-2026,25,24
US00000571,C0000191,03-2026,23,25
US00000572,C0000191,02-2026,19,23
US00000573,C0000191,01-2026,17,23
US00000574,C0000192,03-2026,15,23
US00000575,C0000192,02-2026,16,28
US00000576,C0000192,01-2026,19,28
US00000577,C0000193,03-2026,24,21
US00000578,C0000193,02-2026,18,26
US00000579,C0000193,01-2026,22,22
US00000580,C0000194,03-2026,15,26
US00000581,C0000194,02-2026,20,19
US00000582,C0000194,01-2026,19,22
US00000583,C0000195,03-2026,34,27
US00000584,C0000195,02-2026,34,28
US00000585,C0000195,01-2026,42,19
US00000586,C0000196,03-2026,47,28
US00000587,C0000196,02-2026,37,22
US00000588,C0000196,01-2026,33,28
US00000589,C0000197,03-2026,50,23
US00000590,C0000197,02-2026,44,32
US00000591,C0000197,01-2026,37,17
US00000592,C0000198,03-2026,8,36
US00000593,C0000198,02-2026,16,27
US00000594,C0000198,01-2026,18,27
US00000595,C0000199,03-2026,15,34
US00000596,C0000199,02-2026,23,27
US00000597,C0000199,01-2026,23,23
US00000598,C0000200,03-2026,24,26
US00000599,C0000200,02-2026,13,33
US00000600,C0000200,01-2026,15,28
US00000601,C0000201,03-2026,28,20
US00000602,C0000201,02-2026,14,25
US00000603,C0000201,01-2026,16,29
US00000604,C0000202,03-2026,27,29
US00000605,C0000202,02-2026,16,23
US00000606,C0000202,01-2026,13,27
US00000607,C0000203,03-2026,20,24
US00000608,C0000203,02-2026,21,20
US00000609,C0000203,01-2026,12,18
US00000610,C0000204,03-2026,14,17
US00000611,C0000204,02-2026,25,27
US00000612,C0000204,01-2026,12,20
US00000613,C0000205,03-2026,19,26
US00000614,C0000205,02-2026,20,25
US00000615,C0000205,01-2026,17,29
US00000616,C0000206,03-2026,15,24
US00000617,C0000206,02-2026,15,25
US00000618,C0000206,01-2026,18,26
US00000619,C0000207,03-2026,41,17
US00000620,C0000207,02-2026,38,23
US00000621,C0000207,01-2026,35,28
US00000622,C0000208,03-2026,15,27
US00000623,C0000208,02-2026,13,19
US00000624,C0000208,01-2026,22,31
US00000625,C0000209,03-2026,44,26
US00000626,C0000209,02-2026,32,24
US00000627,C0000209,01-2026,33,26
US00000628,C0000210,03-2026,15,21
US00000629,C0000210,02-2026,15,25
US00000630,C0000210,01-2026,14,16
US00000631,C0000211,03-2026,21,21
US00000632,C0000211,02-2026,18,27
US00000633,C0000211,01-2026,14,17
US00000634,C0000212,03-2026,23,26
US00000635,C0000212,02-2026,20,23
US00000636,C0000212,01-2026,20,17
US00000637,C0000213,03-2026,19,25
US00000638,C0000213,02-2026,20,21
US00000639,C0000213,01-2026,22,25
US00000640,C0000214,03-2026,39,26
US00000641,C0000214,02-2026,31,19
US00000642,C0000214,01-2026,36,23
US00000643,C0000215,03-2026,18,30
US00000644,C0000215,02-2026,16,25
US00000645,C0000215,01-2026,23,24
US00000646,C0000216,03-2026,38,18
US00000647,C0000216,02-2026,23,30
US00000648,C0000216,01-2026,30,30
US00000649,C0000217,03-2026,11,26
US00000650,C0000217,02-2026,16,28
US00000651,C0000217,01-2026,14,30
US00000652,C0000218,03-2026,20,24
US00000653,C0000218,02-2026,14,29
US00000654,C0000218,01-2026,20,20
US00000655,C0000219,03-2026,24,26
US00000656,C0000219,02-2026,10,19
US00000657,C0000219,01-2026,18,17
US00000658,C0000220,03-2026,40,25
US00000659,C0000220,02-2026,40,23
US00000660,C0000220,01-2026,34,22
US00000661,C0000221,03-2026,13,18
US00000662,C0000221,02-2026,23,30
US00000663,C0000221,01-2026,20,22
US00000664,C0000222,03-2026,15,33
US00000665,C0000222,02-2026,21,25
US00000666,C0000222,01-2026,26,30
US00000667,C0000223,03-2026,34,21
US00000668,C0000223,02-2026,36,24
US00000669,C0000223,01-2026,31,19
US00000670,C0000224,03-2026,21,26
US00000671,C0000224,02-2026,14,27
US00000672,C0000224,01-2026,18,23
US00000673,C0000225,03-2026,10,21
US00000674,C0000225,02-2026,21,24
US00000675,C0000225,01-2026,13,27
US00000676,C0000226,03-2026,19,22
US00000677,C0000226,02-2026,12,28
US00000678,C0000226,01-2026,22,20
US00000679,C0000227,03-2026,28,30
US00000680,C0000227,02-2026,38,23
US00000681,C0000227,01-2026,36,24
US00000682,C0000228,03-2026,28,23
US00000683,C0000228,02-2026,34,23
US00000684,C0000228,01-2026,31,30
US00000685,C0000229,03-2026,24,19
US00000686,C0000229,02-2026,17,22
US00000687,C0000229,01-2026,25,23
US00000688,C0000230,03-2026,30,24
US00000689,C0000230,02-2026,25,26
US00000690,C0000230,01-2026,30,21
US00000691,C0000231,03-2026,35,16
US00000692,C0000231,02-2026,37,25
US00000693,C0000231,01-2026,31,21
US00000694,C0000232,03-2026,32,16
US00000695,C0000232,02-2026,34,26
US00000696,C0000232,01-2026,19,23
US00000697,C0000233,03-2026,24,25
US00000698,C0000233,02-2026,20,27
US00000699,C0000233,01-2026,13,22
US00000700,C0000234,03-2026,22,18
US00000701,C0000234,02-2026,22,17
US00000702,C0000234,01-2026,16,25
US00000703,C0000235,03-2026,21,25
US00000704,C0000235,02-2026,20,22
US00000705,C0000235,01-2026,15,27
US00000706,C0000236,03-2026,14,21
US00000707,C0000236,02-2026,20,30
US00000708,C0000236,01-2026,23,20
US00000709,C0000237,03-2026,15,18
US00000710,C0000237,02-2026,16,27
US00000711,C0000237,01-2026,16,23
US00000712,C0000238,03-2026,20,26
US00000713,C0000238,02-2026,27,27
US00000714,C0000238,01-2026,25,18
US00000715,C0000239,03-2026,17,24
US00000716,C0000239,02-2026,20,35
US00000717,C0000239,01-2026,20,26
US00000718,C0000240,03-2026,21,24
US00000719,C0000240,02-2026,13,21
US00000720,C0000240,01-2026,18,22
US00000721,C0000241,03-2026,28,24
US00000722,C0000241,02-2026,31,28
US00000723,C0000241,01-2026,33,21
US00000724,C0000242,03-2026,21,20
US00000725,C0000242,02-2026,16,18
US00000726,C0000242,01-2026,18,25
US00000727,C0000243,03-2026,23,31
US00000728,C0000243,02-2026,16,25
US00000729,C0000243,01-2026,16,23
US00000730,C0000244,03-2026,14,22
US00000731,C0000244,02-2026,30,25
US00000732,C0000244,01-2026,18,30
US00000733,C0000245,03-2026,18,28
US00000734,C0000245,02-2026,22,19
