campaign_id,customer_id,campaign_name,offer_type,contact_date,channel,response,retained_flag
RTC0000215,C0000638,Value Retention,Extra Data 50GB,15-10-2025,App,Accepted,Yes
RTC0000216,C0000642,Loyalty Save,Plan Upgrade Offer,25-09-2025,Email,No Response,Yes
RTC0000217,C0000645,Renewal Nudge,Priority Support,11-11-2025,Call,Accepted,Yes
RTC0000218,C0000648,Renewal Nudge,Annual Plan Discount,08-04-2025,SMS,Declined,Yes
RTC0000219,C0000649,At-Risk Outreach,Extra Data 50GB,22-07-2025,SMS,No Response,Yes
RTC0000220,C0000650,Renewal Nudge,Bill Waiver,18-02-2025,App,Declined,Yes
RTC0000221,C0000651,Win-Back Drive,Plan Upgrade Offer,02-02-2025,Email,Accepted,Yes
RTC0000222,C0000655,Renewal Nudge,Free OTT 3 Months,04-03-2025,Email,Declined,Yes
RTC0000223,C0000659,Renewal Nudge,Loyalty Discount 10%,30-12-2025,WhatsApp,Declined,Yes
RTC0000224,C0000665,Win-Back Drive,Cashback Voucher,24-08-2025,SMS,Declined,Yes
RTC0000225,C0000671,At-Risk Outreach,Cashback Voucher,02-03-2026,SMS,No Response,Yes
RTC0000226,C0000672,Value Retention,Free OTT 3 Months,22-01-2025,SMS,Declined,Yes
RTC0000227,C0000674,At-Risk Outreach,Annual Plan Discount,25-05-2025,WhatsApp,Declined,Yes
RTC0000228,C0000687,Value Retention,Loyalty Discount 10%,27-01-2025,Email,Accepted,Yes
RTC0000229,C0000694,Value Retention,Free OTT 3 Months,29-06-2025,WhatsApp,Accepted,Yes
RTC0000230,C0000696,Win-Back Drive,Free OTT 3 Months,17-01-2026,WhatsApp,Declined,Yes
RTC0000231,C0000699,At-Risk Outreach,Cashback Voucher,21-11-2025,App,Declined,Yes
RTC0000232,C0000701,Loyalty Save,Plan Upgrade Offer,03-11-2025,App,No Response,No
RTC0000233,C0000702,Value Retention,Free OTT 3 Months,26-02-2026,SMS,Accepted,Yes
RTC0000234,C0000707,Value Retention,Extra Data 50GB,01-03-2026,Email,Accepted,Yes
RTC0000235,C0000711,At-Risk Outreach,Extra Data 50GB,03-02-2025,WhatsApp,Accepted,Yes
RTC0000236,C0000713,Win-Back Drive,Annual Plan Discount,11-04-2025,App,Declined,Yes
RTC0000237,C0000718,Renewal Nudge,Plan Upgrade Offer,02-02-2026,WhatsApp,Declined,No
RTC0000238,C0000719,Loyalty Save,Bill Waiver,13-12-2025,SMS,Declined,Yes
RTC0000239,C0000722,Win-Back Drive,Priority Support,25-02-2026,SMS,Declined,Yes
RTC0000240,C0000724,Value Retention,Plan Upgrade Offer,01-11-2025,App,Declined,Yes
RTC0000241,C0000725,Win-Back Drive,Annual Plan Discount,24-10-2025,SMS,Accepted,Yes
RTC0000242,C0000730,Renewal Nudge,Annual Plan Discount,01-06-2025,WhatsApp,No Response,Yes
RTC0000243,C0000734,Win-Back Drive,Bill Waiver,27-02-2026,SMS,Accepted,No
RTC0000244,C0000736,At-Risk Outreach,Priority Support,01-03-2025,Call,Accepted,Yes
RTC0000245,C0000737,Win-Back Drive,Free OTT 3 Months,25-09-2025,App,Accepted,Yes
RTC0000246,C0000739,Value Retention,Bill Waiver,19-03-2025,Email,No Response,Yes
RTC0000247,C0000740,Value Retention,Extra Data 50GB,21-03-2025,WhatsApp,Accepted,Yes
RTC0000248,C0000741,Value Retention,Free OTT 3 Months,23-11-2025,Call,Accepted,Yes
RTC0000249,C0000742,At-Risk Outreach,Bill Waiver,12-05-2025,Call,Declined,Yes
RTC0000250,C0000748,Value Retention,Extra Data 50GB,05-04-2025,SMS,Accepted,Yes
RTC0000251,C0000750,Renewal Nudge,Free OTT 3 Months,07-02-2026,SMS,Accepted,Yes
RTC0000252,C0000752,Value Retention,Extra Data 50GB,25-01-2026,Call,No Response,Yes
RTC0000253,C0000753,Renewal Nudge,Bill Waiver,28-01-2025,SMS,Accepted,No
RTC0000254,C0000754,At-Risk Outreach,Free OTT 3 Months,05-05-2025,WhatsApp,Declined,Yes
RTC0000255,C0000755,Loyalty Save,Loyalty Discount 10%,07-06-2025,Call,No Response,Yes
RTC0000256,C0000756,At-Risk Outreach,Free OTT 3 Months,20-06-2025,Email,Accepted,Yes
RTC0000257,C0000759,Loyalty Save,Plan Upgrade Offer,12-06-2025,Call,Accepted,Yes
RTC0000258,C0000760,Renewal Nudge,Bill Waiver,12-03-2026,Email,Accepted,No
RTC0000259,C0000765,Value Retention,Plan Upgrade Offer,14-04-2025,App,Accepted,Yes
RTC0000260,C0000767,Loyalty Save,Cashback Voucher,10-01-2025,Call,Accepted,Yes
RTC0000261,C0000771,Loyalty Save,Loyalty Discount 10%,08-07-2025,WhatsApp,Accepted,Yes
RTC0000262,C0000773,Loyalty Save,Loyalty Discount 10%,28-06-2025,WhatsApp,Accepted,Yes
RTC0000263,C0000774,Win-Back Drive,Free OTT 3 Months,21-11-2025,Email,No Response,Yes
RTC0000264,C0000779,Win-Back Drive,Loyalty Discount 10%,04-11-2025,Call,Declined,Yes
RTC0000265,C0000784,Renewal Nudge,Priority Support,22-04-2025,SMS,Accepted,Yes
RTC0000266,C0000786,Value Retention,Free OTT 3 Months,08-07-2025,App,Declined,Yes
RTC0000267,C0000788,Renewal Nudge,Bill Waiver,22-12-2025,SMS,No Response,No
RTC0000268,C0000790,Win-Back Drive,Plan Upgrade Offer,10-10-2025,WhatsApp,Accepted,Yes
RTC0000269,C0000803,Renewal Nudge,Cashback Voucher,22-07-2025,Call,Declined,Yes
RTC0000270,C0000804,Loyalty Save,Extra Data 50GB,08-10-2025,SMS,Accepted,Yes
RTC0000271,C0000805,Win-Back Drive,Bill Waiver,21-03-2026,Call,Declined,No
RTC0000272,C0000807,At-Risk Outreach,Plan Upgrade Offer,08-09-2025,Email,Declined,No
RTC0000273,C0000809,Loyalty Save,Plan Upgrade Offer,31-01-2026,Call,Accepted,Yes
RTC0000274,C0000814,Loyalty Save,Extra Data 50GB,26-07-2025,WhatsApp,Accepted,Yes
RTC0000275,C0000815,Value Retention,Loyalty Discount 10%,10-03-2025,WhatsApp,No Response,Yes
RTC0000276,C0000817,At-Risk Outreach,Annual Plan Discount,02-06-2025,Call,Accepted,No
RTC0000277,C0000818,Win-Back Drive,Free OTT 3 Months,24-07-2025,Email,Declined,Yes
RTC0000278,C0000819,Value Retention,Cashback Voucher,14-09-2025,SMS,Declined,No
RTC0000279,C0000822,Renewal Nudge,Free OTT 3 Months,01-06-2025,App,Accepted,Yes
RTC0000280,C0000836,Win-Back Drive,Priority Support,18-01-2025,Call,No Response,Yes
RTC0000281,C0000840,Value Retention,Loyalty Discount 10%,23-01-2026,Call,Accepted,Yes
