complaint_id,customer_id,complaint_date,complaint_type,severity,status,resolution_date
CMP00000206,C0000250,23-02-2025,Recharge Not Credited,Moderate,Unresolved,
CMP00000207,C0000252,18-03-2019,Billing Error,Minor,Unresolved,
CMP00000208,C0000252,08-05-2015,Wrongful Charge,Moderate,Resolved,16-05-2015
CMP00000209,C0000252,10-04-2024,Customer Service,Moderate,Resolved,11-04-2024
CMP00000210,C0000253,07-01-2024,Billing Error,Minor,Unresolved,
CMP00000211,C0000253,11-06-2015,Connection Down,Moderate,Resolved,16-06-2015
CMP00000212,C0000254,02-06-2025,Network Coverage,Moderate,Resolved,04-06-2025
CMP00000213,C0000258,23-06-2018,Recharge Not Credited,Severe,Unresolved,
CMP00000214,C0000259,29-11-2017,Billing Error,Minor,Unresolved,
CMP00000215,C0000259,23-03-2026,Recharge Not Credited,Moderate,Resolved,27-03-2026
CMP00000216,C0000266,29-06-2015,Wrongful Charge,Minor,Unresolved,
CMP00000217,C0000266,12-09-2016,Network Coverage,Minor,Resolved,17-09-2016
CMP00000218,C0000267,21-04-2020,Network Coverage,Major,Unresolved,
CMP00000219,C0000267,06-05-2017,Service Quality,Minor,Resolved,14-05-2017
CMP00000220,C0000268,02-03-2026,Network Coverage,Major,Unresolved,
CMP00000221,C0000268,18-06-2020,Billing Error,Moderate,Resolved,22-06-2020
CMP00000222,C0000276,06-08-2024,Billing Error,Major,Unresolved,
CMP00000223,C0000277,09-10-2021,Service Quality,Major,Unresolved,
CMP00000224,C0000277,28-05-2021,Wrongful Charge,Minor,Unresolved,
CMP00000225,C0000278,26-11-2019,Recharge Not Credited,Minor,Resolved,29-11-2019
CMP00000226,C0000279,31-08-2025,Data Speed,Moderate,Unresolved,
CMP00000227,C0000281,31-10-2020,Recharge Not Credited,Major,Unresolved,
CMP00000228,C0000281,12-12-2022,Billing Error,Severe,Unresolved,
CMP00000229,C0000284,31-10-2014,Recharge Not Credited,Moderate,Resolved,07-11-2014
CMP00000230,C0000285,08-10-2020,Connection Down,Moderate,Unresolved,
CMP00000231,C0000286,28-04-2014,Wrongful Charge,Moderate,Unresolved,
CMP00000232,C0000286,12-07-2018,Customer Service,Moderate,Unresolved,
CMP00000233,C0000291,25-08-2020,Recharge Not Credited,Moderate,Resolved,30-08-2020
CMP00000234,C0000294,20-04-2017,Customer Service,Major,Unresolved,
CMP00000235,C0000294,08-01-2020,Network Coverage,Minor,Resolved,09-01-2020
CMP00000236,C0000295,30-01-2016,Customer Service,Moderate,Unresolved,
CMP00000237,C0000298,26-02-2023,Data Speed,Severe,Unresolved,
CMP00000238,C0000299,10-09-2022,Recharge Not Credited,Moderate,Unresolved,
CMP00000239,C0000300,20-08-2025,Connection Down,Moderate,Unresolved,
CMP00000240,C0000303,15-11-2020,Service Quality,Moderate,Resolved,25-11-2020
CMP00000241,C0000304,27-02-2024,Recharge Not Credited,Minor,Unresolved,
CMP00000242,C0000304,23-01-2019,Connection Down,Moderate,Resolved,29-01-2019
CMP00000243,C0000305,16-06-2017,Recharge Not Credited,Severe,Resolved,19-06-2017
CMP00000244,C0000306,26-09-2019,Customer Service,Major,Resolved,06-10-2019
CMP00000245,C0000306,28-12-2015,Billing Error,Moderate,Resolved,06-01-2016
CMP00000246,C0000307,04-08-2024,Wrongful Charge,Moderate,Unresolved,
CMP00000247,C0000307,13-10-2016,Data Speed,Major,Resolved,21-10-2016
CMP00000248,C0000309,31-07-2018,Wrongful Charge,Minor,Resolved,10-08-2018
CMP00000249,C0000310,11-09-2021,Billing Error,Major,Resolved,16-09-2021
CMP00000250,C0000312,04-05-2019,Wrongful Charge,Moderate,Resolved,09-05-2019
CMP00000251,C0000315,15-04-2019,Connection Down,Moderate,Resolved,24-04-2019
CMP00000252,C0000316,06-12-2020,Network Coverage,Severe,Unresolved,
CMP00000253,C0000318,22-02-2020,Billing Error,Major,Resolved,23-02-2020
CMP00000254,C0000319,19-03-2019,Data Speed,Severe,Resolved,27-03-2019
CMP00000255,C0000319,22-08-2015,Service Quality,Major,Resolved,26-08-2015
CMP00000256,C0000324,08-09-2015,Wrongful Charge,Severe,Resolved,16-09-2015
CMP00000257,C0000325,06-01-2018,Network Coverage,Minor,Resolved,10-01-2018
CMP00000258,C0000327,29-03-2015,Recharge Not Credited,Major,Resolved,05-04-2015
CMP00000259,C0000328,15-04-2024,Data Speed,Moderate,Resolved,20-04-2024
CMP00000260,C0000330,18-10-2022,Network Coverage,Minor,Resolved,23-10-2022
CMP00000261,C0000331,08-04-2018,Network Coverage,Moderate,Unresolved,
CMP00000262,C0000332,14-11-2025,Customer Service,Moderate,Unresolved,
CMP00000263,C0000334,13-03-2022,Network Coverage,Moderate,Resolved,21-03-2022
CMP00000264,C0000337,11-01-2024,Service Quality,Minor,Unresolved,
CMP00000265,C0000338,21-03-2021,Network Coverage,Minor,Unresolved,
CMP00000266,C0000340,30-09-2015,Data Speed,Major,Resolved,10-10-2015
CMP00000267,C0000342,24-05-2018,Recharge Not Credited,Moderate,Unresolved,
CMP00000268,C0000342,06-12-2025,Customer Service,Severe,Resolved,15-12-2025
CMP00000269,C0000343,03-08-2020,Connection Down,Moderate,Unresolved,
CMP00000270,C0000343,05-04-2015,Network Coverage,Moderate,Resolved,08-04-2015
CMP00000271,C0000345,09-10-2015,Wrongful Charge,Moderate,Unresolved,
CMP00000272,C0000345,04-03-2021,Customer Service,Major,Resolved,05-03-2021
CMP00000273,C0000350,09-11-2017,Data Speed,Moderate,Unresolved,
CMP00000274,C0000350,10-08-2020,Wrongful Charge,Moderate,Resolved,17-08-2020
CMP00000275,C0000352,02-10-2018,Recharge Not Credited,Minor,Unresolved,
CMP00000276,C0000352,05-04-2014,Customer Service,Moderate,Unresolved,
CMP00000277,C0000355,10-08-2017,Billing Error,Major,Resolved,17-08-2017
CMP00000278,C0000356,19-05-2024,Wrongful Charge,Minor,Unresolved,
CMP00000279,C0000357,14-11-2021,Wrongful Charge,Moderate,Unresolved,
CMP00000280,C0000357,10-03-2020,Customer Service,Moderate,Resolved,15-03-2020
CMP00000281,C0000360,30-01-2024,Wrongful Charge,Severe,Resolved,30-01-2024
CMP00000282,C0000361,13-05-2014,Customer Service,Major,Unresolved,
CMP00000283,C0000362,15-03-2020,Service Quality,Minor,Resolved,21-03-2020
CMP00000284,C0000363,26-05-2014,Data Speed,Moderate,Resolved,03-06-2014
CMP00000285,C0000363,11-07-2023,Customer Service,Major,Resolved,21-07-2023
CMP00000286,C0000365,09-09-2018,Billing Error,Moderate,Unresolved,
CMP00000287,C0000366,12-05-2025,Data Speed,Minor,Unresolved,
CMP00000288,C0000366,08-09-2025,Data Speed,Minor,Resolved,12-09-2025
CMP00000289,C0000366,02-01-2024,Connection Down,Major,Resolved,06-01-2024
CMP00000290,C0000367,07-01-2026,Billing Error,Moderate,Resolved,12-01-2026
CMP00000291,C0000369,04-10-2018,Wrongful Charge,Major,Unresolved,
CMP00000292,C0000376,17-01-2014,Customer Service,Major,Unresolved,
CMP00000293,C0000378,16-01-2018,Network Coverage,Moderate,Resolved,21-01-2018
CMP00000294,C0000379,21-11-2023,Service Quality,Moderate,Unresolved,
CMP00000295,C0000381,10-08-2015,Service Quality,Major,Resolved,17-08-2015
CMP00000296,C0000383,25-04-2022,Service Quality,Moderate,Unresolved,
CMP00000297,C0000383,18-04-2014,Network Coverage,Major,Unresolved,
CMP00000298,C0000383,13-01-2022,Network Coverage,Major,Resolved,21-01-2022
CMP00000299,C0000385,22-09-2015,Recharge Not Credited,Severe,Resolved,25-09-2015
CMP00000300,C0000385,27-04-2025,Service Quality,Moderate,Resolved,01-05-2025
CMP00000301,C0000388,20-08-2022,Network Coverage,Moderate,Resolved,29-08-2022
CMP00000302,C0000390,29-06-2022,Connection Down,Major,Resolved,04-07-2022
CMP00000303,C0000391,16-10-2020,Wrongful Charge,Moderate,Unresolved,
CMP00000304,C0000391,04-12-2022,Billing Error,Moderate,Resolved,06-12-2022
CMP00000305,C0000391,04-07-2025,Connection Down,Minor,Resolved,04-07-2025
CMP00000306,C0000393,14-06-2025,Data Speed,Minor,Resolved,23-06-2025
CMP00000307,C0000394,08-11-2019,Recharge Not Credited,Minor,Resolved,10-11-2019
CMP00000308,C0000395,14-10-2015,Recharge Not Credited,Moderate,Unresolved,
CMP00000309,C0000395,24-06-2016,Network Coverage,Severe,Resolved,27-06-2016
CMP00000310,C0000397,25-04-2021,Connection Down,Severe,Unresolved,
CMP00000311,C0000397,28-08-2023,Network Coverage,Severe,Unresolved,
CMP00000312,C0000398,04-05-2016,Recharge Not Credited,Minor,Resolved,14-05-2016
CMP00000313,C0000399,06-09-2018,Connection Down,Minor,Unresolved,
CMP00000314,C0000399,25-10-2021,Recharge Not Credited,Minor,Unresolved,
CMP00000315,C0000399,03-03-2015,Billing Error,Moderate,Resolved,07-03-2015
CMP00000316,C0000399,20-03-2016,Billing Error,Moderate,Resolved,24-03-2016
CMP00000317,C0000400,28-10-2019,Service Quality,Severe,Unresolved,
CMP00000318,C0000400,22-03-2016,Data Speed,Moderate,Resolved,26-03-2016
CMP00000319,C0000401,20-02-2014,Connection Down,Severe,Resolved,24-02-2014
CMP00000320,C0000402,05-04-2018,Customer Service,Moderate,Unresolved,
CMP00000321,C0000403,10-04-2017,Customer Service,Minor,Unresolved,
CMP00000322,C0000403,24-02-2021,Data Speed,Minor,Resolved,27-02-2021
CMP00000323,C0000404,25-06-2014,Wrongful Charge,Severe,Unresolved,
CMP00000324,C0000405,17-01-2024,Customer Service,Minor,Unresolved,
CMP00000325,C0000405,25-02-2026,Wrongful Charge,Moderate,Resolved,28-02-2026
CMP00000326,C0000406,01-05-2020,Data Speed,Moderate,Unresolved,
CMP00000327,C0000407,31-12-2015,Billing Error,Major,Unresolved,
CMP00000328,C0000409,12-12-2021,Billing Error,Major,Unresolved,
CMP00000329,C0000409,26-03-2025,Wrongful Charge,Major,Resolved,30-03-2025
CMP00000330,C0000409,12-04-2019,Customer Service,Major,Resolved,19-04-2019
CMP00000331,C0000411,16-05-2017,Customer Service,Severe,Resolved,22-05-2017
CMP00000332,C0000411,04-12-2022,Service Quality,Major,Resolved,09-12-2022
CMP00000333,C0000412,24-03-2025,Customer Service,Moderate,Resolved,31-03-2025
CMP00000334,C0000414,08-02-2018,Billing Error,Moderate,Resolved,10-02-2018
CMP00000335,C0000416,10-01-2025,Data Speed,Moderate,Unresolved,
CMP00000336,C0000419,18-05-2020,Recharge Not Credited,Moderate,Resolved,26-05-2020
CMP00000337,C0000420,09-04-2021,Data Speed,Severe,Resolved,12-04-2021
CMP00000338,C0000423,26-10-2018,Customer Service,Major,Resolved,27-10-2018
CMP00000339,C0000424,27-05-2022,Network Coverage,Moderate,Unresolved,
CMP00000340,C0000424,13-05-2025,Wrongful Charge,Minor,Resolved,19-05-2025
CMP00000341,C0000426,13-07-2021,Network Coverage,Minor,Unresolved,
CMP00000342,C0000426,15-07-2017,Customer Service,Major,Resolved,19-07-2017
CMP00000343,C0000428,01-04-2019,Service Quality,Severe,Resolved,05-04-2019
CMP00000344,C0000428,30-11-2025,Service Quality,Severe,Resolved,10-12-2025
CMP00000345,C0000436,01-07-2018,Connection Down,Moderate,Resolved,03-07-2018
CMP00000346,C0000437,09-10-2016,Billing Error,Moderate,Unresolved,
CMP00000347,C0000437,25-01-2019,Connection Down,Major,Unresolved,
CMP00000348,C0000440,02-01-2023,Service Quality,Minor,Resolved,09-01-2023
CMP00000349,C0000442,06-08-2022,Data Speed,Minor,Unresolved,
