feedback_id,customer_id,feedback_date,csat_score,nps_score,channel,feedback_category
FB00000157,C0000109,25-12-2014,3,6,IVR Survey,Billing
FB00000158,C0000109,22-03-2026,3,8,IVR Survey,Overall Experience
FB00000159,C0000110,13-09-2023,4,6,SMS Survey,Support
FB00000160,C0000110,18-05-2014,3,7,App Rating,App Experience
FB00000161,C0000111,19-08-2017,4,10,IVR Survey,Pricing
FB00000162,C0000111,26-01-2016,4,9,Call Centre,Support
FB00000163,C0000112,18-07-2014,4,5,SMS Survey,Billing
FB00000164,C0000112,23-04-2016,3,4,SMS Survey,Network
FB00000165,C0000113,28-04-2024,5,8,App Rating,Overall Experience
FB00000166,C0000113,04-08-2018,4,8,IVR Survey,Network
FB00000167,C0000114,25-10-2019,5,7,Email Survey,App Experience
FB00000168,C0000115,17-01-2019,5,8,SMS Survey,Overall Experience
FB00000169,C0000115,28-12-2022,5,10,IVR Survey,App Experience
FB00000170,C0000116,19-12-2025,3,3,SMS Survey,Pricing
FB00000171,C0000117,30-10-2023,3,6,SMS Survey,Support
FB00000172,C0000117,11-07-2015,3,6,Email Survey,Network
FB00000173,C0000118,25-09-2023,4,5,App Rating,Pricing
FB00000174,C0000119,31-12-2016,5,6,App Rating,Overall Experience
FB00000175,C0000119,20-04-2015,4,5,Email Survey,App Experience
FB00000176,C0000120,27-04-2024,2,6,Call Centre,Network
FB00000177,C0000120,09-03-2019,2,5,Email Survey,Billing
FB00000178,C0000120,14-10-2025,4,4,SMS Survey,Billing
FB00000179,C0000121,28-05-2017,2,4,Call Centre,Network
FB00000180,C0000121,04-09-2025,2,4,IVR Survey,Overall Experience
FB00000181,C0000122,17-01-2019,3,6,App Rating,Support
FB00000182,C0000122,29-04-2015,3,5,Email Survey,Pricing
FB00000183,C0000123,25-11-2020,3,9,SMS Survey,Overall Experience
FB00000184,C0000124,08-09-2019,2,5,Call Centre,Network
FB00000185,C0000124,28-08-2014,2,5,Email Survey,Network
FB00000186,C0000125,18-08-2015,5,9,IVR Survey,Network
FB00000187,C0000130,05-01-2021,3,7,SMS Survey,App Experience
FB00000188,C0000130,08-08-2025,3,8,SMS Survey,Billing
FB00000189,C0000130,13-08-2020,3,7,App Rating,Support
FB00000190,C0000131,15-07-2016,4,5,IVR Survey,Network
FB00000191,C0000132,29-08-2019,5,9,Call Centre,Billing
FB00000192,C0000133,28-12-2017,3,2,SMS Survey,App Experience
FB00000193,C0000133,20-10-2022,1,2,SMS Survey,Overall Experience
FB00000194,C0000135,04-06-2024,2,3,SMS Survey,Support
FB00000195,C0000135,26-02-2025,1,2,IVR Survey,Network
FB00000196,C0000136,05-10-2015,4,4,Call Centre,Billing
FB00000197,C0000136,12-09-2015,2,5,Email Survey,Network
FB00000198,C0000139,28-07-2020,4,6,App Rating,Support
FB00000199,C0000139,18-12-2016,5,5,Email Survey,Network
FB00000200,C0000139,02-05-2024,4,6,Email Survey,Overall Experience
FB00000201,C0000140,03-04-2017,4,9,SMS Survey,Overall Experience
FB00000202,C0000140,10-09-2014,4,10,Call Centre,App Experience
FB00000203,C0000140,24-03-2017,5,10,Call Centre,Support
FB00000204,C0000140,19-07-2023,3,10,Call Centre,Network
FB00000205,C0000140,08-11-2023,3,9,App Rating,App Experience
FB00000206,C0000140,18-01-2022,4,10,IVR Survey,Billing
FB00000207,C0000140,27-08-2024,3,8,IVR Survey,Support
FB00000208,C0000142,22-07-2022,4,7,SMS Survey,Overall Experience
FB00000209,C0000142,05-02-2025,4,6,App Rating,Support
FB00000210,C0000145,13-11-2015,4,4,SMS Survey,App Experience
FB00000211,C0000145,07-12-2016,2,4,Email Survey,Pricing
FB00000212,C0000145,05-04-2023,4,6,Call Centre,Overall Experience
FB00000213,C0000146,14-01-2022,4,7,Email Survey,Support
FB00000214,C0000146,09-02-2018,4,7,Email Survey,Billing
FB00000215,C0000147,28-12-2023,2,3,Email Survey,Pricing
FB00000216,C0000147,09-10-2021,2,3,IVR Survey,Billing
FB00000217,C0000147,01-01-2016,3,1,SMS Survey,Pricing
FB00000218,C0000147,14-07-2017,1,1,SMS Survey,Billing
FB00000219,C0000148,29-04-2019,2,8,Email Survey,Support
FB00000220,C0000148,31-08-2015,3,8,Email Survey,App Experience
FB00000221,C0000149,28-02-2016,2,6,App Rating,App Experience
FB00000222,C0000150,21-02-2017,3,6,Email Survey,Support
FB00000223,C0000150,08-09-2022,5,5,SMS Survey,Support
FB00000224,C0000150,21-03-2022,4,6,SMS Survey,Overall Experience
FB00000225,C0000151,04-04-2019,2,3,IVR Survey,Overall Experience
FB00000226,C0000151,20-05-2024,3,3,Email Survey,Billing
FB00000227,C0000152,17-04-2015,3,3,Call Centre,Billing
FB00000228,C0000153,15-12-2016,3,8,SMS Survey,Support
FB00000229,C0000154,22-02-2025,2,6,Email Survey,App Experience
FB00000230,C0000154,05-12-2019,3,5,Email Survey,Network
FB00000231,C0000154,11-01-2021,4,6,Call Centre,Billing
FB00000232,C0000157,02-07-2021,5,10,IVR Survey,Billing
FB00000233,C0000158,09-06-2022,3,7,Call Centre,Pricing
FB00000234,C0000158,30-01-2020,4,6,App Rating,Billing
FB00000235,C0000158,14-08-2019,4,6,SMS Survey,Support
FB00000236,C0000159,09-07-2014,5,8,Email Survey,Overall Experience
FB00000237,C0000161,19-07-2024,1,3,Email Survey,App Experience
FB00000238,C0000161,05-11-2025,1,5,Email Survey,Billing
FB00000239,C0000161,25-02-2021,3,5,Email Survey,Billing
FB00000240,C0000161,10-12-2022,3,5,Email Survey,Pricing
FB00000241,C0000162,11-10-2018,2,5,Call Centre,Overall Experience
FB00000242,C0000162,29-01-2018,4,5,IVR Survey,Network
FB00000243,C0000164,06-10-2016,2,2,Email Survey,Billing
FB00000244,C0000164,03-05-2024,3,3,IVR Survey,Pricing
FB00000245,C0000164,21-12-2017,2,3,App Rating,Billing
FB00000246,C0000165,08-11-2017,3,3,Email Survey,Support
FB00000247,C0000167,03-03-2025,2,5,Email Survey,Network
FB00000248,C0000168,12-04-2014,4,5,SMS Survey,Pricing
FB00000249,C0000168,25-02-2018,2,5,SMS Survey,Billing
FB00000250,C0000169,19-02-2026,4,8,SMS Survey,Support
FB00000251,C0000169,16-08-2019,4,8,Email Survey,Billing
FB00000252,C0000170,01-11-2017,3,4,Call Centre,Overall Experience
FB00000253,C0000170,18-03-2018,2,3,App Rating,Support
FB00000254,C0000171,23-11-2024,2,5,Email Survey,Support
FB00000255,C0000171,05-12-2023,3,4,Email Survey,Pricing
FB00000256,C0000172,07-12-2019,1,0,Email Survey,Support
FB00000257,C0000172,16-04-2025,1,2,Call Centre,Support
FB00000258,C0000173,23-11-2022,1,2,IVR Survey,Overall Experience
FB00000259,C0000173,28-02-2016,3,2,Call Centre,App Experience
FB00000260,C0000174,28-11-2015,3,4,IVR Survey,Overall Experience
FB00000261,C0000174,10-08-2014,2,4,App Rating,Pricing
FB00000262,C0000175,01-08-2022,2,7,App Rating,Overall Experience
FB00000263,C0000176,02-10-2025,4,6,Call Centre,Support
FB00000264,C0000178,30-09-2025,1,3,App Rating,Pricing
FB00000265,C0000178,09-05-2020,2,2,SMS Survey,Pricing
FB00000266,C0000179,01-02-2018,1,2,Email Survey,Pricing
FB00000267,C0000180,18-05-2022,3,9,App Rating,Overall Experience
FB00000268,C0000180,12-04-2014,3,10,App Rating,Billing
FB00000269,C0000180,11-01-2025,3,10,IVR Survey,Overall Experience
FB00000270,C0000180,05-11-2023,5,9,SMS Survey,Pricing
FB00000271,C0000180,09-06-2020,5,9,Email Survey,App Experience
FB00000272,C0000181,24-03-2022,3,6,App Rating,Billing
FB00000273,C0000181,01-10-2023,4,5,Email Survey,Network
FB00000274,C0000182,16-10-2020,4,8,SMS Survey,Billing
FB00000275,C0000182,29-03-2014,3,7,SMS Survey,Billing
FB00000276,C0000183,25-06-2022,2,4,Email Survey,Support
FB00000277,C0000183,29-01-2015,2,4,IVR Survey,Billing
FB00000278,C0000183,28-07-2014,2,2,Email Survey,Pricing
FB00000279,C0000184,15-08-2017,3,5,Call Centre,Pricing
FB00000280,C0000185,17-06-2024,5,10,Call Centre,App Experience
FB00000281,C0000185,07-01-2026,5,10,Call Centre,Billing
FB00000282,C0000185,11-10-2020,5,10,App Rating,Support
FB00000283,C0000186,07-04-2014,3,0,SMS Survey,Billing
FB00000284,C0000186,16-07-2021,3,0,Email Survey,Billing
FB00000285,C0000189,22-07-2022,4,7,Call Centre,App Experience
FB00000286,C0000189,04-04-2016,3,6,Call Centre,Support
FB00000287,C0000190,15-02-2016,5,7,IVR Survey,Overall Experience
FB00000288,C0000190,12-12-2021,4,5,Email Survey,Pricing
FB00000289,C0000191,09-02-2016,3,4,App Rating,App Experience
FB00000290,C0000191,25-02-2017,4,5,Call Centre,App Experience
FB00000291,C0000191,22-03-2014,3,5,App Rating,Support
FB00000292,C0000191,21-10-2019,2,5,Email Survey,Overall Experience
FB00000293,C0000191,29-07-2014,3,3,Call Centre,Pricing
FB00000294,C0000192,16-01-2021,1,2,SMS Survey,App Experience
FB00000295,C0000193,16-10-2019,2,5,Call Centre,Network
FB00000296,C0000193,22-03-2019,3,6,IVR Survey,Support
FB00000297,C0000194,12-03-2024,3,7,SMS Survey,Network
FB00000298,C0000194,09-07-2023,5,7,Email Survey,Overall Experience
FB00000299,C0000195,10-01-2024,3,4,Call Centre,Overall Experience
FB00000300,C0000196,26-05-2023,4,6,SMS Survey,Overall Experience
FB00000301,C0000197,28-04-2024,1,1,Call Centre,Support
FB00000302,C0000197,18-05-2017,1,0,IVR Survey,Overall Experience
FB00000303,C0000197,29-01-2024,2,0,IVR Survey,Pricing
FB00000304,C0000197,25-03-2024,1,0,SMS Survey,Support
FB00000305,C0000197,04-01-2024,1,0,IVR Survey,App Experience
FB00000306,C0000198,08-07-2023,4,4,Email Survey,Pricing
FB00000307,C0000198,02-09-2019,3,4,SMS Survey,App Experience
FB00000308,C0000199,18-06-2019,4,7,App Rating,App Experience
FB00000309,C0000201,23-01-2016,3,7,SMS Survey,Billing
FB00000310,C0000202,29-08-2015,3,8,SMS Survey,Network
FB00000311,C0000203,22-09-2024,3,2,App Rating,App Experience
FB00000312,C0000206,24-03-2015,2,7,Email Survey,Network
FB00000313,C0000207,31-03-2020,4,9,IVR Survey,App Experience
FB00000314,C0000207,20-07-2024,3,8,Call Centre,App Experience
FB00000315,C0000207,15-11-2022,4,9,App Rating,Pricing
FB00000316,C0000208,19-08-2023,3,5,Call Centre,App Experience
FB00000317,C0000209,24-01-2025,1,6,IVR Survey,Pricing
FB00000318,C0000210,10-05-2020,2,4,Email Survey,Overall Experience
FB00000319,C0000210,25-03-2020,2,3,SMS Survey,Billing
FB00000320,C0000211,17-02-2025,5,9,App Rating,Network
FB00000321,C0000212,17-04-2020,5,8,SMS Survey,Network
FB00000322,C0000214,28-03-2024,1,4,IVR Survey,Support
FB00000323,C0000214,25-06-2015,3,3,Call Centre,Overall Experience
FB00000324,C0000214,31-03-2019,2,3,Email Survey,Support
FB00000325,C0000215,29-01-2015,4,5,SMS Survey,Support
FB00000326,C0000215,03-10-2016,4,6,Call Centre,App Experience
FB00000327,C0000216,19-09-2022,2,7,Call Centre,Billing
FB00000328,C0000216,20-08-2018,4,6,App Rating,Pricing
FB00000329,C0000217,20-12-2020,5,8,App Rating,Support
FB00000330,C0000217,01-08-2025,5,9,SMS Survey,Billing
FB00000331,C0000218,03-05-2023,5,7,Email Survey,Overall Experience
FB00000332,C0000219,27-04-2016,4,5,App Rating,Overall Experience
FB00000333,C0000219,21-07-2023,3,4,Call Centre,Support
FB00000334,C0000219,30-11-2014,3,3,Call Centre,Billing
FB00000335,C0000220,21-03-2014,2,4,SMS Survey,Overall Experience
FB00000336,C0000222,10-10-2015,1,0,App Rating,Pricing
FB00000337,C0000222,22-10-2020,2,0,Call Centre,Billing
FB00000338,C0000222,08-01-2017,1,2,Call Centre,Pricing
FB00000339,C0000223,30-05-2025,3,7,App Rating,Support
FB00000340,C0000224,04-04-2019,2,3,Call Centre,Pricing
FB00000341,C0000224,31-10-2014,1,4,Email Survey,App Experience
FB00000342,C0000225,13-07-2015,4,10,IVR Survey,App Experience
FB00000343,C0000225,27-03-2015,3,8,IVR Survey,App Experience
FB00000344,C0000226,05-09-2019,3,7,Email Survey,Billing
FB00000345,C0000227,20-03-2017,1,5,IVR Survey,Support
FB00000346,C0000227,07-10-2023,3,4,IVR Survey,Pricing
FB00000347,C0000227,23-02-2017,2,6,SMS Survey,Support
FB00000348,C0000227,29-01-2019,3,5,App Rating,Network
FB00000349,C0000228,21-01-2025,2,6,Call Centre,Network
FB00000350,C0000228,20-05-2015,2,4,Call Centre,Overall Experience
FB00000351,C0000229,07-04-2015,5,10,Email Survey,Pricing
FB00000352,C0000229,21-06-2025,5,10,Call Centre,Support
FB00000353,C0000230,12-05-2024,4,7,Call Centre,Overall Experience
FB00000354,C0000231,21-07-2018,4,4,Email Survey,Overall Experience
FB00000355,C0000231,06-05-2024,2,5,IVR Survey,Billing
FB00000356,C0000232,29-10-2025,4,3,Call Centre,Billing
FB00000357,C0000234,21-01-2014,5,7,App Rating,Pricing
FB00000358,C0000235,28-09-2022,3,4,SMS Survey,Billing
FB00000359,C0000236,26-04-2024,4,8,App Rating,Support
FB00000360,C0000237,07-06-2019,3,9,Call Centre,Overall Experience
FB00000361,C0000238,22-11-2016,3,7,Email Survey,App Experience
FB00000362,C0000238,28-10-2023,5,8,App Rating,App Experience
FB00000363,C0000240,05-05-2022,5,8,SMS Survey,Billing
FB00000364,C0000240,15-05-2020,3,8,Email Survey,Billing
FB00000365,C0000240,28-05-2014,3,9,App Rating,App Experience
FB00000366,C0000240,31-05-2017,5,8,SMS Survey,Pricing
FB00000367,C0000242,30-11-2025,2,6,App Rating,Support
FB00000368,C0000243,09-10-2014,2,8,SMS Survey,App Experience
FB00000369,C0000244,20-12-2025,2,7,SMS Survey,Overall Experience
FB00000370,C0000244,22-03-2023,2,7,Call Centre,Support
FB00000371,C0000244,10-05-2022,2,7,SMS Survey,App Experience
FB00000372,C0000245,22-09-2025,5,9,SMS Survey,Network
FB00000373,C0000246,30-12-2024,1,3,Call Centre,Pricing
FB00000374,C0000247,30-03-2017,2,7,Email Survey,Billing
FB00000375,C0000247,31-03-2021,4,6,Call Centre,Network
FB00000376,C0000248,12-05-2017,3,6,SMS Survey,App Experience
FB00000377,C0000248,21-01-2020,2,4,Email Survey,Billing
FB00000378,C0000249,31-08-2015,3,5,Call Centre,Pricing
FB00000379,C0000249,07-03-2023,3,4,SMS Survey,App Experience
FB00000380,C0000249,08-10-2015,3,4,Email Survey,Billing
FB00000381,C0000251,12-05-2015,1,6,App Rating,Network
FB00000382,C0000251,19-08-2025,1,4,Email Survey,App Experience
FB00000383,C0000251,05-09-2022,2,6,IVR Survey,Pricing
FB00000384,C0000253,25-09-2016,2,6,Call Centre,Support
FB00000385,C0000253,13-12-2022,3,7,IVR Survey,Pricing
FB00000386,C0000253,10-11-2020,3,6,SMS Survey,Overall Experience
FB00000387,C0000254,29-11-2023,3,8,SMS Survey,Support
FB00000388,C0000254,10-12-2014,4,7,App Rating,Support
FB00000389,C0000256,24-06-2015,3,8,SMS Survey,App Experience
FB00000390,C0000257,05-10-2024,5,9,Email Survey,App Experience
FB00000391,C0000259,03-11-2021,2,6,IVR Survey,Billing
FB00000392,C0000259,06-09-2016,2,6,SMS Survey,App Experience
FB00000393,C0000260,10-02-2025,3,0,SMS Survey,Network
FB00000394,C0000260,15-07-2022,1,2,App Rating,Pricing
FB00000395,C0000260,01-01-2020,3,0,IVR Survey,Overall Experience
FB00000396,C0000261,29-04-2022,3,7,Email Survey,App Experience
FB00000397,C0000261,17-03-2017,5,8,Email Survey,Pricing
FB00000398,C0000261,02-05-2017,3,8,App Rating,Overall Experience
FB00000399,C0000262,22-01-2015,2,5,Call Centre,Overall Experience
FB00000400,C0000263,24-03-2022,3,8,IVR Survey,App Experience
FB00000401,C0000264,08-03-2021,3,5,IVR Survey,Network
FB00000402,C0000264,27-09-2024,2,6,IVR Survey,Billing
FB00000403,C0000265,13-12-2019,4,8,SMS Survey,Support
FB00000404,C0000265,11-05-2021,4,9,App Rating,Overall Experience
FB00000405,C0000266,28-09-2022,3,5,App Rating,Pricing
FB00000406,C0000267,26-02-2026,1,2,SMS Survey,Overall Experience
FB00000407,C0000267,10-01-2017,1,0,App Rating,Overall Experience
FB00000408,C0000268,30-05-2021,3,3,SMS Survey,Overall Experience
FB00000409,C0000268,30-01-2019,3,3,IVR Survey,Support
FB00000410,C0000268,06-04-2022,1,4,Call Centre,Overall Experience
FB00000411,C0000270,19-06-2018,3,9,IVR Survey,Support
FB00000412,C0000270,01-03-2024,3,8,Call Centre,Pricing
FB00000413,C0000271,06-12-2020,3,7,Email Survey,Pricing
FB00000414,C0000274,20-07-2019,3,2,IVR Survey,Support
FB00000415,C0000275,15-02-2026,3,6,IVR Survey,App Experience
FB00000416,C0000275,04-09-2015,4,7,Email Survey,Network
FB00000417,C0000276,02-09-2023,3,3,Email Survey,Support
FB00000418,C0000276,22-11-2020,3,4,IVR Survey,Overall Experience
FB00000419,C0000276,01-09-2018,3,5,SMS Survey,Network
FB00000420,C0000278,05-02-2020,4,7,Email Survey,Support
FB00000421,C0000279,13-06-2024,5,9,SMS Survey,Overall Experience
FB00000422,C0000281,10-05-2024,2,4,Email Survey,Pricing
FB00000423,C0000281,02-10-2022,2,3,Email Survey,App Experience
FB00000424,C0000282,15-02-2026,4,5,App Rating,Support
FB00000425,C0000282,17-01-2016,3,3,IVR Survey,Overall Experience
