payment_id,invoice_id,customer_id,payment_date,amount_inr,payment_method,payment_status
PAY00000090,INV00000117,C0000029,16-09-2025,4855.3,UPI,Success
PAY00000091,INV00000118,C0000029,06-08-2025,4767.48,Credit Card,Success
PAY00000092,INV00000119,C0000029,20-08-2025,5536.85,Wallet,Success
PAY00000093,INV00000120,C0000029,09-06-2025,4464.47,Auto Debit,Success
PAY00000094,INV00000121,C0000029,05-05-2025,4691.74,UPI,Success
PAY00000095,INV00000122,C0000030,22-05-2026,699.87,RTGS,Success
PAY00000096,INV00000123,C0000030,01-03-2026,691.01,UPI,Success
PAY00000097,INV00000124,C0000030,13-02-2026,767.71,UPI,Success
PAY00000098,INV00000125,C0000030,02-01-2026,726.51,Credit Card,Success
PAY00000099,INV00000126,C0000030,08-12-2025,629.09,Auto Debit,Success
PAY00000100,INV00000127,C0000030,09-11-2025,682.15,Wallet,Success
PAY00000101,INV00000128,C0000030,12-10-2025,663.51,UPI,Success
PAY00000102,INV00000129,C0000030,05-09-2025,737.96,UPI,Success
PAY00000103,INV00000130,C0000030,16-08-2025,710.24,UPI,Success
PAY00000104,INV00000131,C0000030,06-07-2025,697.24,UPI,Success
PAY00000105,INV00000133,C0000030,07-05-2025,695.72,UPI,Success
PAY00000106,INV00000135,C0000033,05-03-2026,1076.31,Auto Debit,Success
PAY00000107,INV00000136,C0000033,30-01-2026,1093.84,UPI,Success
PAY00000108,INV00000137,C0000033,12-01-2026,986.1,Debit Card,Success
PAY00000109,INV00000139,C0000033,13-11-2025,1120.21,UPI,Success
PAY00000110,INV00000141,C0000033,16-09-2025,1112.1,Wallet,Success
PAY00000111,INV00000143,C0000033,15-07-2025,1104.73,UPI,Success
PAY00000112,INV00000147,C0000035,11-04-2026,1108.57,UPI,Success
PAY00000113,INV00000148,C0000035,28-03-2026,1164.03,Debit Card,Success
PAY00000114,INV00000149,C0000035,01-01-2026,1192.72,UPI,Success
PAY00000115,INV00000151,C0000035,12-11-2025,1142.9,UPI,Success
PAY00000116,INV00000152,C0000035,28-11-2025,1136.72,UPI,Success
PAY00000117,INV00000153,C0000035,21-10-2025,1102.73,IMPS,Success
PAY00000118,INV00000154,C0000035,08-08-2025,1175.96,UPI,Success
PAY00000119,INV00000156,C0000035,07-06-2025,1257.22,Credit Card,Success
PAY00000120,INV00000157,C0000035,12-05-2025,1172.72,Cash,Success
PAY00000121,INV00000158,C0000036,14-04-2026,1086.45,UPI,Success
PAY00000122,INV00000160,C0000036,03-02-2026,1263.33,UPI,Success
PAY00000123,INV00000161,C0000036,03-01-2026,1046.38,UPI,Success
PAY00000124,INV00000162,C0000036,04-12-2025,1241.9,Auto Debit,Success
PAY00000125,INV00000163,C0000036,07-11-2025,1245.32,Credit Card,Success
PAY00000126,INV00000164,C0000036,11-10-2025,1076.81,Debit Card,Success
PAY00000127,INV00000165,C0000036,15-09-2025,1127.19,Wallet,Success
PAY00000128,INV00000166,C0000036,03-08-2025,1131.08,UPI,Success
PAY00000129,INV00000167,C0000036,22-08-2025,1287.96,UPI,Success
PAY00000130,INV00000168,C0000036,06-06-2025,1146.98,UPI,Success
PAY00000131,INV00000169,C0000036,09-05-2025,1168.92,Debit Card,Success
PAY00000132,INV00000170,C0000037,20-04-2026,1595.12,Debit Card,Success
PAY00000133,INV00000171,C0000037,13-03-2026,1687.98,UPI,Success
PAY00000134,INV00000172,C0000037,10-02-2026,1550.04,Wallet,Success
PAY00000135,INV00000173,C0000037,02-01-2026,1564.69,UPI,Success
PAY00000136,INV00000174,C0000037,22-01-2026,1545.49,RTGS,Success
PAY00000137,INV00000175,C0000037,13-11-2025,1442.55,UPI,Success
PAY00000138,INV00000176,C0000037,11-10-2025,1439.1,Wallet,Success
PAY00000139,INV00000177,C0000037,03-09-2025,1514.36,UPI,Success
PAY00000140,INV00000178,C0000037,15-08-2025,1417.66,UPI,Success
PAY00000141,INV00000179,C0000037,06-07-2025,1423.14,UPI,Success
PAY00000142,INV00000181,C0000037,19-05-2025,1665.16,UPI,Success
PAY00000143,INV00000182,C0000038,05-04-2026,922.76,UPI,Success
PAY00000144,INV00000183,C0000038,06-03-2026,798.92,UPI,Success
PAY00000145,INV00000184,C0000038,11-02-2026,699.41,Debit Card,Success
PAY00000146,INV00000185,C0000038,23-01-2026,808.31,Net Banking,Success
PAY00000147,INV00000186,C0000038,08-12-2025,867.22,Debit Card,Success
PAY00000148,INV00000187,C0000038,04-11-2025,861.27,UPI,Success
PAY00000149,INV00000188,C0000038,08-10-2025,794.93,UPI,Success
PAY00000150,INV00000190,C0000038,19-08-2025,862.93,UPI,Success
PAY00000151,INV00000191,C0000038,06-07-2025,786.82,UPI,Success
PAY00000152,INV00000192,C0000038,09-06-2025,794.09,Credit Card,Success
PAY00000153,INV00000193,C0000038,17-05-2025,866.04,Credit Card,Success
PAY00000154,INV00000196,C0000039,03-02-2026,1227.9,UPI,Success
PAY00000155,INV00000197,C0000039,09-01-2026,1157.11,Net Banking,Success
PAY00000156,INV00000198,C0000039,06-12-2025,1180.64,UPI,Success
PAY00000157,INV00000199,C0000039,01-12-2025,1182.94,Wallet,Success
PAY00000158,INV00000200,C0000039,02-10-2025,1174.88,UPI,Success
PAY00000159,INV00000201,C0000039,24-10-2025,1231.98,UPI,Success
PAY00000160,INV00000203,C0000039,10-07-2025,1252.97,Cash,Success
PAY00000161,INV00000204,C0000039,04-07-2025,1087.91,Auto Debit,Success
PAY00000162,INV00000205,C0000039,29-06-2025,1230.03,UPI,Success
PAY00000163,INV00000207,C0000042,12-03-2026,1212.72,NEFT,Success
PAY00000164,INV00000209,C0000042,01-02-2026,1101.51,Credit Card,Success
PAY00000165,INV00000211,C0000042,09-11-2025,1286.66,Credit Card,Success
PAY00000166,INV00000212,C0000042,14-10-2025,1120.42,Credit Card,Success
PAY00000167,INV00000213,C0000042,16-10-2025,1130.86,UPI,Success
PAY00000168,INV00000214,C0000042,03-09-2025,1048.68,Debit Card,Success
PAY00000169,INV00000216,C0000042,27-07-2025,1279.17,UPI,Success
PAY00000170,INV00000217,C0000042,16-05-2025,1130.45,UPI,Success
PAY00000171,INV00000218,C0000047,29-04-2026,1352.52,Auto Debit,Success
PAY00000172,INV00000219,C0000047,01-03-2026,1157.45,Wallet,Success
PAY00000173,INV00000220,C0000047,09-02-2026,1206.53,Cash,Success
PAY00000174,INV00000221,C0000047,14-01-2026,1176.35,Credit Card,Success
PAY00000175,INV00000222,C0000047,11-12-2025,1035.11,UPI,Success
PAY00000176,INV00000223,C0000047,23-11-2025,1198.64,RTGS,Success
PAY00000177,INV00000224,C0000047,02-10-2025,1118.68,Auto Debit,Success
PAY00000178,INV00000225,C0000047,09-10-2025,1218.85,UPI,Success
PAY00000179,INV00000227,C0000047,17-07-2025,1105.59,UPI,Success
PAY00000180,INV00000228,C0000047,28-06-2025,1112.82,UPI,Success
PAY00000181,INV00000229,C0000047,18-05-2025,1230.53,UPI,Success
PAY00000182,INV00000230,C0000048,06-02-2026,410.26,Wallet,Success
PAY00000183,INV00000232,C0000048,03-12-2025,405.25,UPI,Success
PAY00000184,INV00000233,C0000048,05-11-2025,396.49,Credit Card,Success
PAY00000185,INV00000235,C0000050,11-03-2026,5039.2,UPI,Success
PAY00000186,INV00000236,C0000050,08-02-2026,4859.84,Credit Card,Success
PAY00000187,INV00000237,C0000050,05-01-2026,4609.89,Net Banking,Success
PAY00000188,INV00000238,C0000050,11-12-2025,4881.9,Debit Card,Success
PAY00000189,INV00000239,C0000050,04-11-2025,4710.31,UPI,Success
PAY00000190,INV00000240,C0000050,20-10-2025,4355.39,UPI,Success
PAY00000191,INV00000241,C0000050,02-09-2025,4659.45,UPI,Success
PAY00000192,INV00000242,C0000050,09-08-2025,5149.14,UPI,Success
PAY00000193,INV00000243,C0000050,09-07-2025,4890.05,UPI,Success
PAY00000194,INV00000244,C0000050,12-06-2025,4906.36,Auto Debit,Success
PAY00000195,INV00000245,C0000050,13-05-2025,5585.27,UPI,Success
PAY00000196,INV00000246,C0000051,11-04-2026,667.01,IMPS,Success
PAY00000197,INV00000247,C0000051,18-04-2026,623.31,Credit Card,Success
PAY00000198,INV00000249,C0000051,14-02-2026,590.28,IMPS,Success
PAY00000199,INV00000250,C0000051,05-12-2025,628.85,UPI,Success
PAY00000200,INV00000251,C0000051,17-11-2025,608.53,Debit Card,Success
PAY00000201,INV00000252,C0000051,14-11-2025,556.11,UPI,Success
PAY00000202,INV00000253,C0000051,05-09-2025,532.22,Credit Card,Success
PAY00000203,INV00000255,C0000051,07-07-2025,615.12,Cash,Success
PAY00000204,INV00000256,C0000051,30-06-2025,595.22,UPI,Success
PAY00000205,INV00000257,C0000051,24-05-2025,628.72,UPI,Success
PAY00000206,INV00000258,C0000053,16-04-2026,1225.22,Auto Debit,Success
PAY00000207,INV00000259,C0000053,14-03-2026,1151.63,Cash,Success
PAY00000208,INV00000260,C0000053,04-03-2026,1038.61,IMPS,Success
PAY00000209,INV00000261,C0000053,03-01-2026,1308.97,UPI,Success
PAY00000210,INV00000262,C0000053,08-12-2025,1222.89,Auto Debit,Success
PAY00000211,INV00000263,C0000053,11-11-2025,1092.0,Wallet,Success
PAY00000212,INV00000264,C0000054,05-04-2026,4200.54,Debit Card,Success
PAY00000213,INV00000265,C0000054,03-03-2026,5265.77,UPI,Success
PAY00000214,INV00000266,C0000054,09-02-2026,4963.47,Wallet,Success
PAY00000215,INV00000267,C0000054,11-01-2026,4795.24,UPI,Success
PAY00000216,INV00000269,C0000054,07-11-2025,4813.57,UPI,Success
PAY00000217,INV00000270,C0000054,09-11-2025,4855.03,Credit Card,Success
PAY00000218,INV00000271,C0000054,02-09-2025,5069.73,NEFT,Success
PAY00000219,INV00000272,C0000054,07-08-2025,5237.96,UPI,Success
PAY00000220,INV00000273,C0000054,17-07-2025,4694.98,Net Banking,Success
PAY00000221,INV00000274,C0000054,08-06-2025,4950.12,Debit Card,Success
PAY00000222,INV00000275,C0000054,13-05-2025,5158.61,RTGS,Success
PAY00000223,INV00000276,C0000055,31-03-2026,663.48,UPI,Success
PAY00000224,INV00000278,C0000055,08-02-2026,583.51,IMPS,Success
PAY00000225,INV00000279,C0000055,08-01-2026,611.48,Credit Card,Success
PAY00000226,INV00000280,C0000055,16-01-2026,592.49,RTGS,Success
PAY00000227,INV00000281,C0000055,14-11-2025,635.62,Debit Card,Success
PAY00000228,INV00000282,C0000055,08-10-2025,600.23,Auto Debit,Success
PAY00000229,INV00000284,C0000055,25-09-2025,663.24,IMPS,Success
PAY00000230,INV00000285,C0000055,06-07-2025,586.63,UPI,Success
PAY00000231,INV00000286,C0000055,18-06-2025,534.15,Debit Card,Success
PAY00000232,INV00000287,C0000055,10-05-2025,598.47,UPI,Success
PAY00000233,INV00000288,C0000061,11-04-2026,5072.63,UPI,Success
PAY00000234,INV00000289,C0000061,05-03-2026,4725.53,UPI,Success
PAY00000235,INV00000290,C0000061,01-02-2026,4356.32,Credit Card,Success
PAY00000236,INV00000291,C0000061,23-01-2026,5116.14,Credit Card,Success
PAY00000237,INV00000292,C0000061,11-12-2025,4099.18,Net Banking,Success
PAY00000238,INV00000293,C0000061,13-11-2025,4475.32,UPI,Success
PAY00000239,INV00000294,C0000061,05-10-2025,4894.11,Debit Card,Success
PAY00000240,INV00000295,C0000061,28-09-2025,4917.69,IMPS,Success
PAY00000241,INV00000296,C0000061,14-08-2025,5238.98,Net Banking,Success
PAY00000242,INV00000297,C0000061,16-07-2025,4971.21,Debit Card,Success
PAY00000243,INV00000300,C0000064,21-06-2024,802.51,RTGS,Success
PAY00000244,INV00000301,C0000064,21-05-2024,774.15,UPI,Success
PAY00000245,INV00000302,C0000064,22-04-2024,878.19,Auto Debit,Success
PAY00000246,INV00000303,C0000064,11-03-2024,777.48,Debit Card,Success
PAY00000247,INV00000304,C0000064,15-02-2024,963.55,Credit Card,Success
PAY00000248,INV00000306,C0000064,21-12-2023,902.06,UPI,Success
PAY00000249,INV00000307,C0000064,19-12-2023,849.01,UPI,Success
PAY00000250,INV00000308,C0000064,03-12-2023,788.16,Cash,Success
PAY00000251,INV00000309,C0000064,16-09-2023,814.57,Net Banking,Success
PAY00000252,INV00000310,C0000064,16-08-2023,787.9,Credit Card,Success
PAY00000253,INV00000311,C0000064,30-07-2023,839.98,Credit Card,Success
PAY00000254,INV00000312,C0000066,25-09-2020,1430.77,IMPS,Success
PAY00000255,INV00000313,C0000069,07-04-2026,601.94,Wallet,Success
PAY00000256,INV00000314,C0000069,11-03-2026,609.89,Auto Debit,Success
PAY00000257,INV00000315,C0000069,13-02-2026,551.53,UPI,Success
PAY00000258,INV00000316,C0000069,03-01-2026,532.78,UPI,Success
PAY00000259,INV00000318,C0000069,06-12-2025,620.96,UPI,Success
PAY00000260,INV00000319,C0000069,08-10-2025,635.21,RTGS,Success
PAY00000261,INV00000320,C0000069,16-09-2025,587.38,Cash,Success
PAY00000262,INV00000321,C0000069,14-08-2025,595.3,UPI,Success
PAY00000263,INV00000322,C0000069,13-07-2025,586.26,Net Banking,Success
PAY00000264,INV00000323,C0000069,15-06-2025,574.55,Debit Card,Success
PAY00000265,INV00000324,C0000069,15-05-2025,601.28,Cash,Success
PAY00000266,INV00000325,C0000072,17-05-2026,4519.25,NEFT,Success
PAY00000267,INV00000326,C0000072,15-03-2026,5348.55,Credit Card,Success
PAY00000268,INV00000327,C0000072,03-02-2026,5125.5,UPI,Success
PAY00000269,INV00000328,C0000072,09-01-2026,5138.61,UPI,Success
PAY00000270,INV00000329,C0000072,15-12-2025,4840.5,Credit Card,Success
PAY00000271,INV00000330,C0000072,13-11-2025,4883.52,Wallet,Success
PAY00000272,INV00000332,C0000072,07-09-2025,4890.52,Debit Card,Success
PAY00000273,INV00000334,C0000072,20-08-2025,4401.16,Credit Card,Success
PAY00000274,INV00000335,C0000072,17-06-2025,5213.25,Net Banking,Success
PAY00000275,INV00000336,C0000072,09-05-2025,5138.56,Wallet,Success
PAY00000276,INV00000337,C0000073,01-04-2026,1449.93,NEFT,Success
PAY00000277,INV00000338,C0000073,17-04-2026,1356.43,Credit Card,Success
PAY00000278,INV00000339,C0000073,04-02-2026,1610.77,Net Banking,Success
PAY00000279,INV00000340,C0000073,14-01-2026,1547.13,RTGS,Success
PAY00000280,INV00000341,C0000073,06-12-2025,1531.1,Debit Card,Success
PAY00000281,INV00000342,C0000073,05-11-2025,1547.83,Credit Card,Success
PAY00000282,INV00000343,C0000073,07-10-2025,1619.05,Net Banking,Success
PAY00000283,INV00000344,C0000073,14-09-2025,1603.96,Net Banking,Success
PAY00000284,INV00000345,C0000073,16-08-2025,1423.08,RTGS,Success
PAY00000285,INV00000346,C0000073,31-08-2025,1529.11,UPI,Success
PAY00000286,INV00000347,C0000073,29-07-2025,1541.17,Debit Card,Success
PAY00000287,INV00000348,C0000073,09-05-2025,1593.37,NEFT,Success
PAY00000288,INV00000349,C0000074,04-04-2026,701.98,Net Banking,Success
PAY00000289,INV00000350,C0000074,08-03-2026,640.66,IMPS,Success
PAY00000290,INV00000351,C0000074,06-02-2026,717.79,NEFT,Success
PAY00000291,INV00000352,C0000074,12-01-2026,695.27,UPI,Success
PAY00000292,INV00000353,C0000074,08-12-2025,721.71,Wallet,Success
PAY00000293,INV00000354,C0000074,09-11-2025,726.84,Debit Card,Success
PAY00000294,INV00000355,C0000074,11-10-2025,723.49,Auto Debit,Success
PAY00000295,INV00000356,C0000074,12-09-2025,637.25,Net Banking,Success
PAY00000296,INV00000357,C0000074,04-08-2025,673.17,UPI,Success
PAY00000297,INV00000358,C0000074,19-08-2025,734.2,UPI,Success
PAY00000298,INV00000359,C0000074,05-06-2025,639.58,Debit Card,Success
PAY00000299,INV00000360,C0000074,14-05-2025,776.78,Cash,Success
PAY00000300,INV00000361,C0000076,04-04-2026,1089.95,Cash,Success
PAY00000301,INV00000362,C0000076,12-03-2026,1144.0,UPI,Success
PAY00000302,INV00000363,C0000076,03-02-2026,939.33,UPI,Success
PAY00000303,INV00000364,C0000076,12-01-2026,1055.57,UPI,Success
PAY00000304,INV00000365,C0000076,07-12-2025,1023.15,Credit Card,Success
PAY00000305,INV00000366,C0000076,04-11-2025,1001.69,Wallet,Success
PAY00000306,INV00000367,C0000076,05-10-2025,981.98,Net Banking,Success
PAY00000307,INV00000368,C0000076,30-10-2025,1108.48,UPI,Success
PAY00000308,INV00000370,C0000076,10-07-2025,1027.2,IMPS,Success
PAY00000309,INV00000371,C0000076,17-06-2025,1032.64,Net Banking,Success
PAY00000310,INV00000372,C0000076,16-06-2025,1125.71,UPI,Success
PAY00000311,INV00000373,C0000077,18-10-2014,597.26,UPI,Success
PAY00000312,INV00000374,C0000077,18-09-2014,572.24,Debit Card,Success
PAY00000313,INV00000375,C0000077,17-08-2014,608.67,UPI,Success
PAY00000314,INV00000376,C0000078,29-05-2026,744.49,Debit Card,Success
PAY00000315,INV00000377,C0000078,12-03-2026,668.34,Credit Card,Success
PAY00000316,INV00000379,C0000078,23-02-2026,696.18,UPI,Success
PAY00000317,INV00000380,C0000078,07-12-2025,717.59,NEFT,Success
PAY00000318,INV00000381,C0000078,06-11-2025,692.2,UPI,Success
PAY00000319,INV00000382,C0000078,10-10-2025,745.55,UPI,Success
PAY00000320,INV00000383,C0000078,10-09-2025,694.77,Cash,Success
PAY00000321,INV00000384,C0000078,07-08-2025,776.15,Auto Debit,Success
PAY00000322,INV00000385,C0000078,18-07-2025,648.75,UPI,Success
PAY00000323,INV00000386,C0000078,15-06-2025,675.4,Credit Card,Success
PAY00000324,INV00000387,C0000078,06-06-2025,670.41,UPI,Success
PAY00000325,INV00000388,C0000079,05-02-2026,993.42,Auto Debit,Success
PAY00000326,INV00000389,C0000079,27-12-2025,1058.99,Debit Card,Success
PAY00000327,INV00000390,C0000079,26-11-2025,1149.06,Credit Card,Success
PAY00000328,INV00000391,C0000079,06-11-2025,958.96,Debit Card,Success
PAY00000329,INV00000392,C0000079,27-09-2025,1016.9,Credit Card,Success
PAY00000330,INV00000393,C0000079,10-10-2025,1123.19,RTGS,Success
PAY00000331,INV00000394,C0000079,11-08-2025,1143.15,NEFT,Success
PAY00000332,INV00000395,C0000079,10-07-2025,1108.7,UPI,Success
PAY00000333,INV00000397,C0000079,23-05-2025,1145.11,UPI,Success
PAY00000334,INV00000398,C0000079,08-04-2025,1088.3,Credit Card,Success
PAY00000335,INV00000399,C0000079,12-03-2025,1086.02,NEFT,Success
PAY00000336,INV00000400,C0000081,08-04-2026,708.8,UPI,Success
PAY00000337,INV00000401,C0000081,28-04-2026,689.11,Net Banking,Success
PAY00000338,INV00000403,C0000081,08-01-2026,746.83,Debit Card,Success
PAY00000339,INV00000404,C0000081,07-12-2025,668.61,Debit Card,Success
PAY00000340,INV00000405,C0000081,03-11-2025,666.81,UPI,Success
PAY00000341,INV00000406,C0000081,13-10-2025,701.33,Auto Debit,Success
PAY00000342,INV00000407,C0000081,14-09-2025,728.28,Wallet,Success
PAY00000343,INV00000408,C0000081,13-08-2025,643.74,Debit Card,Success
PAY00000344,INV00000410,C0000081,17-06-2025,774.21,Cash,Success
PAY00000345,INV00000411,C0000081,16-05-2025,641.51,Credit Card,Success
PAY00000346,INV00000412,C0000082,09-05-2026,408.06,UPI,Success
PAY00000347,INV00000413,C0000082,02-03-2026,400.23,Credit Card,Success
PAY00000348,INV00000414,C0000082,10-02-2026,411.17,Auto Debit,Success
PAY00000349,INV00000416,C0000082,03-12-2025,396.0,UPI,Success
PAY00000350,INV00000417,C0000082,23-11-2025,428.56,UPI,Success
PAY00000351,INV00000418,C0000082,19-11-2025,445.43,Debit Card,Success
PAY00000352,INV00000419,C0000082,12-09-2025,420.01,Debit Card,Success
PAY00000353,INV00000420,C0000082,07-08-2025,435.02,Debit Card,Success
PAY00000354,INV00000421,C0000082,14-07-2025,383.71,Credit Card,Success
PAY00000355,INV00000422,C0000082,16-06-2025,382.65,Wallet,Success
PAY00000356,INV00000424,C0000084,13-04-2026,931.21,UPI,Success
PAY00000357,INV00000425,C0000084,09-03-2026,1024.39,UPI,Success
PAY00000358,INV00000426,C0000084,10-02-2026,976.23,Cash,Success
PAY00000359,INV00000429,C0000084,08-11-2025,878.57,UPI,Success
PAY00000360,INV00000430,C0000084,24-11-2025,867.74,UPI,Success
PAY00000361,INV00000431,C0000084,09-10-2025,845.16,UPI,Success
PAY00000362,INV00000433,C0000084,08-07-2025,924.61,Auto Debit,Success
PAY00000363,INV00000434,C0000084,05-06-2025,890.37,Debit Card,Success
PAY00000364,INV00000435,C0000084,13-05-2025,943.88,Credit Card,Success
PAY00000365,INV00000436,C0000086,06-04-2026,1510.27,Debit Card,Success
PAY00000366,INV00000437,C0000086,10-03-2026,1611.2,UPI,Success
PAY00000367,INV00000439,C0000086,06-01-2026,1655.63,Credit Card,Success
PAY00000368,INV00000440,C0000086,02-12-2025,1679.99,Cash,Success
PAY00000369,INV00000441,C0000086,17-12-2025,1541.93,UPI,Success
PAY00000370,INV00000443,C0000086,08-09-2025,1588.29,UPI,Success
PAY00000371,INV00000444,C0000086,27-08-2025,1564.61,UPI,Success
