usage_id,customer_id,usage_month,data_gb_used,data_sessions
UD00000094,C0000032,03-2026,10.05,870
UD00000095,C0000032,02-2026,23.67,999
UD00000096,C0000032,01-2026,5.21,817
UD00000097,C0000033,03-2026,8.53,455
UD00000098,C0000033,02-2026,31.26,511
UD00000099,C0000033,01-2026,20.34,906
UD00000100,C0000034,03-2026,8.91,84
UD00000101,C0000034,02-2026,16.9,180
UD00000102,C0000034,01-2026,24.5,197
UD00000103,C0000035,03-2026,45.74,1080
UD00000104,C0000035,02-2026,26.68,641
UD00000105,C0000035,01-2026,39.78,199
UD00000106,C0000036,03-2026,83.34,1108
UD00000107,C0000036,02-2026,18.65,301
UD00000108,C0000036,01-2026,106.22,267
UD00000109,C0000037,03-2026,27.56,920
UD00000110,C0000037,02-2026,27.36,207
UD00000111,C0000037,01-2026,12.39,562
UD00000112,C0000038,03-2026,18.61,1102
UD00000113,C0000038,02-2026,32.52,443
UD00000114,C0000038,01-2026,7.83,682
UD00000115,C0000039,03-2026,6.98,735
UD00000116,C0000039,02-2026,28.84,1173
UD00000117,C0000039,01-2026,31.71,154
UD00000118,C0000040,03-2026,37.38,987
UD00000119,C0000040,02-2026,25.22,803
UD00000120,C0000040,01-2026,16.15,159
UD00000121,C0000041,03-2026,18.66,204
UD00000122,C0000041,02-2026,11.57,862
UD00000123,C0000041,01-2026,26.0,761
UD00000124,C0000042,03-2026,29.87,758
UD00000125,C0000042,02-2026,19.86,286
UD00000126,C0000042,01-2026,13.02,556
UD00000127,C0000043,03-2026,48.93,961
UD00000128,C0000043,02-2026,8.86,758
UD00000129,C0000043,01-2026,9.92,689
UD00000130,C0000044,03-2026,15.66,331
UD00000131,C0000044,02-2026,4.71,278
UD00000132,C0000044,01-2026,27.51,308
UD00000133,C0000045,03-2026,21.45,629
UD00000134,C0000045,02-2026,7.57,224
UD00000135,C0000045,01-2026,15.6,664
UD00000136,C0000046,03-2026,11.57,575
UD00000137,C0000046,02-2026,17.14,682
UD00000138,C0000046,01-2026,20.36,685
UD00000139,C0000047,03-2026,24.53,152
UD00000140,C0000047,02-2026,10.77,1050
UD00000141,C0000047,01-2026,60.83,147
UD00000142,C0000048,03-2026,61.93,1125
UD00000143,C0000048,02-2026,38.28,693
UD00000144,C0000048,01-2026,51.38,508
UD00000145,C0000049,03-2026,13.5,894
UD00000146,C0000049,02-2026,8.79,640
UD00000147,C0000049,01-2026,3.35,857
UD00000148,C0000050,03-2026,20.82,677
UD00000149,C0000050,02-2026,8.1,618
UD00000150,C0000050,01-2026,7.4,559
UD00000151,C0000051,03-2026,16.41,919
UD00000152,C0000051,02-2026,14.19,889
UD00000153,C0000051,01-2026,12.42,738
UD00000154,C0000052,03-2026,25.97,182
UD00000155,C0000052,02-2026,53.97,473
UD00000156,C0000052,01-2026,14.55,812
UD00000157,C0000053,03-2026,8.22,212
UD00000158,C0000053,02-2026,24.45,365
UD00000159,C0000053,01-2026,32.24,434
UD00000160,C0000054,03-2026,19.1,353
UD00000161,C0000054,02-2026,17.49,1184
UD00000162,C0000054,01-2026,44.18,527
UD00000163,C0000055,03-2026,13.84,379
UD00000164,C0000055,02-2026,15.12,470
UD00000165,C0000055,01-2026,17.16,131
UD00000166,C0000056,03-2026,22.5,876
UD00000167,C0000056,02-2026,5.19,197
UD00000168,C0000056,01-2026,47.63,995
UD00000169,C0000057,03-2026,7.9,772
UD00000170,C0000057,02-2026,8.89,94
UD00000171,C0000057,01-2026,11.94,663
UD00000172,C0000058,03-2026,11.31,1000
UD00000173,C0000058,02-2026,10.3,540
UD00000174,C0000058,01-2026,13.19,858
UD00000175,C0000059,03-2026,19.16,917
UD00000176,C0000059,02-2026,48.99,102
UD00000177,C0000059,01-2026,33.28,686
UD00000178,C0000060,03-2026,14.42,140
UD00000179,C0000060,02-2026,12.32,218
UD00000180,C0000060,01-2026,13.92,1190
UD00000181,C0000061,03-2026,16.22,1090
UD00000182,C0000061,02-2026,12.46,462
UD00000183,C0000061,01-2026,19.73,99
UD00000184,C0000062,03-2026,40.81,1099
UD00000185,C0000062,02-2026,16.46,514
UD00000186,C0000062,01-2026,10.91,124
UD00000187,C0000063,03-2026,11.21,997
UD00000188,C0000063,02-2026,32.3,821
UD00000189,C0000063,01-2026,26.49,942
UD00000190,C0000064,03-2026,1.76,128
UD00000191,C0000064,02-2026,32.67,510
UD00000192,C0000064,01-2026,31.83,920
UD00000193,C0000065,03-2026,10.92,406
UD00000194,C0000065,02-2026,13.84,173
UD00000195,C0000065,01-2026,36.81,1156
UD00000196,C0000066,03-2026,12.1,617
UD00000197,C0000066,02-2026,122.97,1182
UD00000198,C0000066,01-2026,127.67,137
UD00000199,C0000067,03-2026,12.02,359
UD00000200,C0000067,02-2026,53.01,965
UD00000201,C0000067,01-2026,4.91,854
UD00000202,C0000068,03-2026,15.47,198
UD00000203,C0000068,02-2026,19.93,925
UD00000204,C0000068,01-2026,6.17,373
UD00000205,C0000069,03-2026,16.75,493
UD00000206,C0000069,02-2026,32.62,860
UD00000207,C0000069,01-2026,13.66,881
UD00000208,C0000070,03-2026,21.94,1134
UD00000209,C0000070,02-2026,29.81,132
UD00000210,C0000070,01-2026,46.48,594
UD00000211,C0000071,03-2026,17.75,254
UD00000212,C0000071,02-2026,19.94,645
UD00000213,C0000071,01-2026,23.42,1012
UD00000214,C0000072,03-2026,3.05,377
UD00000215,C0000072,02-2026,9.11,172
UD00000216,C0000072,01-2026,20.96,989
UD00000217,C0000073,03-2026,12.15,731
UD00000218,C0000073,02-2026,9.62,1153
UD00000219,C0000073,01-2026,25.91,1168
UD00000220,C0000074,03-2026,6.59,299
UD00000221,C0000074,02-2026,11.99,594
UD00000222,C0000074,01-2026,30.58,818
UD00000223,C0000075,03-2026,42.95,958
UD00000224,C0000075,02-2026,10.16,973
UD00000225,C0000075,01-2026,15.84,122
UD00000226,C0000076,03-2026,44.49,896
UD00000227,C0000076,02-2026,74.25,96
UD00000228,C0000076,01-2026,10.52,375
UD00000229,C0000077,03-2026,7.41,531
UD00000230,C0000077,02-2026,11.78,1188
UD00000231,C0000077,01-2026,12.19,958
UD00000232,C0000078,03-2026,27.08,721
UD00000233,C0000078,02-2026,50.81,546
UD00000234,C0000078,01-2026,8.04,298
UD00000235,C0000079,03-2026,25.37,1173
UD00000236,C0000079,02-2026,56.91,684
UD00000237,C0000079,01-2026,29.9,300
UD00000238,C0000080,03-2026,12.71,182
UD00000239,C0000080,02-2026,21.0,194
UD00000240,C0000080,01-2026,9.66,1081
UD00000241,C0000081,03-2026,20.74,330
UD00000242,C0000081,02-2026,16.81,522
UD00000243,C0000081,01-2026,30.95,1115
UD00000244,C0000082,03-2026,13.1,489
UD00000245,C0000082,02-2026,19.1,803
UD00000246,C0000082,01-2026,18.39,232
UD00000247,C0000083,03-2026,6.17,43
UD00000248,C0000083,02-2026,28.61,953
UD00000249,C0000083,01-2026,43.5,142
UD00000250,C0000084,03-2026,5.33,889
UD00000251,C0000084,02-2026,8.94,712
UD00000252,C0000084,01-2026,18.21,803
UD00000253,C0000085,03-2026,39.7,1124
UD00000254,C0000085,02-2026,34.6,1191
UD00000255,C0000085,01-2026,11.83,449
UD00000256,C0000086,03-2026,12.51,164
UD00000257,C0000086,02-2026,9.52,341
UD00000258,C0000086,01-2026,10.58,1025
UD00000259,C0000087,03-2026,21.0,480
UD00000260,C0000087,02-2026,4.81,1003
UD00000261,C0000087,01-2026,7.92,364
UD00000262,C0000088,03-2026,8.04,397
UD00000263,C0000088,02-2026,13.77,757
UD00000264,C0000088,01-2026,16.0,632
UD00000265,C0000089,03-2026,21.83,455
UD00000266,C0000089,02-2026,34.27,246
UD00000267,C0000089,01-2026,11.48,379
UD00000268,C0000090,03-2026,32.92,1087
UD00000269,C0000090,02-2026,61.65,606
UD00000270,C0000090,01-2026,25.07,912
UD00000271,C0000091,03-2026,24.44,999
UD00000272,C0000091,02-2026,21.54,1100
UD00000273,C0000091,01-2026,42.54,563
UD00000274,C0000092,03-2026,26.05,53
UD00000275,C0000092,02-2026,69.4,1118
UD00000276,C0000092,01-2026,34.05,1031
UD00000277,C0000093,03-2026,28.76,759
UD00000278,C0000093,02-2026,35.26,582
UD00000279,C0000093,01-2026,42.11,722
UD00000280,C0000094,03-2026,27.19,44
UD00000281,C0000094,02-2026,56.49,640
UD00000282,C0000094,01-2026,21.72,228
UD00000283,C0000095,03-2026,10.79,64
UD00000284,C0000095,02-2026,7.0,259
UD00000285,C0000095,01-2026,12.78,684
UD00000286,C0000096,03-2026,31.34,529
UD00000287,C0000096,02-2026,29.71,474
UD00000288,C0000096,01-2026,20.93,1036
UD00000289,C0000097,03-2026,22.18,661
UD00000290,C0000097,02-2026,21.8,626
UD00000291,C0000097,01-2026,29.33,715
UD00000292,C0000098,03-2026,19.94,359
UD00000293,C0000098,02-2026,20.83,581
UD00000294,C0000098,01-2026,28.49,317
UD00000295,C0000099,03-2026,22.85,766
UD00000296,C0000099,02-2026,20.22,119
UD00000297,C0000099,01-2026,18.43,834
UD00000298,C0000100,03-2026,11.51,744
UD00000299,C0000100,02-2026,17.95,434
UD00000300,C0000100,01-2026,16.35,73
UD00000301,C0000101,03-2026,21.21,213
UD00000302,C0000101,02-2026,10.16,66
UD00000303,C0000101,01-2026,6.48,528
UD00000304,C0000102,03-2026,30.88,694
UD00000305,C0000102,02-2026,34.88,605
UD00000306,C0000102,01-2026,35.24,110
UD00000307,C0000103,03-2026,5.15,242
UD00000308,C0000103,02-2026,14.89,767
UD00000309,C0000103,01-2026,16.64,381
UD00000310,C0000104,03-2026,8.38,1108
UD00000311,C0000104,02-2026,16.51,524
UD00000312,C0000104,01-2026,16.81,779
UD00000313,C0000105,03-2026,20.42,1129
UD00000314,C0000105,02-2026,6.57,1076
UD00000315,C0000105,01-2026,14.27,817
UD00000316,C0000106,03-2026,8.15,180
UD00000317,C0000106,02-2026,18.73,743
UD00000318,C0000106,01-2026,21.16,1142
UD00000319,C0000107,03-2026,12.9,156
UD00000320,C0000107,02-2026,2.99,279
UD00000321,C0000107,01-2026,11.77,1030
UD00000322,C0000108,03-2026,61.94,524
UD00000323,C0000108,02-2026,60.89,311
UD00000324,C0000108,01-2026,50.55,1071
UD00000325,C0000109,03-2026,52.51,639
UD00000326,C0000109,02-2026,51.06,1174
UD00000327,C0000109,01-2026,40.28,972
UD00000328,C0000110,03-2026,25.6,582
UD00000329,C0000110,02-2026,10.18,754
UD00000330,C0000110,01-2026,5.08,517
UD00000331,C0000111,03-2026,51.74,1099
UD00000332,C0000111,02-2026,98.15,1110
UD00000333,C0000111,01-2026,100.01,720
UD00000334,C0000112,03-2026,10.3,26
UD00000335,C0000112,02-2026,18.94,556
UD00000336,C0000112,01-2026,44.39,709
UD00000337,C0000113,03-2026,17.69,561
UD00000338,C0000113,02-2026,14.53,456
UD00000339,C0000113,01-2026,15.5,224
UD00000340,C0000114,03-2026,40.43,229
UD00000341,C0000114,02-2026,52.72,1058
UD00000342,C0000114,01-2026,38.52,898
UD00000343,C0000115,03-2026,14.07,276
UD00000344,C0000115,02-2026,20.18,549
UD00000345,C0000115,01-2026,8.72,898
UD00000346,C0000116,03-2026,4.34,684
UD00000347,C0000116,02-2026,12.72,1131
UD00000348,C0000116,01-2026,29.46,1012
UD00000349,C0000117,03-2026,31.58,637
UD00000350,C0000117,02-2026,39.34,704
UD00000351,C0000117,01-2026,25.7,1050
UD00000352,C0000118,03-2026,6.75,1166
UD00000353,C0000118,02-2026,11.46,161
UD00000354,C0000118,01-2026,20.85,663
UD00000355,C0000119,03-2026,43.35,40
UD00000356,C0000119,02-2026,13.34,518
UD00000357,C0000119,01-2026,21.14,445
UD00000358,C0000120,03-2026,8.78,483
UD00000359,C0000120,02-2026,22.52,284
UD00000360,C0000120,01-2026,7.74,124
UD00000361,C0000121,03-2026,43.44,361
UD00000362,C0000121,02-2026,74.67,887
UD00000363,C0000121,01-2026,22.68,1110
UD00000364,C0000122,03-2026,18.62,673
UD00000365,C0000122,02-2026,21.25,1047
UD00000366,C0000122,01-2026,20.94,838
UD00000367,C0000123,03-2026,35.39,32
UD00000368,C0000123,02-2026,21.29,804
UD00000369,C0000123,01-2026,7.17,135
UD00000370,C0000124,03-2026,5.39,84
UD00000371,C0000124,02-2026,19.3,551
UD00000372,C0000124,01-2026,21.74,227
UD00000373,C0000125,03-2026,24.11,91
UD00000374,C0000125,02-2026,27.11,1075
UD00000375,C0000125,01-2026,38.23,157
UD00000376,C0000126,03-2026,30.2,557
UD00000377,C0000126,02-2026,32.63,118
UD00000378,C0000126,01-2026,16.12,919
UD00000379,C0000127,03-2026,13.52,568
UD00000380,C0000127,02-2026,39.34,1140
UD00000381,C0000127,01-2026,57.41,995
UD00000382,C0000128,03-2026,12.99,609
UD00000383,C0000128,02-2026,56.34,978
UD00000384,C0000128,01-2026,45.23,960
UD00000385,C0000129,03-2026,15.83,315
UD00000386,C0000129,02-2026,8.71,150
UD00000387,C0000129,01-2026,11.4,181
UD00000388,C0000130,03-2026,21.26,172
UD00000389,C0000130,02-2026,25.68,288
UD00000390,C0000130,01-2026,33.32,112
UD00000391,C0000131,03-2026,20.52,354
UD00000392,C0000131,02-2026,12.1,884
UD00000393,C0000131,01-2026,11.73,30
UD00000394,C0000132,03-2026,17.63,1096
UD00000395,C0000132,02-2026,17.15,249
UD00000396,C0000132,01-2026,18.89,523
UD00000397,C0000133,03-2026,94.16,1017
UD00000398,C0000133,02-2026,15.35,300
UD00000399,C0000133,01-2026,51.86,1129
UD00000400,C0000134,03-2026,12.08,485
UD00000401,C0000134,02-2026,14.53,682
UD00000402,C0000134,01-2026,30.45,898
UD00000403,C0000135,03-2026,13.93,121
UD00000404,C0000135,02-2026,5.7,429
UD00000405,C0000135,01-2026,56.68,538
UD00000406,C0000136,03-2026,8.99,392
UD00000407,C0000136,02-2026,8.22,511
UD00000408,C0000136,01-2026,7.02,1023
UD00000409,C0000137,03-2026,5.53,609
UD00000410,C0000137,02-2026,9.4,554
UD00000411,C0000137,01-2026,4.44,749
UD00000412,C0000138,03-2026,16.54,451
UD00000413,C0000138,02-2026,27.14,154
UD00000414,C0000138,01-2026,12.41,1062
UD00000415,C0000139,03-2026,15.69,970
UD00000416,C0000139,02-2026,27.55,40
UD00000417,C0000139,01-2026,44.25,21
UD00000418,C0000140,03-2026,7.99,661
UD00000419,C0000140,02-2026,9.23,615
UD00000420,C0000140,01-2026,21.4,233
UD00000421,C0000141,03-2026,43.73,431
UD00000422,C0000141,02-2026,136.81,650
UD00000423,C0000141,01-2026,20.86,907
UD00000424,C0000142,03-2026,26.88,322
UD00000425,C0000142,02-2026,49.91,157
UD00000426,C0000142,01-2026,56.97,298
UD00000427,C0000143,03-2026,43.86,526
UD00000428,C0000143,02-2026,43.4,1089
UD00000429,C0000143,01-2026,16.73,962
UD00000430,C0000144,03-2026,19.38,839
UD00000431,C0000144,02-2026,18.34,63
UD00000432,C0000144,01-2026,12.73,1176
UD00000433,C0000145,03-2026,20.85,537
UD00000434,C0000145,02-2026,13.39,708
UD00000435,C0000145,01-2026,11.17,705
UD00000436,C0000146,03-2026,38.04,410
UD00000437,C0000146,02-2026,16.33,454
UD00000438,C0000146,01-2026,7.16,70
UD00000439,C0000147,03-2026,7.0,242
UD00000440,C0000147,02-2026,2.21,1175
UD00000441,C0000147,01-2026,10.71,201
UD00000442,C0000148,03-2026,37.26,806
UD00000443,C0000148,02-2026,6.66,1056
UD00000444,C0000148,01-2026,46.34,1094
UD00000445,C0000149,03-2026,43.8,685
UD00000446,C0000149,02-2026,55.83,946
UD00000447,C0000149,01-2026,56.3,1102
UD00000448,C0000150,03-2026,3.7,1002
UD00000449,C0000150,02-2026,4.14,602
UD00000450,C0000150,01-2026,8.59,1185
UD00000451,C0000151,03-2026,15.91,106
UD00000452,C0000151,02-2026,10.83,592
UD00000453,C0000151,01-2026,13.22,98
UD00000454,C0000152,03-2026,51.73,431
UD00000455,C0000152,02-2026,42.74,1130
UD00000456,C0000152,01-2026,146.48,32
UD00000457,C0000153,03-2026,50.67,615
UD00000458,C0000153,02-2026,23.41,1148
UD00000459,C0000153,01-2026,2.82,1005
UD00000460,C0000154,03-2026,9.69,960
UD00000461,C0000154,02-2026,16.9,917
UD00000462,C0000154,01-2026,15.3,92
UD00000463,C0000155,03-2026,32.86,677
UD00000464,C0000155,02-2026,92.14,718
UD00000465,C0000155,01-2026,95.2,930
UD00000466,C0000156,03-2026,11.9,21
UD00000467,C0000156,02-2026,17.79,286
UD00000468,C0000156,01-2026,25.9,951
UD00000469,C0000157,03-2026,63.8,354
UD00000470,C0000157,02-2026,43.43,579
UD00000471,C0000157,01-2026,76.36,384
UD00000472,C0000158,03-2026,16.8,478
UD00000473,C0000158,02-2026,13.08,189
UD00000474,C0000158,01-2026,15.98,146
UD00000475,C0000159,03-2026,19.18,1159
UD00000476,C0000159,02-2026,14.91,819
UD00000477,C0000159,01-2026,35.19,277
UD00000478,C0000160,03-2026,4.66,998
UD00000479,C0000160,02-2026,44.96,570
UD00000480,C0000160,01-2026,20.96,74
UD00000481,C0000161,03-2026,11.12,282
UD00000482,C0000161,02-2026,14.71,320
UD00000483,C0000161,01-2026,5.89,645
UD00000484,C0000162,03-2026,5.99,25
UD00000485,C0000162,02-2026,17.53,519
UD00000486,C0000162,01-2026,44.46,1148
UD00000487,C0000163,03-2026,5.28,912
UD00000488,C0000163,02-2026,1.81,1038
UD00000489,C0000163,01-2026,11.18,992
UD00000490,C0000164,03-2026,7.7,388
UD00000491,C0000164,02-2026,40.83,71
UD00000492,C0000164,01-2026,13.54,777
UD00000493,C0000165,03-2026,9.27,391
UD00000494,C0000165,02-2026,25.99,57
UD00000495,C0000165,01-2026,14.67,1125
UD00000496,C0000166,03-2026,19.02,496
UD00000497,C0000166,02-2026,30.49,88
UD00000498,C0000166,01-2026,20.69,888
UD00000499,C0000167,03-2026,10.16,386
UD00000500,C0000167,02-2026,14.04,349
UD00000501,C0000167,01-2026,35.06,668
UD00000502,C0000168,03-2026,13.62,801
UD00000503,C0000168,02-2026,24.9,954
UD00000504,C0000168,01-2026,29.76,882
UD00000505,C0000169,03-2026,2.84,1073
UD00000506,C0000169,02-2026,6.09,1170
UD00000507,C0000169,01-2026,9.8,924
UD00000508,C0000170,03-2026,12.29,577
UD00000509,C0000170,02-2026,2.66,1190
UD00000510,C0000170,01-2026,8.39,442
UD00000511,C0000171,03-2026,24.34,739
UD00000512,C0000171,02-2026,7.73,458
UD00000513,C0000171,01-2026,19.38,791
UD00000514,C0000172,03-2026,19.26,169
UD00000515,C0000172,02-2026,18.55,691
UD00000516,C0000172,01-2026,4.38,832
UD00000517,C0000173,03-2026,9.12,378
UD00000518,C0000173,02-2026,21.67,106
UD00000519,C0000173,01-2026,10.29,232
UD00000520,C0000174,03-2026,15.5,1082
UD00000521,C0000174,02-2026,18.19,768
UD00000522,C0000174,01-2026,4.25,910
UD00000523,C0000175,03-2026,21.97,542
UD00000524,C0000175,02-2026,34.12,863
UD00000525,C0000175,01-2026,7.51,1092
UD00000526,C0000176,03-2026,16.95,368
UD00000527,C0000176,02-2026,13.39,906
UD00000528,C0000176,01-2026,22.69,31
UD00000529,C0000177,03-2026,156.29,251
UD00000530,C0000177,02-2026,66.34,987
UD00000531,C0000177,01-2026,37.54,607
UD00000532,C0000178,03-2026,5.09,69
UD00000533,C0000178,02-2026,15.08,699
UD00000534,C0000178,01-2026,18.46,405
UD00000535,C0000179,03-2026,4.51,121
UD00000536,C0000179,02-2026,17.19,678
UD00000537,C0000179,01-2026,9.86,416
UD00000538,C0000180,03-2026,2.86,589
UD00000539,C0000180,02-2026,18.17,213
UD00000540,C0000180,01-2026,7.64,205
UD00000541,C0000181,03-2026,22.05,137
UD00000542,C0000181,02-2026,32.56,754
UD00000543,C0000181,01-2026,12.24,559
UD00000544,C0000182,03-2026,42.61,667
UD00000545,C0000182,02-2026,13.41,31
UD00000546,C0000182,01-2026,11.68,1091
UD00000547,C0000183,03-2026,14.67,492
UD00000548,C0000183,02-2026,3.32,1162
UD00000549,C0000183,01-2026,18.21,445
UD00000550,C0000184,03-2026,86.69,222
UD00000551,C0000184,02-2026,23.5,75
UD00000552,C0000184,01-2026,94.74,311
UD00000553,C0000185,03-2026,85.23,660
UD00000554,C0000185,02-2026,34.54,1053
UD00000555,C0000185,01-2026,77.79,722
UD00000556,C0000186,03-2026,13.63,839
UD00000557,C0000186,02-2026,26.23,129
UD00000558,C0000186,01-2026,14.13,498
UD00000559,C0000187,03-2026,11.89,1010
UD00000560,C0000187,02-2026,4.7,874
UD00000561,C0000187,01-2026,16.83,228
UD00000562,C0000188,03-2026,4.54,652
UD00000563,C0000188,02-2026,8.5,970
UD00000564,C0000188,01-2026,18.57,566
UD00000565,C0000189,03-2026,17.35,386
UD00000566,C0000189,02-2026,17.79,134
UD00000567,C0000189,01-2026,3.55,937
UD00000568,C0000190,03-2026,10.44,1033
UD00000569,C0000190,02-2026,60.64,1141
UD00000570,C0000190,01-2026,38.06,930
UD00000571,C0000191,03-2026,5.57,134
UD00000572,C0000191,02-2026,17.29,554
UD00000573,C0000191,01-2026,23.01,164
UD00000574,C0000192,03-2026,30.41,152
UD00000575,C0000192,02-2026,13.4,1116
UD00000576,C0000192,01-2026,9.49,347
UD00000577,C0000193,03-2026,11.56,1010
UD00000578,C0000193,02-2026,48.21,66
UD00000579,C0000193,01-2026,61.22,533
UD00000580,C0000194,03-2026,6.71,1049
UD00000581,C0000194,02-2026,36.79,636
UD00000582,C0000194,01-2026,24.14,352
UD00000583,C0000195,03-2026,19.32,595
UD00000584,C0000195,02-2026,5.46,176
UD00000585,C0000195,01-2026,11.1,486
UD00000586,C0000196,03-2026,9.84,449
UD00000587,C0000196,02-2026,5.1,135
UD00000588,C0000196,01-2026,25.89,671
UD00000589,C0000197,03-2026,5.15,379
UD00000590,C0000197,02-2026,25.03,407
UD00000591,C0000197,01-2026,10.29,246
UD00000592,C0000198,03-2026,24.56,292
UD00000593,C0000198,02-2026,45.54,136
UD00000594,C0000198,01-2026,19.63,1066
UD00000595,C0000199,03-2026,83.1,363
UD00000596,C0000199,02-2026,81.81,342
UD00000597,C0000199,01-2026,94.57,563
UD00000598,C0000200,03-2026,27.15,1191
UD00000599,C0000200,02-2026,18.48,869
UD00000600,C0000200,01-2026,28.24,1032
UD00000601,C0000201,03-2026,36.4,958
UD00000602,C0000201,02-2026,16.41,860
UD00000603,C0000201,01-2026,11.77,373
UD00000604,C0000202,03-2026,8.33,502
UD00000605,C0000202,02-2026,5.16,1099
UD00000606,C0000202,01-2026,9.67,258
UD00000607,C0000203,03-2026,17.97,463
UD00000608,C0000203,02-2026,18.91,889
UD00000609,C0000203,01-2026,19.05,1155
UD00000610,C0000204,03-2026,28.64,577
UD00000611,C0000204,02-2026,21.14,676
UD00000612,C0000204,01-2026,15.6,796
UD00000613,C0000205,03-2026,16.49,96
UD00000614,C0000205,02-2026,33.67,408
UD00000615,C0000205,01-2026,58.15,168
UD00000616,C0000206,03-2026,7.26,445
UD00000617,C0000206,02-2026,12.95,469
UD00000618,C0000206,01-2026,14.0,445
UD00000619,C0000207,03-2026,19.09,507
UD00000620,C0000207,02-2026,18.1,682
UD00000621,C0000207,01-2026,9.77,43
UD00000622,C0000208,03-2026,30.76,853
UD00000623,C0000208,02-2026,31.31,1121
UD00000624,C0000208,01-2026,15.99,693
UD00000625,C0000209,03-2026,18.91,515
UD00000626,C0000209,02-2026,6.09,1033
UD00000627,C0000209,01-2026,23.42,561
UD00000628,C0000210,03-2026,14.44,779
UD00000629,C0000210,02-2026,17.93,179
