ticket_id,customer_id,created_date,category,priority,channel,status,first_contact_resolution,assigned_employee_id,resolution_hours,resolution_date
TK00000038,C0000023,02-09-2016,Plan Change,Medium,App,Resolved,Yes,EM00055,7.2,02-09-2016
TK00000039,C0000023,12-05-2017,Account Update,High,Chat,Resolved,Yes,EM00448,31.5,13-05-2017
TK00000040,C0000025,27-09-2024,Billing Dispute,Low,Call,Pending,No,EM00513,,
TK00000041,C0000025,15-12-2017,SIM/Activation,High,Email,Resolved,Yes,EM00131,13.3,15-12-2017
TK00000042,C0000025,28-04-2024,Slow Data Speed,High,Call,Resolved,Yes,EM00141,13.4,29-04-2024
TK00000043,C0000026,12-11-2015,Roaming,Critical,App,Resolved,No,EM00302,25.6,13-11-2015
TK00000044,C0000027,06-11-2018,SIM/Activation,High,Chat,Escalated,No,EM00797,,
TK00000045,C0000028,30-12-2018,Network Issue,High,Email,Resolved,No,EM00255,8.8,30-12-2018
TK00000046,C0000028,09-03-2015,Account Update,Low,Chat,Resolved,Yes,EM00104,7.8,09-03-2015
TK00000047,C0000029,10-02-2015,Device Support,Low,App,Reopened,No,EM00321,,
TK00000048,C0000030,18-05-2018,Plan Change,Low,Store,Resolved,Yes,EM00496,7.0,19-05-2018
TK00000049,C0000030,27-05-2015,Payment Issue,Low,Call,Resolved,Yes,EM00303,25.3,28-05-2015
TK00000050,C0000030,22-08-2024,Billing Dispute,Low,App,Resolved,Yes,EM00497,14.1,23-08-2024
TK00000051,C0000031,30-06-2014,Call Drop,Low,App,Resolved,Yes,EM00555,4.3,01-07-2014
TK00000052,C0000034,16-06-2024,Roaming,Low,Email,Pending,No,EM00506,,
TK00000053,C0000036,10-05-2025,Roaming,Low,Chat,Resolved,Yes,EM00513,17.6,10-05-2025
TK00000054,C0000036,18-01-2015,Fiber Downtime,High,Chat,Resolved,Yes,EM00414,12.9,18-01-2015
TK00000055,C0000036,13-05-2024,Device Support,High,Store,Resolved,No,EM00562,14.7,14-05-2024
TK00000056,C0000036,01-05-2019,Billing Dispute,Low,Call,Resolved,No,EM00132,9.8,01-05-2019
TK00000057,C0000039,14-02-2021,SIM/Activation,Medium,Chat,Resolved,No,EM00584,0.7,14-02-2021
TK00000058,C0000039,20-10-2021,Billing Dispute,Critical,App,Pending,No,EM00745,,
TK00000059,C0000040,14-03-2020,Call Drop,Low,Store,Pending,No,EM00648,,
TK00000060,C0000040,06-08-2021,Roaming,Medium,Store,Resolved,No,EM00352,19.6,07-08-2021
TK00000061,C0000042,06-04-2016,Device Support,Critical,Chat,Resolved,Yes,EM00296,18.0,06-04-2016
TK00000062,C0000042,18-12-2025,Recharge Failure,Critical,Email,Pending,No,EM00545,,
TK00000063,C0000043,18-02-2019,Billing Dispute,Low,Call,Pending,No,EM00687,,
TK00000064,C0000044,09-12-2014,Slow Data Speed,Low,Chat,Resolved,Yes,EM00643,22.8,10-12-2014
TK00000065,C0000044,11-02-2017,Slow Data Speed,Low,Call,Pending,No,EM00643,,
TK00000066,C0000044,10-04-2022,Slow Data Speed,High,Store,Pending,No,EM00303,,
TK00000067,C0000045,13-06-2014,Roaming,High,Chat,Escalated,No,EM00411,,
TK00000068,C0000046,24-07-2015,Account Update,High,Chat,Resolved,Yes,EM00675,48.2,26-07-2015
TK00000069,C0000047,06-04-2014,Plan Change,Low,Email,Resolved,Yes,EM00414,29.6,07-04-2014
TK00000070,C0000047,24-10-2025,Network Issue,Low,Call,Pending,No,EM00607,,
TK00000071,C0000048,15-10-2018,Plan Change,Critical,Call,Resolved,Yes,EM00273,25.0,16-10-2018
TK00000072,C0000048,19-10-2014,Device Support,Medium,Store,Resolved,Yes,EM00630,7.7,19-10-2014
TK00000073,C0000048,06-12-2016,Account Update,Medium,Chat,Resolved,No,EM00429,15.1,07-12-2016
TK00000074,C0000048,01-06-2020,Network Issue,Critical,Call,Resolved,Yes,EM00094,11.2,01-06-2020
TK00000075,C0000049,08-02-2024,Device Support,Medium,Email,Escalated,No,EM00019,,
TK00000076,C0000049,14-08-2020,Payment Issue,Medium,Store,Pending,No,EM00050,,
TK00000077,C0000051,17-06-2014,SIM/Activation,Low,App,Resolved,Yes,EM00367,7.7,17-06-2014
TK00000078,C0000052,18-04-2014,Slow Data Speed,Low,App,Reopened,No,EM00351,,
TK00000079,C0000052,22-05-2025,Device Support,Medium,App,Resolved,No,EM00170,20.5,22-05-2025
TK00000080,C0000053,11-05-2014,Recharge Failure,Low,Chat,Pending,No,EM00627,,
TK00000081,C0000054,11-05-2017,Recharge Failure,Medium,Email,Escalated,No,EM00681,,
TK00000082,C0000054,01-09-2016,Plan Change,Low,Call,Resolved,Yes,EM00285,31.3,02-09-2016
TK00000083,C0000056,24-02-2022,Fiber Downtime,High,Chat,Pending,No,EM00521,,
TK00000084,C0000056,24-10-2016,Plan Change,Low,App,Escalated,No,EM00461,,
TK00000085,C0000056,08-06-2025,Fiber Downtime,High,Call,Resolved,No,EM00065,8.2,08-06-2025
TK00000086,C0000057,06-10-2020,Call Drop,Low,App,Reopened,No,EM00789,,
TK00000087,C0000059,15-01-2022,Call Drop,Medium,Call,Pending,No,EM00378,,
TK00000088,C0000060,17-04-2023,Account Update,Low,Store,Resolved,Yes,EM00652,18.3,18-04-2023
TK00000089,C0000064,27-01-2023,Account Update,Low,Email,Reopened,No,EM00706,,
TK00000090,C0000065,19-02-2014,Plan Change,Low,App,Pending,No,EM00725,,
TK00000091,C0000065,05-03-2024,Recharge Failure,Low,Call,Resolved,Yes,EM00206,3.7,05-03-2024
TK00000092,C0000066,01-04-2019,Network Issue,Low,Store,Pending,No,EM00603,,
TK00000093,C0000067,09-09-2021,Device Support,Low,Call,Pending,No,EM00074,,
TK00000094,C0000067,28-01-2016,Recharge Failure,Medium,Store,Resolved,Yes,EM00181,21.5,29-01-2016
TK00000095,C0000068,09-10-2017,Device Support,Critical,Store,Pending,No,EM00693,,
TK00000096,C0000070,21-05-2025,Plan Change,High,App,Pending,No,EM00009,,
TK00000097,C0000071,06-04-2015,Payment Issue,High,Store,Resolved,No,EM00183,17.5,07-04-2015
TK00000098,C0000071,23-05-2018,Device Support,High,Email,Resolved,No,EM00105,10.6,23-05-2018
TK00000099,C0000072,26-11-2020,Call Drop,High,Store,Resolved,No,EM00468,11.4,26-11-2020
TK00000100,C0000072,30-12-2016,Plan Change,High,Email,Resolved,Yes,EM00603,40.7,01-01-2017
TK00000101,C0000073,06-12-2014,Billing Dispute,Low,Store,Resolved,Yes,EM00319,7.1,06-12-2014
TK00000102,C0000074,31-10-2020,Roaming,Medium,Call,Resolved,Yes,EM00143,9.3,31-10-2020
TK00000103,C0000074,20-05-2025,Roaming,Medium,Store,Resolved,Yes,EM00550,19.3,21-05-2025
TK00000104,C0000074,04-04-2023,Billing Dispute,Medium,Store,Resolved,Yes,EM00138,3.9,04-04-2023
TK00000105,C0000075,29-01-2019,Call Drop,Medium,Chat,Pending,No,EM00078,,
TK00000106,C0000076,10-03-2025,Slow Data Speed,High,Email,Resolved,Yes,EM00560,26.3,11-03-2025
TK00000107,C0000077,16-01-2024,Account Update,Medium,Store,Escalated,No,EM00263,,
TK00000108,C0000077,09-11-2015,Fiber Downtime,Medium,App,Reopened,No,EM00131,,
TK00000109,C0000077,22-12-2019,SIM/Activation,Low,Store,Pending,No,EM00588,,
TK00000110,C0000077,10-02-2016,Billing Dispute,High,Email,Pending,No,EM00008,,
TK00000111,C0000078,28-07-2014,Roaming,Low,Email,Escalated,No,EM00531,,
TK00000112,C0000078,25-05-2023,SIM/Activation,Medium,Call,Pending,No,EM00769,,
TK00000113,C0000078,18-12-2024,Fiber Downtime,Low,Store,Pending,No,EM00798,,
TK00000114,C0000078,26-08-2018,Billing Dispute,Medium,Store,Resolved,Yes,EM00209,15.5,27-08-2018
TK00000115,C0000079,06-02-2019,Recharge Failure,Medium,Call,Escalated,No,EM00193,,
TK00000116,C0000080,11-09-2015,Network Issue,Low,Chat,Escalated,No,EM00282,,
TK00000117,C0000081,14-04-2023,Recharge Failure,Low,Store,Reopened,No,EM00437,,
TK00000118,C0000082,24-07-2015,Account Update,Low,Chat,Pending,No,EM00230,,
TK00000119,C0000082,17-01-2017,Account Update,Medium,Call,Pending,No,EM00529,,
TK00000120,C0000082,26-07-2025,Plan Change,Low,Chat,Resolved,Yes,EM00385,30.3,27-07-2025
TK00000121,C0000083,18-12-2019,Device Support,High,Chat,Escalated,No,EM00682,,
TK00000122,C0000083,04-01-2015,Account Update,Critical,App,Resolved,Yes,EM00692,21.9,05-01-2015
TK00000123,C0000083,14-07-2018,Billing Dispute,Low,Chat,Resolved,No,EM00711,17.1,15-07-2018
TK00000124,C0000085,16-08-2022,Roaming,Medium,Call,Resolved,Yes,EM00736,74.5,19-08-2022
TK00000125,C0000085,19-05-2019,Payment Issue,Medium,Email,Pending,No,EM00233,,
TK00000126,C0000086,05-06-2022,Network Issue,Low,Chat,Resolved,Yes,EM00302,6.1,05-06-2022
TK00000127,C0000087,26-02-2026,Billing Dispute,High,Call,Reopened,No,EM00491,,
TK00000128,C0000087,30-07-2014,Slow Data Speed,Low,Chat,Resolved,No,EM00760,29.5,01-08-2014
TK00000129,C0000089,27-08-2023,Billing Dispute,Low,App,Pending,No,EM00527,,
TK00000130,C0000089,02-01-2021,Fiber Downtime,Low,Chat,Resolved,Yes,EM00011,20.0,03-01-2021
TK00000131,C0000089,09-04-2022,Call Drop,High,Chat,Resolved,Yes,EM00633,32.6,11-04-2022
TK00000132,C0000091,17-10-2025,Slow Data Speed,Medium,Store,Escalated,No,EM00274,,
TK00000133,C0000091,25-06-2025,Device Support,Medium,App,Pending,No,EM00654,,
TK00000134,C0000092,20-06-2015,Network Issue,Low,App,Reopened,No,EM00491,,
TK00000135,C0000092,08-02-2026,Device Support,Low,Chat,Resolved,Yes,EM00204,3.9,08-02-2026
TK00000136,C0000093,02-05-2016,Network Issue,Medium,Chat,Resolved,Yes,EM00718,9.7,02-05-2016
TK00000137,C0000094,20-08-2018,Device Support,Low,Store,Resolved,Yes,EM00052,48.3,22-08-2018
TK00000138,C0000096,27-04-2020,Payment Issue,Medium,App,Resolved,No,EM00377,12.4,28-04-2020
TK00000139,C0000096,07-08-2025,Billing Dispute,Low,Email,Pending,No,EM00211,,
TK00000140,C0000098,10-08-2021,Plan Change,Low,Email,Escalated,No,EM00051,,
TK00000141,C0000098,23-03-2018,Plan Change,Low,Email,Pending,No,EM00212,,
TK00000142,C0000098,05-07-2023,Plan Change,Medium,Store,Resolved,Yes,EM00626,18.4,05-07-2023
TK00000143,C0000099,18-02-2026,Roaming,Low,Call,Pending,No,EM00412,,
TK00000144,C0000100,12-06-2018,Fiber Downtime,Low,Call,Escalated,No,EM00350,,
TK00000145,C0000100,12-03-2018,Slow Data Speed,High,App,Pending,No,EM00033,,
TK00000146,C0000100,31-01-2023,Network Issue,Low,App,Reopened,No,EM00506,,
TK00000147,C0000100,02-02-2017,SIM/Activation,Critical,Store,Pending,No,EM00203,,
TK00000148,C0000101,23-02-2026,Roaming,Medium,App,Pending,No,EM00425,,
TK00000149,C0000102,21-11-2015,Network Issue,Low,Chat,Reopened,No,EM00146,,
TK00000150,C0000102,03-08-2021,SIM/Activation,Low,Store,Pending,No,EM00635,,
TK00000151,C0000103,03-03-2016,Network Issue,Medium,Store,Escalated,No,EM00115,,
TK00000152,C0000103,21-02-2022,Recharge Failure,Low,Call,Resolved,Yes,EM00693,4.7,21-02-2022
TK00000153,C0000103,12-09-2024,Billing Dispute,Low,Chat,Resolved,Yes,EM00009,8.1,12-09-2024
TK00000154,C0000104,14-06-2018,Plan Change,Medium,App,Resolved,Yes,EM00604,9.5,15-06-2018
TK00000155,C0000106,26-06-2019,Slow Data Speed,Low,Chat,Pending,No,EM00458,,
TK00000156,C0000107,27-03-2022,Device Support,High,Chat,Pending,No,EM00018,,
TK00000157,C0000107,11-01-2025,Roaming,Medium,App,Resolved,Yes,EM00121,26.2,13-01-2025
TK00000158,C0000108,24-08-2023,Plan Change,Medium,App,Escalated,No,EM00686,,
TK00000159,C0000108,08-03-2014,Fiber Downtime,Critical,App,Resolved,No,EM00621,14.6,09-03-2014
TK00000160,C0000108,22-11-2020,Plan Change,High,Email,Pending,No,EM00525,,
TK00000161,C0000110,12-05-2022,Call Drop,Low,Call,Pending,No,EM00589,,
TK00000162,C0000112,05-01-2017,Network Issue,Low,Call,Pending,No,EM00087,,
TK00000163,C0000113,04-06-2023,Fiber Downtime,Medium,Call,Resolved,No,EM00761,6.1,04-06-2023
TK00000164,C0000113,12-01-2026,Device Support,High,Call,Pending,No,EM00249,,
TK00000165,C0000114,17-10-2018,Plan Change,High,Email,Resolved,Yes,EM00167,14.2,17-10-2018
TK00000166,C0000114,30-09-2018,Payment Issue,Low,Email,Resolved,Yes,EM00744,13.5,01-10-2018
TK00000167,C0000115,25-08-2015,Call Drop,Medium,Email,Resolved,Yes,EM00721,17.0,26-08-2015
TK00000168,C0000116,09-04-2024,Call Drop,High,Store,Resolved,No,EM00243,3.8,09-04-2024
TK00000169,C0000117,04-09-2018,Fiber Downtime,High,Store,Resolved,Yes,EM00064,6.8,04-09-2018
TK00000170,C0000117,03-07-2019,Payment Issue,High,Chat,Pending,No,EM00438,,
TK00000171,C0000118,24-12-2017,Roaming,High,App,Resolved,Yes,EM00115,20.6,25-12-2017
TK00000172,C0000118,13-04-2021,Payment Issue,Critical,App,Resolved,No,EM00638,5.9,13-04-2021
TK00000173,C0000120,22-01-2023,Payment Issue,Medium,Call,Pending,No,EM00725,,
TK00000174,C0000121,21-10-2021,SIM/Activation,Medium,Call,Resolved,No,EM00041,19.8,22-10-2021
TK00000175,C0000121,08-07-2014,Account Update,Medium,Call,Resolved,Yes,EM00651,16.1,09-07-2014
TK00000176,C0000122,21-09-2023,Device Support,Low,App,Pending,No,EM00525,,
TK00000177,C0000122,15-02-2015,Account Update,Low,App,Resolved,Yes,EM00264,27.4,16-02-2015
TK00000178,C0000122,31-08-2020,Slow Data Speed,Medium,Store,Resolved,No,EM00798,15.8,01-09-2020
TK00000179,C0000122,10-11-2023,Payment Issue,Critical,Chat,Pending,No,EM00189,,
TK00000180,C0000123,20-03-2026,Slow Data Speed,Low,Chat,Resolved,Yes,EM00319,12.2,21-03-2026
TK00000181,C0000124,10-10-2024,Billing Dispute,Medium,Store,Resolved,Yes,EM00704,4.0,10-10-2024
TK00000182,C0000126,15-05-2023,Fiber Downtime,Medium,Chat,Escalated,No,EM00022,,
TK00000183,C0000127,06-08-2024,Slow Data Speed,Critical,Store,Reopened,No,EM00483,,
TK00000184,C0000127,14-01-2023,Payment Issue,Low,App,Resolved,No,EM00551,18.7,14-01-2023
TK00000185,C0000127,13-03-2020,Fiber Downtime,Medium,Email,Resolved,Yes,EM00679,44.9,15-03-2020
TK00000186,C0000128,22-09-2017,Slow Data Speed,Medium,Store,Pending,No,EM00052,,
TK00000187,C0000129,11-05-2020,SIM/Activation,Low,App,Escalated,No,EM00596,,
TK00000188,C0000132,13-03-2025,Fiber Downtime,High,Chat,Resolved,Yes,EM00770,22.6,14-03-2025
TK00000189,C0000133,16-10-2021,Slow Data Speed,High,Store,Pending,No,EM00233,,
TK00000190,C0000133,27-08-2020,Call Drop,Medium,Email,Resolved,Yes,EM00558,7.4,27-08-2020
TK00000191,C0000134,13-08-2024,Network Issue,Low,Email,Pending,No,EM00446,,
TK00000192,C0000134,17-02-2015,Fiber Downtime,Medium,Store,Resolved,Yes,EM00532,13.0,17-02-2015
TK00000193,C0000134,03-08-2024,Call Drop,Low,Call,Resolved,Yes,EM00140,4.4,03-08-2024
TK00000194,C0000134,12-02-2020,Plan Change,Medium,Chat,Resolved,Yes,EM00109,18.1,12-02-2020
TK00000195,C0000135,20-12-2019,Fiber Downtime,Medium,Store,Pending,No,EM00589,,
TK00000196,C0000136,15-11-2019,Payment Issue,Medium,Call,Resolved,No,EM00587,40.8,17-11-2019
TK00000197,C0000136,27-02-2017,Billing Dispute,Low,Call,Pending,No,EM00734,,
TK00000198,C0000136,19-05-2024,Recharge Failure,Low,Email,Pending,No,EM00416,,
TK00000199,C0000137,21-05-2025,Recharge Failure,Low,App,Reopened,No,EM00074,,
TK00000200,C0000137,15-03-2026,Plan Change,Medium,App,Resolved,No,EM00278,29.0,17-03-2026
TK00000201,C0000137,26-11-2023,SIM/Activation,Low,Email,Resolved,No,EM00619,17.5,27-11-2023
TK00000202,C0000139,21-01-2024,Payment Issue,Low,Call,Reopened,No,EM00019,,
TK00000203,C0000140,30-11-2015,SIM/Activation,Medium,Call,Resolved,Yes,EM00779,6.4,30-11-2015
TK00000204,C0000140,15-07-2015,Recharge Failure,High,Chat,Resolved,Yes,EM00642,0.3,15-07-2015
TK00000205,C0000140,03-12-2024,Plan Change,Medium,Call,Resolved,Yes,EM00712,5.4,03-12-2024
TK00000206,C0000141,29-11-2015,Fiber Downtime,Medium,Call,Pending,No,EM00156,,
TK00000207,C0000143,12-06-2018,Slow Data Speed,Low,Chat,Resolved,No,EM00555,16.8,12-06-2018
TK00000208,C0000143,05-02-2023,Billing Dispute,Low,Call,Resolved,Yes,EM00755,30.1,07-02-2023
TK00000209,C0000144,30-11-2014,Account Update,Low,Email,Pending,No,EM00588,,
TK00000210,C0000147,27-05-2021,SIM/Activation,Low,Call,Escalated,No,EM00279,,
TK00000211,C0000147,13-09-2015,SIM/Activation,High,Chat,Resolved,Yes,EM00443,10.7,14-09-2015
TK00000212,C0000148,11-06-2020,Plan Change,Low,Chat,Escalated,No,EM00735,,
TK00000213,C0000149,25-10-2019,SIM/Activation,High,Chat,Pending,No,EM00628,,
TK00000214,C0000149,14-07-2023,Billing Dispute,Low,Chat,Pending,No,EM00617,,
TK00000215,C0000149,03-06-2016,Network Issue,Low,Store,Resolved,Yes,EM00751,13.3,03-06-2016
TK00000216,C0000150,17-08-2021,Recharge Failure,Medium,App,Resolved,Yes,EM00413,7.1,17-08-2021
TK00000217,C0000150,25-09-2022,SIM/Activation,Low,Email,Resolved,Yes,EM00256,2.4,25-09-2022
TK00000218,C0000150,10-02-2014,Plan Change,Low,Chat,Resolved,Yes,EM00565,13.4,10-02-2014
TK00000219,C0000151,26-07-2014,Slow Data Speed,Low,Store,Pending,No,EM00620,,
TK00000220,C0000151,13-01-2021,Payment Issue,Low,Store,Resolved,Yes,EM00388,24.8,14-01-2021
TK00000221,C0000152,29-11-2019,Network Issue,High,Call,Resolved,Yes,EM00051,28.7,01-12-2019
TK00000222,C0000153,25-10-2024,Network Issue,Critical,App,Pending,No,EM00513,,
TK00000223,C0000153,18-12-2025,Roaming,Low,Chat,Resolved,Yes,EM00280,8.6,18-12-2025
TK00000224,C0000153,12-02-2026,Roaming,High,Store,Resolved,Yes,EM00102,9.4,13-02-2026
TK00000225,C0000153,08-07-2023,Payment Issue,Low,Email,Resolved,Yes,EM00260,18.4,09-07-2023
TK00000226,C0000154,01-05-2015,Payment Issue,Medium,Call,Resolved,Yes,EM00713,9.5,01-05-2015
TK00000227,C0000154,16-03-2018,SIM/Activation,Low,Email,Pending,No,EM00475,,
TK00000228,C0000154,08-06-2025,Payment Issue,High,Store,Pending,No,EM00548,,
TK00000229,C0000154,20-11-2025,Plan Change,Low,Store,Resolved,Yes,EM00332,21.1,21-11-2025
TK00000230,C0000155,27-07-2017,Payment Issue,Low,Chat,Escalated,No,EM00655,,
TK00000231,C0000155,20-09-2014,Plan Change,Medium,App,Pending,No,EM00187,,
TK00000232,C0000155,19-03-2019,Slow Data Speed,Low,Call,Resolved,Yes,EM00326,14.7,20-03-2019
TK00000233,C0000155,10-04-2015,Slow Data Speed,High,Call,Resolved,Yes,EM00486,8.2,10-04-2015
TK00000234,C0000156,07-04-2021,Payment Issue,Low,Email,Resolved,No,EM00475,20.0,08-04-2021
TK00000235,C0000156,25-03-2021,Recharge Failure,Low,Store,Resolved,Yes,EM00450,11.6,25-03-2021
TK00000236,C0000157,05-09-2020,Payment Issue,Low,Call,Pending,No,EM00403,,
TK00000237,C0000158,10-03-2025,Call Drop,Low,Chat,Resolved,Yes,EM00063,16.7,11-03-2025
TK00000238,C0000158,20-02-2018,Network Issue,High,Store,Pending,No,EM00537,,
TK00000239,C0000162,27-10-2022,Payment Issue,Critical,Store,Resolved,Yes,EM00301,11.2,27-10-2022
TK00000240,C0000163,16-02-2025,Recharge Failure,High,Store,Resolved,Yes,EM00157,16.3,16-02-2025
TK00000241,C0000163,28-04-2018,Device Support,Medium,Email,Resolved,Yes,EM00348,15.5,29-04-2018
TK00000242,C0000164,04-07-2024,Plan Change,Low,Call,Resolved,Yes,EM00506,14.1,05-07-2024
TK00000243,C0000164,05-03-2018,Account Update,Medium,Call,Resolved,Yes,EM00329,9.8,05-03-2018
TK00000244,C0000166,12-08-2024,Billing Dispute,Medium,App,Resolved,Yes,EM00056,32.4,13-08-2024
TK00000245,C0000166,04-08-2018,Plan Change,Low,App,Resolved,Yes,EM00577,10.8,04-08-2018
TK00000246,C0000166,07-03-2022,Fiber Downtime,High,App,Resolved,Yes,EM00121,36.8,09-03-2022
TK00000247,C0000166,13-07-2017,SIM/Activation,High,Call,Pending,No,EM00117,,
TK00000248,C0000166,02-06-2015,Call Drop,Medium,Store,Pending,No,EM00237,,
TK00000249,C0000167,20-06-2019,Slow Data Speed,High,Chat,Escalated,No,EM00344,,
TK00000250,C0000169,31-12-2020,Fiber Downtime,Medium,App,Resolved,Yes,EM00711,22.2,01-01-2021
TK00000251,C0000169,18-03-2020,Roaming,Medium,Email,Resolved,Yes,EM00304,14.6,18-03-2020
TK00000252,C0000170,12-03-2018,Call Drop,Medium,App,Resolved,Yes,EM00115,18.0,12-03-2018
TK00000253,C0000171,17-05-2017,Fiber Downtime,Medium,Store,Escalated,No,EM00367,,
TK00000254,C0000171,03-09-2016,Recharge Failure,Medium,Chat,Resolved,Yes,EM00313,3.6,03-09-2016
TK00000255,C0000171,04-09-2016,SIM/Activation,Low,Call,Pending,No,EM00386,,
TK00000256,C0000172,05-10-2014,Account Update,Low,Chat,Reopened,No,EM00329,,
TK00000257,C0000173,25-10-2025,Billing Dispute,Medium,Chat,Escalated,No,EM00573,,
TK00000258,C0000173,20-10-2022,Roaming,Low,Store,Resolved,Yes,EM00399,21.9,21-10-2022
TK00000259,C0000175,18-03-2016,Plan Change,Medium,Store,Pending,No,EM00335,,
TK00000260,C0000175,07-03-2016,Slow Data Speed,Critical,Store,Resolved,No,EM00328,11.3,08-03-2016
TK00000261,C0000176,28-11-2015,Call Drop,Medium,Store,Resolved,Yes,EM00702,25.7,29-11-2015
TK00000262,C0000176,18-02-2016,Network Issue,Low,Call,Resolved,Yes,EM00570,46.6,20-02-2016
TK00000263,C0000176,01-08-2014,Plan Change,Low,Store,Resolved,Yes,EM00676,22.8,02-08-2014
TK00000264,C0000177,29-01-2016,Plan Change,Critical,Store,Resolved,Yes,EM00608,1.8,29-01-2016
TK00000265,C0000178,17-03-2018,Billing Dispute,Medium,Store,Pending,No,EM00502,,
TK00000266,C0000178,27-10-2014,Account Update,Medium,Email,Pending,No,EM00336,,
TK00000267,C0000179,24-03-2022,Billing Dispute,Critical,Email,Reopened,No,EM00558,,
TK00000268,C0000180,23-03-2022,Network Issue,Medium,App,Pending,No,EM00628,,
TK00000269,C0000180,03-07-2015,Roaming,High,Store,Resolved,Yes,EM00136,20.1,04-07-2015
TK00000270,C0000180,11-11-2018,Fiber Downtime,Low,Chat,Pending,No,EM00678,,
TK00000271,C0000180,13-11-2021,Payment Issue,Low,App,Pending,No,EM00778,,
TK00000272,C0000181,04-09-2017,Fiber Downtime,Low,Chat,Escalated,No,EM00152,,
TK00000273,C0000181,20-08-2025,Recharge Failure,High,Chat,Pending,No,EM00189,,
TK00000274,C0000181,01-05-2021,Device Support,Medium,Store,Resolved,Yes,EM00797,4.0,01-05-2021
TK00000275,C0000182,12-10-2022,Call Drop,Low,App,Reopened,No,EM00753,,
TK00000276,C0000183,14-12-2015,Account Update,Medium,Chat,Pending,No,EM00056,,
